date,path,coverage
2024-01-04,49,partial
2024-01-05,48,full
2024-01-12,49,partial
2024-01-13,48,full
2024-01-20,49,partial
2024-01-21,48,full
2024-01-28,49,partial
2024-01-29,48,full
2024-02-05,49,partial
2024-02-06,48,full
2024-02-13,49,partial
2024-02-14,48,full
2024-02-21,49,partial
2024-02-22,48,full
2024-02-29,49,partial
2024-03-01,48,full
2024-03-08,49,partial
2024-03-09,48,full
2024-03-16,49,partial
2024-03-17,48,full
2024-03-24,49,partial
2024-03-25,48,full
2024-04-01,49,partial
2024-04-02,48,full
2024-04-09,49,partial
2024-04-10,48,full
2024-04-17,49,partial
2024-04-18,48,full
2024-04-25,49,partial
2024-04-26,48,full
2024-05-03,49,partial
2024-05-04,48,full
2024-05-11,49,partial
2024-05-12,48,full
2024-05-19,49,partial
2024-05-20,48,full
2024-05-27,49,partial
2024-05-28,48,full
2024-06-04,49,partial
2024-06-05,48,full
2024-06-12,49,partial
2024-06-13,48,full
2024-06-20,49,partial
2024-06-21,48,full
2024-06-28,49,partial
2024-06-29,48,full
2024-07-06,49,partial
2024-07-07,48,full
2024-07-14,49,partial
2024-07-15,48,full
2024-07-22,49,partial
2024-07-23,48,full
2024-07-30,49,partial
2024-07-31,48,full
2024-08-07,49,partial
2024-08-08,48,full
2024-08-15,49,partial
2024-08-16,48,full
2024-08-23,49,partial
2024-08-24,48,full
2024-08-31,49,partial
2024-09-01,48,full
2024-09-08,49,partial
2024-09-09,48,full
2024-09-16,49,partial
2024-09-17,48,full
2024-09-24,49,partial
2024-09-25,48,full
2024-10-02,49,partial
2024-10-03,48,full
2024-10-10,49,partial
2024-10-11,48,full
2024-10-18,49,partial
2024-10-19,48,full
2024-10-26,49,partial
2024-10-27,48,full
2024-11-03,49,partial
2024-11-04,48,full
2024-11-11,49,partial
2024-11-12,48,full
2024-11-19,49,partial
2024-11-20,48,full
2024-11-27,49,partial
2024-11-28,48,full
2024-12-05,49,partial
2024-12-06,48,full
2024-12-13,49,partial
2024-12-14,48,full
2024-12-21,49,partial
2024-12-22,48,full
2024-12-29,49,partial
2024-12-30,48,full
