date,path,coverage
2024-01-06,61,partial
2024-01-07,62,full
2024-01-08,63,partial
2024-01-14,61,partial
2024-01-15,62,full
2024-01-16,63,partial
2024-01-22,61,partial
2024-01-23,62,full
2024-01-24,63,partial
2024-01-30,61,partial
2024-01-31,62,full
2024-02-01,63,partial
2024-02-07,61,partial
2024-02-08,62,full
2024-02-09,63,partial
2024-02-15,61,partial
2024-02-16,62,full
2024-02-17,63,partial
2024-02-23,61,partial
2024-02-24,62,full
2024-02-25,63,partial
2024-03-02,61,partial
2024-03-03,62,full
2024-03-04,63,partial
2024-03-10,61,partial
2024-03-11,62,full
2024-03-12,63,partial
2024-03-18,61,partial
2024-03-19,62,full
2024-03-20,63,partial
2024-03-26,61,partial
2024-03-27,62,full
2024-03-28,63,partial
2024-04-03,61,partial
2024-04-04,62,full
2024-04-05,63,partial
2024-04-11,61,partial
2024-04-12,62,full
2024-04-13,63,partial
2024-04-19,61,partial
2024-04-20,62,full
2024-04-21,63,partial
2024-04-27,61,partial
2024-04-28,62,full
2024-04-29,63,partial
2024-05-05,61,partial
2024-05-06,62,full
2024-05-07,63,partial
2024-05-13,61,partial
2024-05-14,62,full
2024-05-15,63,partial
2024-05-21,61,partial
2024-05-22,62,full
2024-05-23,63,partial
2024-05-29,61,partial
2024-05-30,62,full
2024-05-31,63,partial
2024-06-06,61,partial
2024-06-07,62,full
2024-06-08,63,partial
2024-06-14,61,partial
2024-06-15,62,full
2024-06-16,63,partial
2024-06-22,61,partial
2024-06-23,62,full
2024-06-24,63,partial
2024-06-30,61,partial
2024-07-01,62,full
2024-07-02,63,partial
2024-07-08,61,partial
2024-07-09,62,full
2024-07-10,63,partial
2024-07-16,61,partial
2024-07-17,62,full
2024-07-18,63,partial
2024-07-24,61,partial
2024-07-25,62,full
2024-07-26,63,partial
2024-08-01,61,partial
2024-08-02,62,full
2024-08-03,63,partial
2024-08-09,61,partial
2024-08-10,62,full
2024-08-11,63,partial
2024-08-17,61,partial
2024-08-18,62,full
2024-08-19,63,partial
2024-08-25,61,partial
2024-08-26,62,full
2024-08-27,63,partial
2024-09-02,61,partial
2024-09-03,62,full
2024-09-04,63,partial
2024-09-10,61,partial
2024-09-11,62,full
2024-09-12,63,partial
2024-09-18,61,partial
2024-09-19,62,full
2024-09-20,63,partial
2024-09-26,61,partial
2024-09-27,62,full
2024-09-28,63,partial
2024-10-04,61,partial
2024-10-05,62,full
2024-10-06,63,partial
2024-10-12,61,partial
2024-10-13,62,full
2024-10-14,63,partial
2024-10-20,61,partial
2024-10-21,62,full
2024-10-22,63,partial
2024-10-28,61,partial
2024-10-29,62,full
2024-10-30,63,partial
2024-11-05,61,partial
2024-11-06,62,full
2024-11-07,63,partial
2024-11-13,61,partial
2024-11-14,62,full
2024-11-15,63,partial
2024-11-21,61,partial
2024-11-22,62,full
2024-11-23,63,partial
2024-11-29,61,partial
2024-11-30,62,full
2024-12-01,63,partial
2024-12-07,61,partial
2024-12-08,62,full
2024-12-09,63,partial
2024-12-15,61,partial
2024-12-16,62,full
2024-12-17,63,partial
2024-12-23,61,partial
2024-12-24,62,full
2024-12-25,63,partial
2024-12-31,61,partial
