date,path,coverage
2024-01-05,70,full
2024-01-06,72,full
2024-01-07,71,full
2024-01-13,70,full
2024-01-14,72,full
2024-01-15,71,full
2024-01-21,70,full
2024-01-22,72,full
2024-01-23,71,full
2024-01-29,70,full
2024-01-30,72,full
2024-01-31,71,full
2024-02-06,70,full
2024-02-07,72,full
2024-02-08,71,full
2024-02-14,70,full
2024-02-15,72,full
2024-02-16,71,full
2024-02-22,70,full
2024-02-23,72,full
2024-02-24,71,full
2024-03-01,70,full
2024-03-02,72,full
2024-03-03,71,full
2024-03-09,70,full
2024-03-10,72,full
2024-03-11,71,full
2024-03-17,70,full
2024-03-18,72,full
2024-03-19,71,full
2024-03-25,70,full
2024-03-26,72,full
2024-03-27,71,full
2024-04-02,70,full
2024-04-03,72,full
2024-04-04,71,full
2024-04-10,70,full
2024-04-11,72,full
2024-04-12,71,full
2024-04-18,70,full
2024-04-19,72,full
2024-04-20,71,full
2024-04-26,70,full
2024-04-27,72,full
2024-04-28,71,full
2024-05-04,70,full
2024-05-05,72,full
2024-05-06,71,full
2024-05-12,70,full
2024-05-13,72,full
2024-05-14,71,full
2024-05-20,70,full
2024-05-21,72,full
2024-05-22,71,full
2024-05-28,70,full
2024-05-29,72,full
2024-05-30,71,full
2024-06-05,70,full
2024-06-06,72,full
2024-06-07,71,full
2024-06-13,70,full
2024-06-14,72,full
2024-06-15,71,full
2024-06-21,70,full
2024-06-22,72,full
2024-06-23,71,full
2024-06-29,70,full
2024-06-30,72,full
2024-07-01,71,full
2024-07-07,70,full
2024-07-08,72,full
2024-07-09,71,full
2024-07-15,70,full
2024-07-16,72,full
2024-07-17,71,full
2024-07-23,70,full
2024-07-24,72,full
2024-07-25,71,full
2024-07-31,70,full
2024-08-01,72,full
2024-08-02,71,full
2024-08-08,70,full
2024-08-09,72,full
2024-08-10,71,full
2024-08-16,70,full
2024-08-17,72,full
2024-08-18,71,full
2024-08-24,70,full
2024-08-25,72,full
2024-08-26,71,full
2024-09-01,70,full
2024-09-02,72,full
2024-09-03,71,full
2024-09-09,70,full
2024-09-10,72,full
2024-09-11,71,full
2024-09-17,70,full
2024-09-18,72,full
2024-09-19,71,full
2024-09-25,70,full
2024-09-26,72,full
2024-09-27,71,full
2024-10-03,70,full
2024-10-04,72,full
2024-10-05,71,full
2024-10-11,70,full
2024-10-12,72,full
2024-10-13,71,full
2024-10-19,70,full
2024-10-20,72,full
2024-10-21,71,full
2024-10-27,70,full
2024-10-28,72,full
2024-10-29,71,full
2024-11-04,70,full
2024-11-05,72,full
2024-11-06,71,full
2024-11-12,70,full
2024-11-13,72,full
2024-11-14,71,full
2024-11-20,70,full
2024-11-21,72,full
2024-11-22,71,full
2024-11-28,70,full
2024-11-29,72,full
2024-11-30,71,full
2024-12-06,70,full
2024-12-07,72,full
2024-12-08,71,full
2024-12-14,70,full
2024-12-15,72,full
2024-12-16,71,full
2024-12-22,70,full
2024-12-23,72,full
2024-12-24,71,full
2024-12-30,70,full
2024-12-31,72,full
