date,path,coverage
2024-01-01,85,full
2024-01-02,84,full
2024-01-03,82,partial
2024-01-08,83,full
2024-01-09,85,full
2024-01-10,84,full
2024-01-11,82,partial
2024-01-16,83,full
2024-01-17,85,full
2024-01-18,84,full
2024-01-19,82,partial
2024-01-24,83,full
2024-01-25,85,full
2024-01-26,84,full
2024-01-27,82,partial
2024-02-01,83,full
2024-02-02,85,full
2024-02-03,84,full
2024-02-04,82,partial
2024-02-09,83,full
2024-02-10,85,full
2024-02-11,84,full
2024-02-12,82,partial
2024-02-17,83,full
2024-02-18,85,full
2024-02-19,84,full
2024-02-20,82,partial
2024-02-25,83,full
2024-02-26,85,full
2024-02-27,84,full
2024-02-28,82,partial
2024-03-04,83,full
2024-03-05,85,full
2024-03-06,84,full
2024-03-07,82,partial
2024-03-12,83,full
2024-03-13,85,full
2024-03-14,84,full
2024-03-15,82,partial
2024-03-20,83,full
2024-03-21,85,full
2024-03-22,84,full
2024-03-23,82,partial
2024-03-28,83,full
2024-03-29,85,full
2024-03-30,84,full
2024-03-31,82,partial
2024-04-05,83,full
2024-04-06,85,full
2024-04-07,84,full
2024-04-08,82,partial
2024-04-13,83,full
2024-04-14,85,full
2024-04-15,84,full
2024-04-16,82,partial
2024-04-21,83,full
2024-04-22,85,full
2024-04-23,84,full
2024-04-24,82,partial
2024-04-29,83,full
2024-04-30,85,full
2024-05-01,84,full
2024-05-02,82,partial
2024-05-07,83,full
2024-05-08,85,full
2024-05-09,84,full
2024-05-10,82,partial
2024-05-15,83,full
2024-05-16,85,full
2024-05-17,84,full
2024-05-18,82,partial
2024-05-23,83,full
2024-05-24,85,full
2024-05-25,84,full
2024-05-26,82,partial
2024-05-31,83,full
2024-06-01,85,full
2024-06-02,84,full
2024-06-03,82,partial
2024-06-08,83,full
2024-06-09,85,full
2024-06-10,84,full
2024-06-11,82,partial
2024-06-16,83,full
2024-06-17,85,full
2024-06-18,84,full
2024-06-19,82,partial
2024-06-24,83,full
2024-06-25,85,full
2024-06-26,84,full
2024-06-27,82,partial
2024-07-02,83,full
2024-07-03,85,full
2024-07-04,84,full
2024-07-05,82,partial
2024-07-10,83,full
2024-07-11,85,full
2024-07-12,84,full
2024-07-13,82,partial
2024-07-18,83,full
2024-07-19,85,full
2024-07-20,84,full
2024-07-21,82,partial
2024-07-26,83,full
2024-07-27,85,full
2024-07-28,84,full
2024-07-29,82,partial
2024-08-03,83,full
2024-08-04,85,full
2024-08-05,84,full
2024-08-06,82,partial
2024-08-11,83,full
2024-08-12,85,full
2024-08-13,84,full
2024-08-14,82,partial
2024-08-19,83,full
2024-08-20,85,full
2024-08-21,84,full
2024-08-22,82,partial
2024-08-27,83,full
2024-08-28,85,full
2024-08-29,84,full
2024-08-30,82,partial
2024-09-04,83,full
2024-09-05,85,full
2024-09-06,84,full
2024-09-07,82,partial
2024-09-12,83,full
2024-09-13,85,full
2024-09-14,84,full
2024-09-15,82,partial
2024-09-20,83,full
2024-09-21,85,full
2024-09-22,84,full
2024-09-23,82,partial
2024-09-28,83,full
2024-09-29,85,full
2024-09-30,84,full
2024-10-01,82,partial
2024-10-06,83,full
2024-10-07,85,full
2024-10-08,84,full
2024-10-09,82,partial
2024-10-14,83,full
2024-10-15,85,full
2024-10-16,84,full
2024-10-17,82,partial
2024-10-22,83,full
2024-10-23,85,full
2024-10-24,84,full
2024-10-25,82,partial
2024-10-30,83,full
2024-10-31,85,full
2024-11-01,84,full
2024-11-02,82,partial
2024-11-07,83,full
2024-11-08,85,full
2024-11-09,84,full
2024-11-10,82,partial
2024-11-15,83,full
2024-11-16,85,full
2024-11-17,84,full
2024-11-18,82,partial
2024-11-23,83,full
2024-11-24,85,full
2024-11-25,84,full
2024-11-26,82,partial
2024-12-01,83,full
2024-12-02,85,full
2024-12-03,84,full
2024-12-04,82,partial
2024-12-09,83,full
2024-12-10,85,full
2024-12-11,84,full
2024-12-12,82,partial
2024-12-17,83,full
2024-12-18,85,full
2024-12-19,84,full
2024-12-20,82,partial
2024-12-25,83,full
2024-12-26,85,full
2024-12-27,84,full
2024-12-28,82,partial
