date,track,coverage
2024-01-02,15,full
2024-01-04,115,full
2024-01-07,15,full
2024-01-09,115,full
2024-01-12,15,full
2024-01-14,115,full
2024-01-17,15,full
2024-01-19,115,full
2024-01-22,15,full
2024-01-24,115,full
2024-01-27,15,full
2024-01-29,115,full
2024-02-01,15,full
2024-02-03,115,full
2024-02-06,15,full
2024-02-08,115,full
2024-02-11,15,full
2024-02-13,115,full
2024-02-16,15,full
2024-02-18,115,full
2024-02-21,15,full
2024-02-23,115,full
2024-02-26,15,full
2024-02-28,115,full
2024-03-02,15,full
2024-03-04,115,full
2024-03-07,15,full
2024-03-09,115,full
2024-03-12,15,full
2024-03-14,115,full
2024-03-17,15,full
2024-03-19,115,full
2024-03-22,15,full
2024-03-24,115,full
2024-03-27,15,full
2024-03-29,115,full
2024-04-01,15,full
2024-04-03,115,full
2024-04-06,15,full
2024-04-08,115,full
2024-04-11,15,full
2024-04-13,115,full
2024-04-16,15,full
2024-04-18,115,full
2024-04-21,15,full
2024-04-23,115,full
2024-04-26,15,full
2024-04-28,115,full
2024-05-01,15,full
2024-05-03,115,full
2024-05-06,15,full
2024-05-08,115,full
2024-05-11,15,full
2024-05-13,115,full
2024-05-16,15,full
2024-05-18,115,full
2024-05-21,15,full
2024-05-23,115,full
2024-05-26,15,full
2024-05-28,115,full
2024-05-31,15,full
2024-06-02,115,full
2024-06-05,15,full
2024-06-07,115,full
2024-06-10,15,full
2024-06-12,115,full
2024-06-15,15,full
2024-06-17,115,full
2024-06-20,15,full
2024-06-22,115,full
2024-06-25,15,full
2024-06-27,115,full
2024-06-30,15,full
2024-07-02,115,full
2024-07-05,15,full
2024-07-07,115,full
2024-07-10,15,full
2024-07-12,115,full
2024-07-15,15,full
2024-07-17,115,full
2024-07-20,15,full
2024-07-22,115,full
2024-07-25,15,full
2024-07-27,115,full
2024-07-30,15,full
2024-08-01,115,full
2024-08-04,15,full
2024-08-06,115,full
2024-08-09,15,full
2024-08-11,115,full
2024-08-14,15,full
2024-08-16,115,full
2024-08-19,15,full
2024-08-21,115,full
2024-08-24,15,full
2024-08-26,115,full
2024-08-29,15,full
2024-08-31,115,full
2024-09-03,15,full
2024-09-05,115,full
2024-09-08,15,full
2024-09-10,115,full
2024-09-13,15,full
2024-09-15,115,full
2024-09-18,15,full
2024-09-20,115,full
2024-09-23,15,full
2024-09-25,115,full
2024-09-28,15,full
2024-09-30,115,full
2024-10-03,15,full
2024-10-05,115,full
2024-10-08,15,full
2024-10-10,115,full
2024-10-13,15,full
2024-10-15,115,full
2024-10-18,15,full
2024-10-20,115,full
2024-10-23,15,full
2024-10-25,115,full
2024-10-28,15,full
2024-10-30,115,full
2024-11-02,15,full
2024-11-04,115,full
2024-11-07,15,full
2024-11-09,115,full
2024-11-12,15,full
2024-11-14,115,full
2024-11-17,15,full
2024-11-19,115,full
2024-11-22,15,full
2024-11-24,115,full
2024-11-27,15,full
2024-11-29,115,full
2024-12-02,15,full
2024-12-04,115,full
2024-12-07,15,full
2024-12-09,115,full
2024-12-12,15,full
2024-12-14,115,full
2024-12-17,15,full
2024-12-19,115,full
2024-12-22,15,full
2024-12-24,115,full
2024-12-27,15,full
2024-12-29,115,full
