date,track,coverage
2024-01-01,72,partial
2024-01-03,29,full
2024-01-06,72,partial
2024-01-08,29,full
2024-01-11,72,partial
2024-01-13,29,full
2024-01-16,72,partial
2024-01-18,29,full
2024-01-21,72,partial
2024-01-23,29,full
2024-01-26,72,partial
2024-01-28,29,full
2024-01-31,72,partial
2024-02-02,29,full
2024-02-05,72,partial
2024-02-07,29,full
2024-02-10,72,partial
2024-02-12,29,full
2024-02-15,72,partial
2024-02-17,29,full
2024-02-20,72,partial
2024-02-22,29,full
2024-02-25,72,partial
2024-02-27,29,full
2024-03-01,72,partial
2024-03-03,29,full
2024-03-06,72,partial
2024-03-08,29,full
2024-03-11,72,partial
2024-03-13,29,full
2024-03-16,72,partial
2024-03-18,29,full
2024-03-21,72,partial
2024-03-23,29,full
2024-03-26,72,partial
2024-03-28,29,full
2024-03-31,72,partial
2024-04-02,29,full
2024-04-05,72,partial
2024-04-07,29,full
2024-04-10,72,partial
2024-04-12,29,full
2024-04-15,72,partial
2024-04-17,29,full
2024-04-20,72,partial
2024-04-22,29,full
2024-04-25,72,partial
2024-04-27,29,full
2024-04-30,72,partial
2024-05-02,29,full
2024-05-05,72,partial
2024-05-07,29,full
2024-05-10,72,partial
2024-05-12,29,full
2024-05-15,72,partial
2024-05-17,29,full
2024-05-20,72,partial
2024-05-22,29,full
2024-05-25,72,partial
2024-05-27,29,full
2024-05-30,72,partial
2024-06-01,29,full
2024-06-04,72,partial
2024-06-06,29,full
2024-06-09,72,partial
2024-06-11,29,full
2024-06-14,72,partial
2024-06-16,29,full
2024-06-19,72,partial
2024-06-21,29,full
2024-06-24,72,partial
2024-06-26,29,full
2024-06-29,72,partial
2024-07-01,29,full
2024-07-04,72,partial
2024-07-06,29,full
2024-07-09,72,partial
2024-07-11,29,full
2024-07-14,72,partial
2024-07-16,29,full
2024-07-19,72,partial
2024-07-21,29,full
2024-07-24,72,partial
2024-07-26,29,full
2024-07-29,72,partial
2024-07-31,29,full
2024-08-03,72,partial
2024-08-05,29,full
2024-08-08,72,partial
2024-08-10,29,full
2024-08-13,72,partial
2024-08-15,29,full
2024-08-18,72,partial
2024-08-20,29,full
2024-08-23,72,partial
2024-08-25,29,full
2024-08-28,72,partial
2024-08-30,29,full
2024-09-02,72,partial
2024-09-04,29,full
2024-09-07,72,partial
2024-09-09,29,full
2024-09-12,72,partial
2024-09-14,29,full
2024-09-17,72,partial
2024-09-19,29,full
2024-09-22,72,partial
2024-09-24,29,full
2024-09-27,72,partial
2024-09-29,29,full
2024-10-02,72,partial
2024-10-04,29,full
2024-10-07,72,partial
2024-10-09,29,full
2024-10-12,72,partial
2024-10-14,29,full
2024-10-17,72,partial
2024-10-19,29,full
2024-10-22,72,partial
2024-10-24,29,full
2024-10-27,72,partial
2024-10-29,29,full
2024-11-01,72,partial
2024-11-03,29,full
2024-11-06,72,partial
2024-11-08,29,full
2024-11-11,72,partial
2024-11-13,29,full
2024-11-16,72,partial
2024-11-18,29,full
2024-11-21,72,partial
2024-11-23,29,full
2024-11-26,72,partial
2024-11-28,29,full
2024-12-01,72,partial
2024-12-03,29,full
2024-12-06,72,partial
2024-12-08,29,full
2024-12-11,72,partial
2024-12-13,29,full
2024-12-16,72,partial
2024-12-18,29,full
2024-12-21,72,partial
2024-12-23,29,full
2024-12-26,72,partial
2024-12-28,29,full
2024-12-31,72,partial
