date,track,coverage
2024-01-02,14,partial
2024-01-03,100,partial
2024-01-05,57,full
2024-01-07,14,partial
2024-01-08,100,partial
2024-01-10,57,full
2024-01-12,14,partial
2024-01-13,100,partial
2024-01-15,57,full
2024-01-17,14,partial
2024-01-18,100,partial
2024-01-20,57,full
2024-01-22,14,partial
2024-01-23,100,partial
2024-01-25,57,full
2024-01-27,14,partial
2024-01-28,100,partial
2024-01-30,57,full
2024-02-01,14,partial
2024-02-02,100,partial
2024-02-04,57,full
2024-02-06,14,partial
2024-02-07,100,partial
2024-02-09,57,full
2024-02-11,14,partial
2024-02-12,100,partial
2024-02-14,57,full
2024-02-16,14,partial
2024-02-17,100,partial
2024-02-19,57,full
2024-02-21,14,partial
2024-02-22,100,partial
2024-02-24,57,full
2024-02-26,14,partial
2024-02-27,100,partial
2024-02-29,57,full
2024-03-02,14,partial
2024-03-03,100,partial
2024-03-05,57,full
2024-03-07,14,partial
2024-03-08,100,partial
2024-03-10,57,full
2024-03-12,14,partial
2024-03-13,100,partial
2024-03-15,57,full
2024-03-17,14,partial
2024-03-18,100,partial
2024-03-20,57,full
2024-03-22,14,partial
2024-03-23,100,partial
2024-03-25,57,full
2024-03-27,14,partial
2024-03-28,100,partial
2024-03-30,57,full
2024-04-01,14,partial
2024-04-02,100,partial
2024-04-04,57,full
2024-04-06,14,partial
2024-04-07,100,partial
2024-04-09,57,full
2024-04-11,14,partial
2024-04-12,100,partial
2024-04-14,57,full
2024-04-16,14,partial
2024-04-17,100,partial
2024-04-19,57,full
2024-04-21,14,partial
2024-04-22,100,partial
2024-04-24,57,full
2024-04-26,14,partial
2024-04-27,100,partial
2024-04-29,57,full
2024-05-01,14,partial
2024-05-02,100,partial
2024-05-04,57,full
2024-05-06,14,partial
2024-05-07,100,partial
2024-05-09,57,full
2024-05-11,14,partial
2024-05-12,100,partial
2024-05-14,57,full
2024-05-16,14,partial
2024-05-17,100,partial
2024-05-19,57,full
2024-05-21,14,partial
2024-05-22,100,partial
2024-05-24,57,full
2024-05-26,14,partial
2024-05-27,100,partial
2024-05-29,57,full
2024-05-31,14,partial
2024-06-01,100,partial
2024-06-03,57,full
2024-06-05,14,partial
2024-06-06,100,partial
2024-06-08,57,full
2024-06-10,14,partial
2024-06-11,100,partial
2024-06-13,57,full
2024-06-15,14,partial
2024-06-16,100,partial
2024-06-18,57,full
2024-06-20,14,partial
2024-06-21,100,partial
2024-06-23,57,full
2024-06-25,14,partial
2024-06-26,100,partial
2024-06-28,57,full
2024-06-30,14,partial
2024-07-01,100,partial
2024-07-03,57,full
2024-07-05,14,partial
2024-07-06,100,partial
2024-07-08,57,full
2024-07-10,14,partial
2024-07-11,100,partial
2024-07-13,57,full
2024-07-15,14,partial
2024-07-16,100,partial
2024-07-18,57,full
2024-07-20,14,partial
2024-07-21,100,partial
2024-07-23,57,full
2024-07-25,14,partial
2024-07-26,100,partial
2024-07-28,57,full
2024-07-30,14,partial
2024-07-31,100,partial
2024-08-02,57,full
2024-08-04,14,partial
2024-08-05,100,partial
2024-08-07,57,full
2024-08-09,14,partial
2024-08-10,100,partial
2024-08-12,57,full
2024-08-14,14,partial
2024-08-15,100,partial
2024-08-17,57,full
2024-08-19,14,partial
2024-08-20,100,partial
2024-08-22,57,full
2024-08-24,14,partial
2024-08-25,100,partial
2024-08-27,57,full
2024-08-29,14,partial
2024-08-30,100,partial
2024-09-01,57,full
2024-09-03,14,partial
2024-09-04,100,partial
2024-09-06,57,full
2024-09-08,14,partial
2024-09-09,100,partial
2024-09-11,57,full
2024-09-13,14,partial
2024-09-14,100,partial
2024-09-16,57,full
2024-09-18,14,partial
2024-09-19,100,partial
2024-09-21,57,full
2024-09-23,14,partial
2024-09-24,100,partial
2024-09-26,57,full
2024-09-28,14,partial
2024-09-29,100,partial
2024-10-01,57,full
2024-10-03,14,partial
2024-10-04,100,partial
2024-10-06,57,full
2024-10-08,14,partial
2024-10-09,100,partial
2024-10-11,57,full
2024-10-13,14,partial
2024-10-14,100,partial
2024-10-16,57,full
2024-10-18,14,partial
2024-10-19,100,partial
2024-10-21,57,full
2024-10-23,14,partial
2024-10-24,100,partial
2024-10-26,57,full
2024-10-28,14,partial
2024-10-29,100,partial
2024-10-31,57,full
2024-11-02,14,partial
2024-11-03,100,partial
2024-11-05,57,full
2024-11-07,14,partial
2024-11-08,100,partial
2024-11-10,57,full
2024-11-12,14,partial
2024-11-13,100,partial
2024-11-15,57,full
2024-11-17,14,partial
2024-11-18,100,partial
2024-11-20,57,full
2024-11-22,14,partial
2024-11-23,100,partial
2024-11-25,57,full
2024-11-27,14,partial
2024-11-28,100,partial
2024-11-30,57,full
2024-12-02,14,partial
2024-12-03,100,partial
2024-12-05,57,full
2024-12-07,14,partial
2024-12-08,100,partial
2024-12-10,57,full
2024-12-12,14,partial
2024-12-13,100,partial
2024-12-15,57,full
2024-12-17,14,partial
2024-12-18,100,partial
2024-12-20,57,full
2024-12-22,14,partial
2024-12-23,100,partial
2024-12-25,57,full
2024-12-27,14,partial
2024-12-28,100,partial
2024-12-30,57,full
