date,path,coverage
2025-01-02,21,full
2025-01-10,21,full
2025-01-18,21,full
2025-01-26,21,full
2025-02-03,21,full
2025-02-11,21,full
2025-02-19,21,full
2025-02-27,21,full
2025-03-07,21,full
2025-03-15,21,full
2025-03-23,21,full
2025-03-31,21,full
2025-04-08,21,full
2025-04-16,21,full
2025-04-24,21,full
2025-05-02,21,full
2025-05-10,21,full
2025-05-18,21,full
2025-05-26,21,full
2025-06-03,21,full
2025-06-11,21,full
2025-06-19,21,full
2025-06-27,21,full
2025-07-05,21,full
2025-07-13,21,full
2025-07-21,21,full
2025-07-29,21,full
2025-08-06,21,full
2025-08-14,21,full
2025-08-22,21,full
2025-08-30,21,full
2025-09-07,21,full
2025-09-15,21,full
2025-09-23,21,full
2025-10-01,21,full
2025-10-09,21,full
2025-10-17,21,full
2025-10-25,21,full
2025-11-02,21,full
2025-11-10,21,full
2025-11-18,21,full
2025-11-26,21,full
2025-12-04,21,full
2025-12-12,21,full
2025-12-20,21,full
2025-12-28,21,full
