date,path,coverage
2025-01-05,25,partial
2025-01-06,26,partial
2025-01-13,25,partial
2025-01-14,26,partial
2025-01-21,25,partial
2025-01-22,26,partial
2025-01-29,25,partial
2025-01-30,26,partial
2025-02-06,25,partial
2025-02-07,26,partial
2025-02-14,25,partial
2025-02-15,26,partial
2025-02-22,25,partial
2025-02-23,26,partial
2025-03-02,25,partial
2025-03-03,26,partial
2025-03-10,25,partial
2025-03-11,26,partial
2025-03-18,25,partial
2025-03-19,26,partial
2025-03-26,25,partial
2025-03-27,26,partial
2025-04-03,25,partial
2025-04-04,26,partial
2025-04-11,25,partial
2025-04-12,26,partial
2025-04-19,25,partial
2025-04-20,26,partial
2025-04-27,25,partial
2025-04-28,26,partial
2025-05-05,25,partial
2025-05-06,26,partial
2025-05-13,25,partial
2025-05-14,26,partial
2025-05-21,25,partial
2025-05-22,26,partial
2025-05-29,25,partial
2025-05-30,26,partial
2025-06-06,25,partial
2025-06-07,26,partial
2025-06-14,25,partial
2025-06-15,26,partial
2025-06-22,25,partial
2025-06-23,26,partial
2025-06-30,25,partial
2025-07-01,26,partial
2025-07-08,25,partial
2025-07-09,26,partial
2025-07-16,25,partial
2025-07-17,26,partial
2025-07-24,25,partial
2025-07-25,26,partial
2025-08-01,25,partial
2025-08-02,26,partial
2025-08-09,25,partial
2025-08-10,26,partial
2025-08-17,25,partial
2025-08-18,26,partial
2025-08-25,25,partial
2025-08-26,26,partial
2025-09-02,25,partial
2025-09-03,26,partial
2025-09-10,25,partial
2025-09-11,26,partial
2025-09-18,25,partial
2025-09-19,26,partial
2025-09-26,25,partial
2025-09-27,26,partial
2025-10-04,25,partial
2025-10-05,26,partial
2025-10-12,25,partial
2025-10-13,26,partial
2025-10-20,25,partial
2025-10-21,26,partial
2025-10-28,25,partial
2025-10-29,26,partial
2025-11-05,25,partial
2025-11-06,26,partial
2025-11-13,25,partial
2025-11-14,26,partial
2025-11-21,25,partial
2025-11-22,26,partial
2025-11-29,25,partial
2025-11-30,26,partial
2025-12-07,25,partial
2025-12-08,26,partial
2025-12-15,25,partial
2025-12-16,26,partial
2025-12-23,25,partial
2025-12-24,26,partial
2025-12-31,25,partial
