date,path,coverage
2025-01-01,65,partial
2025-01-06,62,partial
2025-01-07,64,partial
2025-01-08,63,partial
2025-01-09,65,partial
2025-01-14,62,partial
2025-01-15,64,partial
2025-01-16,63,partial
2025-01-17,65,partial
2025-01-22,62,partial
2025-01-23,64,partial
2025-01-24,63,partial
2025-01-25,65,partial
2025-01-30,62,partial
2025-01-31,64,partial
2025-02-01,63,partial
2025-02-02,65,partial
2025-02-07,62,partial
2025-02-08,64,partial
2025-02-09,63,partial
2025-02-10,65,partial
2025-02-15,62,partial
2025-02-16,64,partial
2025-02-17,63,partial
2025-02-18,65,partial
2025-02-23,62,partial
2025-02-24,64,partial
2025-02-25,63,partial
2025-02-26,65,partial
2025-03-03,62,partial
2025-03-04,64,partial
2025-03-05,63,partial
2025-03-06,65,partial
2025-03-11,62,partial
2025-03-12,64,partial
2025-03-13,63,partial
2025-03-14,65,partial
2025-03-19,62,partial
2025-03-20,64,partial
2025-03-21,63,partial
2025-03-22,65,partial
2025-03-27,62,partial
2025-03-28,64,partial
2025-03-29,63,partial
2025-03-30,65,partial
2025-04-04,62,partial
2025-04-05,64,partial
2025-04-06,63,partial
2025-04-07,65,partial
2025-04-12,62,partial
2025-04-13,64,partial
2025-04-14,63,partial
2025-04-15,65,partial
2025-04-20,62,partial
2025-04-21,64,partial
2025-04-22,63,partial
2025-04-23,65,partial
2025-04-28,62,partial
2025-04-29,64,partial
2025-04-30,63,partial
2025-05-01,65,partial
2025-05-06,62,partial
2025-05-07,64,partial
2025-05-08,63,partial
2025-05-09,65,partial
2025-05-14,62,partial
2025-05-15,64,partial
2025-05-16,63,partial
2025-05-17,65,partial
2025-05-22,62,partial
2025-05-23,64,partial
2025-05-24,63,partial
2025-05-25,65,partial
2025-05-30,62,partial
2025-05-31,64,partial
2025-06-01,63,partial
2025-06-02,65,partial
2025-06-07,62,partial
2025-06-08,64,partial
2025-06-09,63,partial
2025-06-10,65,partial
2025-06-15,62,partial
2025-06-16,64,partial
2025-06-17,63,partial
2025-06-18,65,partial
2025-06-23,62,partial
2025-06-24,64,partial
2025-06-25,63,partial
2025-06-26,65,partial
2025-07-01,62,partial
2025-07-02,64,partial
2025-07-03,63,partial
2025-07-04,65,partial
2025-07-09,62,partial
2025-07-10,64,partial
2025-07-11,63,partial
2025-07-12,65,partial
2025-07-17,62,partial
2025-07-18,64,partial
2025-07-19,63,partial
2025-07-20,65,partial
2025-07-25,62,partial
2025-07-26,64,partial
2025-07-27,63,partial
2025-07-28,65,partial
2025-08-02,62,partial
2025-08-03,64,partial
2025-08-04,63,partial
2025-08-05,65,partial
2025-08-10,62,partial
2025-08-11,64,partial
2025-08-12,63,partial
2025-08-13,65,partial
2025-08-18,62,partial
2025-08-19,64,partial
2025-08-20,63,partial
2025-08-21,65,partial
2025-08-26,62,partial
2025-08-27,64,partial
2025-08-28,63,partial
2025-08-29,65,partial
2025-09-03,62,partial
2025-09-04,64,partial
2025-09-05,63,partial
2025-09-06,65,partial
2025-09-11,62,partial
2025-09-12,64,partial
2025-09-13,63,partial
2025-09-14,65,partial
2025-09-19,62,partial
2025-09-20,64,partial
2025-09-21,63,partial
2025-09-22,65,partial
2025-09-27,62,partial
2025-09-28,64,partial
2025-09-29,63,partial
2025-09-30,65,partial
2025-10-05,62,partial
2025-10-06,64,partial
2025-10-07,63,partial
2025-10-08,65,partial
2025-10-13,62,partial
2025-10-14,64,partial
2025-10-15,63,partial
2025-10-16,65,partial
2025-10-21,62,partial
2025-10-22,64,partial
2025-10-23,63,partial
2025-10-24,65,partial
2025-10-29,62,partial
2025-10-30,64,partial
2025-10-31,63,partial
2025-11-01,65,partial
2025-11-06,62,partial
2025-11-07,64,partial
2025-11-08,63,partial
2025-11-09,65,partial
2025-11-14,62,partial
2025-11-15,64,partial
2025-11-16,63,partial
2025-11-17,65,partial
2025-11-22,62,partial
2025-11-23,64,partial
2025-11-24,63,partial
2025-11-25,65,partial
2025-11-30,62,partial
2025-12-01,64,partial
2025-12-02,63,partial
2025-12-03,65,partial
2025-12-08,62,partial
2025-12-09,64,partial
2025-12-10,63,partial
2025-12-11,65,partial
2025-12-16,62,partial
2025-12-17,64,partial
2025-12-18,63,partial
2025-12-19,65,partial
2025-12-24,62,partial
2025-12-25,64,partial
2025-12-26,63,partial
2025-12-27,65,partial
