date,path,coverage
2025-01-01,72,partial
2025-01-06,73,partial
2025-01-07,70,partial
2025-01-08,71,full
2025-01-09,72,partial
2025-01-14,73,partial
2025-01-15,70,partial
2025-01-16,71,full
2025-01-17,72,partial
2025-01-22,73,partial
2025-01-23,70,partial
2025-01-24,71,full
2025-01-25,72,partial
2025-01-30,73,partial
2025-01-31,70,partial
2025-02-01,71,full
2025-02-02,72,partial
2025-02-07,73,partial
2025-02-08,70,partial
2025-02-09,71,full
2025-02-10,72,partial
2025-02-15,73,partial
2025-02-16,70,partial
2025-02-17,71,full
2025-02-18,72,partial
2025-02-23,73,partial
2025-02-24,70,partial
2025-02-25,71,full
2025-02-26,72,partial
2025-03-03,73,partial
2025-03-04,70,partial
2025-03-05,71,full
2025-03-06,72,partial
2025-03-11,73,partial
2025-03-12,70,partial
2025-03-13,71,full
2025-03-14,72,partial
2025-03-19,73,partial
2025-03-20,70,partial
2025-03-21,71,full
2025-03-22,72,partial
2025-03-27,73,partial
2025-03-28,70,partial
2025-03-29,71,full
2025-03-30,72,partial
2025-04-04,73,partial
2025-04-05,70,partial
2025-04-06,71,full
2025-04-07,72,partial
2025-04-12,73,partial
2025-04-13,70,partial
2025-04-14,71,full
2025-04-15,72,partial
2025-04-20,73,partial
2025-04-21,70,partial
2025-04-22,71,full
2025-04-23,72,partial
2025-04-28,73,partial
2025-04-29,70,partial
2025-04-30,71,full
2025-05-01,72,partial
2025-05-06,73,partial
2025-05-07,70,partial
2025-05-08,71,full
2025-05-09,72,partial
2025-05-14,73,partial
2025-05-15,70,partial
2025-05-16,71,full
2025-05-17,72,partial
2025-05-22,73,partial
2025-05-23,70,partial
2025-05-24,71,full
2025-05-25,72,partial
2025-05-30,73,partial
2025-05-31,70,partial
2025-06-01,71,full
2025-06-02,72,partial
2025-06-07,73,partial
2025-06-08,70,partial
2025-06-09,71,full
2025-06-10,72,partial
2025-06-15,73,partial
2025-06-16,70,partial
2025-06-17,71,full
2025-06-18,72,partial
2025-06-23,73,partial
2025-06-24,70,partial
2025-06-25,71,full
2025-06-26,72,partial
2025-07-01,73,partial
2025-07-02,70,partial
2025-07-03,71,full
2025-07-04,72,partial
2025-07-09,73,partial
2025-07-10,70,partial
2025-07-11,71,full
2025-07-12,72,partial
2025-07-17,73,partial
2025-07-18,70,partial
2025-07-19,71,full
2025-07-20,72,partial
2025-07-25,73,partial
2025-07-26,70,partial
2025-07-27,71,full
2025-07-28,72,partial
2025-08-02,73,partial
2025-08-03,70,partial
2025-08-04,71,full
2025-08-05,72,partial
2025-08-10,73,partial
2025-08-11,70,partial
2025-08-12,71,full
2025-08-13,72,partial
2025-08-18,73,partial
2025-08-19,70,partial
2025-08-20,71,full
2025-08-21,72,partial
2025-08-26,73,partial
2025-08-27,70,partial
2025-08-28,71,full
2025-08-29,72,partial
2025-09-03,73,partial
2025-09-04,70,partial
2025-09-05,71,full
2025-09-06,72,partial
2025-09-11,73,partial
2025-09-12,70,partial
2025-09-13,71,full
2025-09-14,72,partial
2025-09-19,73,partial
2025-09-20,70,partial
2025-09-21,71,full
2025-09-22,72,partial
2025-09-27,73,partial
2025-09-28,70,partial
2025-09-29,71,full
2025-09-30,72,partial
2025-10-05,73,partial
2025-10-06,70,partial
2025-10-07,71,full
2025-10-08,72,partial
2025-10-13,73,partial
2025-10-14,70,partial
2025-10-15,71,full
2025-10-16,72,partial
2025-10-21,73,partial
2025-10-22,70,partial
2025-10-23,71,full
2025-10-24,72,partial
2025-10-29,73,partial
2025-10-30,70,partial
2025-10-31,71,full
2025-11-01,72,partial
2025-11-06,73,partial
2025-11-07,70,partial
2025-11-08,71,full
2025-11-09,72,partial
2025-11-14,73,partial
2025-11-15,70,partial
2025-11-16,71,full
2025-11-17,72,partial
2025-11-22,73,partial
2025-11-23,70,partial
2025-11-24,71,full
2025-11-25,72,partial
2025-11-30,73,partial
2025-12-01,70,partial
2025-12-02,71,full
2025-12-03,72,partial
2025-12-08,73,partial
2025-12-09,70,partial
2025-12-10,71,full
2025-12-11,72,partial
2025-12-16,73,partial
2025-12-17,70,partial
2025-12-18,71,full
2025-12-19,72,partial
2025-12-24,73,partial
2025-12-25,70,partial
2025-12-26,71,full
2025-12-27,72,partial
