date,path,coverage
2025-01-01,81,partial
2025-01-06,78,partial
2025-01-07,80,full
2025-01-08,79,full
2025-01-09,81,partial
2025-01-14,78,partial
2025-01-15,80,full
2025-01-16,79,full
2025-01-17,81,partial
2025-01-22,78,partial
2025-01-23,80,full
2025-01-24,79,full
2025-01-25,81,partial
2025-01-30,78,partial
2025-01-31,80,full
2025-02-01,79,full
2025-02-02,81,partial
2025-02-07,78,partial
2025-02-08,80,full
2025-02-09,79,full
2025-02-10,81,partial
2025-02-15,78,partial
2025-02-16,80,full
2025-02-17,79,full
2025-02-18,81,partial
2025-02-23,78,partial
2025-02-24,80,full
2025-02-25,79,full
2025-02-26,81,partial
2025-03-03,78,partial
2025-03-04,80,full
2025-03-05,79,full
2025-03-06,81,partial
2025-03-11,78,partial
2025-03-12,80,full
2025-03-13,79,full
2025-03-14,81,partial
2025-03-19,78,partial
2025-03-20,80,full
2025-03-21,79,full
2025-03-22,81,partial
2025-03-27,78,partial
2025-03-28,80,full
2025-03-29,79,full
2025-03-30,81,partial
2025-04-04,78,partial
2025-04-05,80,full
2025-04-06,79,full
2025-04-07,81,partial
2025-04-12,78,partial
2025-04-13,80,full
2025-04-14,79,full
2025-04-15,81,partial
2025-04-20,78,partial
2025-04-21,80,full
2025-04-22,79,full
2025-04-23,81,partial
2025-04-28,78,partial
2025-04-29,80,full
2025-04-30,79,full
2025-05-01,81,partial
2025-05-06,78,partial
2025-05-07,80,full
2025-05-08,79,full
2025-05-09,81,partial
2025-05-14,78,partial
2025-05-15,80,full
2025-05-16,79,full
2025-05-17,81,partial
2025-05-22,78,partial
2025-05-23,80,full
2025-05-24,79,full
2025-05-25,81,partial
2025-05-30,78,partial
2025-05-31,80,full
2025-06-01,79,full
2025-06-02,81,partial
2025-06-07,78,partial
2025-06-08,80,full
2025-06-09,79,full
2025-06-10,81,partial
2025-06-15,78,partial
2025-06-16,80,full
2025-06-17,79,full
2025-06-18,81,partial
2025-06-23,78,partial
2025-06-24,80,full
2025-06-25,79,full
2025-06-26,81,partial
2025-07-01,78,partial
2025-07-02,80,full
2025-07-03,79,full
2025-07-04,81,partial
2025-07-09,78,partial
2025-07-10,80,full
2025-07-11,79,full
2025-07-12,81,partial
2025-07-17,78,partial
2025-07-18,80,full
2025-07-19,79,full
2025-07-20,81,partial
2025-07-25,78,partial
2025-07-26,80,full
2025-07-27,79,full
2025-07-28,81,partial
2025-08-02,78,partial
2025-08-03,80,full
2025-08-04,79,full
2025-08-05,81,partial
2025-08-10,78,partial
2025-08-11,80,full
2025-08-12,79,full
2025-08-13,81,partial
2025-08-18,78,partial
2025-08-19,80,full
2025-08-20,79,full
2025-08-21,81,partial
2025-08-26,78,partial
2025-08-27,80,full
2025-08-28,79,full
2025-08-29,81,partial
2025-09-03,78,partial
2025-09-04,80,full
2025-09-05,79,full
2025-09-06,81,partial
2025-09-11,78,partial
2025-09-12,80,full
2025-09-13,79,full
2025-09-14,81,partial
2025-09-19,78,partial
2025-09-20,80,full
2025-09-21,79,full
2025-09-22,81,partial
2025-09-27,78,partial
2025-09-28,80,full
2025-09-29,79,full
2025-09-30,81,partial
2025-10-05,78,partial
2025-10-06,80,full
2025-10-07,79,full
2025-10-08,81,partial
2025-10-13,78,partial
2025-10-14,80,full
2025-10-15,79,full
2025-10-16,81,partial
2025-10-21,78,partial
2025-10-22,80,full
2025-10-23,79,full
2025-10-24,81,partial
2025-10-29,78,partial
2025-10-30,80,full
2025-10-31,79,full
2025-11-01,81,partial
2025-11-06,78,partial
2025-11-07,80,full
2025-11-08,79,full
2025-11-09,81,partial
2025-11-14,78,partial
2025-11-15,80,full
2025-11-16,79,full
2025-11-17,81,partial
2025-11-22,78,partial
2025-11-23,80,full
2025-11-24,79,full
2025-11-25,81,partial
2025-11-30,78,partial
2025-12-01,80,full
2025-12-02,79,full
2025-12-03,81,partial
2025-12-08,78,partial
2025-12-09,80,full
2025-12-10,79,full
2025-12-11,81,partial
2025-12-16,78,partial
2025-12-17,80,full
2025-12-18,79,full
2025-12-19,81,partial
2025-12-24,78,partial
2025-12-25,80,full
2025-12-26,79,full
2025-12-27,81,partial
