date,track,coverage
2025-01-05,143,full
2025-01-10,143,full
2025-01-15,143,full
2025-01-20,143,full
2025-01-25,143,full
2025-01-30,143,full
2025-02-04,143,full
2025-02-09,143,full
2025-02-14,143,full
2025-02-19,143,full
2025-02-24,143,full
2025-03-01,143,full
2025-03-06,143,full
2025-03-11,143,full
2025-03-16,143,full
2025-03-21,143,full
2025-03-26,143,full
2025-03-31,143,full
2025-04-05,143,full
2025-04-10,143,full
2025-04-15,143,full
2025-04-20,143,full
2025-04-25,143,full
2025-04-30,143,full
2025-05-05,143,full
2025-05-10,143,full
2025-05-15,143,full
2025-05-20,143,full
2025-05-25,143,full
2025-05-30,143,full
2025-06-04,143,full
2025-06-09,143,full
2025-06-14,143,full
2025-06-19,143,full
2025-06-24,143,full
2025-06-29,143,full
2025-07-04,143,full
2025-07-09,143,full
2025-07-14,143,full
2025-07-19,143,full
2025-07-24,143,full
2025-07-29,143,full
2025-08-03,143,full
2025-08-08,143,full
2025-08-13,143,full
2025-08-18,143,full
2025-08-23,143,full
2025-08-28,143,full
2025-09-02,143,full
2025-09-07,143,full
2025-09-12,143,full
2025-09-17,143,full
2025-09-22,143,full
2025-09-27,143,full
2025-10-02,143,full
2025-10-07,143,full
2025-10-12,143,full
2025-10-17,143,full
2025-10-22,143,full
2025-10-27,143,full
2025-11-01,143,full
2025-11-06,143,full
2025-11-11,143,full
2025-11-16,143,full
2025-11-21,143,full
2025-11-26,143,full
2025-12-01,143,full
2025-12-06,143,full
2025-12-11,143,full
2025-12-16,143,full
2025-12-21,143,full
2025-12-26,143,full
2025-12-31,143,full
