date,track,coverage
2025-01-01,15,full
2025-01-03,58,full
2025-01-04,115,full
2025-01-06,15,full
2025-01-08,58,full
2025-01-09,115,full
2025-01-11,15,full
2025-01-13,58,full
2025-01-14,115,full
2025-01-16,15,full
2025-01-18,58,full
2025-01-19,115,full
2025-01-21,15,full
2025-01-23,58,full
2025-01-24,115,full
2025-01-26,15,full
2025-01-28,58,full
2025-01-29,115,full
2025-01-31,15,full
2025-02-02,58,full
2025-02-03,115,full
2025-02-05,15,full
2025-02-07,58,full
2025-02-08,115,full
2025-02-10,15,full
2025-02-12,58,full
2025-02-13,115,full
2025-02-15,15,full
2025-02-17,58,full
2025-02-18,115,full
2025-02-20,15,full
2025-02-22,58,full
2025-02-23,115,full
2025-02-25,15,full
2025-02-27,58,full
2025-02-28,115,full
2025-03-02,15,full
2025-03-04,58,full
2025-03-05,115,full
2025-03-07,15,full
2025-03-09,58,full
2025-03-10,115,full
2025-03-12,15,full
2025-03-14,58,full
2025-03-15,115,full
2025-03-17,15,full
2025-03-19,58,full
2025-03-20,115,full
2025-03-22,15,full
2025-03-24,58,full
2025-03-25,115,full
2025-03-27,15,full
2025-03-29,58,full
2025-03-30,115,full
2025-04-01,15,full
2025-04-03,58,full
2025-04-04,115,full
2025-04-06,15,full
2025-04-08,58,full
2025-04-09,115,full
2025-04-11,15,full
2025-04-13,58,full
2025-04-14,115,full
2025-04-16,15,full
2025-04-18,58,full
2025-04-19,115,full
2025-04-21,15,full
2025-04-23,58,full
2025-04-24,115,full
2025-04-26,15,full
2025-04-28,58,full
2025-04-29,115,full
2025-05-01,15,full
2025-05-03,58,full
2025-05-04,115,full
2025-05-06,15,full
2025-05-08,58,full
2025-05-09,115,full
2025-05-11,15,full
2025-05-13,58,full
2025-05-14,115,full
2025-05-16,15,full
2025-05-18,58,full
2025-05-19,115,full
2025-05-21,15,full
2025-05-23,58,full
2025-05-24,115,full
2025-05-26,15,full
2025-05-28,58,full
2025-05-29,115,full
2025-05-31,15,full
2025-06-02,58,full
2025-06-03,115,full
2025-06-05,15,full
2025-06-07,58,full
2025-06-08,115,full
2025-06-10,15,full
2025-06-12,58,full
2025-06-13,115,full
2025-06-15,15,full
2025-06-17,58,full
2025-06-18,115,full
2025-06-20,15,full
2025-06-22,58,full
2025-06-23,115,full
2025-06-25,15,full
2025-06-27,58,full
2025-06-28,115,full
2025-06-30,15,full
2025-07-02,58,full
2025-07-03,115,full
2025-07-05,15,full
2025-07-07,58,full
2025-07-08,115,full
2025-07-10,15,full
2025-07-12,58,full
2025-07-13,115,full
2025-07-15,15,full
2025-07-17,58,full
2025-07-18,115,full
2025-07-20,15,full
2025-07-22,58,full
2025-07-23,115,full
2025-07-25,15,full
2025-07-27,58,full
2025-07-28,115,full
2025-07-30,15,full
2025-08-01,58,full
2025-08-02,115,full
2025-08-04,15,full
2025-08-06,58,full
2025-08-07,115,full
2025-08-09,15,full
2025-08-11,58,full
2025-08-12,115,full
2025-08-14,15,full
2025-08-16,58,full
2025-08-17,115,full
2025-08-19,15,full
2025-08-21,58,full
2025-08-22,115,full
2025-08-24,15,full
2025-08-26,58,full
2025-08-27,115,full
2025-08-29,15,full
2025-08-31,58,full
2025-09-01,115,full
2025-09-03,15,full
2025-09-05,58,full
2025-09-06,115,full
2025-09-08,15,full
2025-09-10,58,full
2025-09-11,115,full
2025-09-13,15,full
2025-09-15,58,full
2025-09-16,115,full
2025-09-18,15,full
2025-09-20,58,full
2025-09-21,115,full
2025-09-23,15,full
2025-09-25,58,full
2025-09-26,115,full
2025-09-28,15,full
2025-09-30,58,full
2025-10-01,115,full
2025-10-03,15,full
2025-10-05,58,full
2025-10-06,115,full
2025-10-08,15,full
2025-10-10,58,full
2025-10-11,115,full
2025-10-13,15,full
2025-10-15,58,full
2025-10-16,115,full
2025-10-18,15,full
2025-10-20,58,full
2025-10-21,115,full
2025-10-23,15,full
2025-10-25,58,full
2025-10-26,115,full
2025-10-28,15,full
2025-10-30,58,full
2025-10-31,115,full
2025-11-02,15,full
2025-11-04,58,full
2025-11-05,115,full
2025-11-07,15,full
2025-11-09,58,full
2025-11-10,115,full
2025-11-12,15,full
2025-11-14,58,full
2025-11-15,115,full
2025-11-17,15,full
2025-11-19,58,full
2025-11-20,115,full
2025-11-22,15,full
2025-11-24,58,full
2025-11-25,115,full
2025-11-27,15,full
2025-11-29,58,full
2025-11-30,115,full
2025-12-02,15,full
2025-12-04,58,full
2025-12-05,115,full
2025-12-07,15,full
2025-12-09,58,full
2025-12-10,115,full
2025-12-12,15,full
2025-12-14,58,full
2025-12-15,115,full
2025-12-17,15,full
2025-12-19,58,full
2025-12-20,115,full
2025-12-22,15,full
2025-12-24,58,full
2025-12-25,115,full
2025-12-27,15,full
2025-12-29,58,full
2025-12-30,115,full
