date,track,coverage
2025-01-01,44,full
2025-01-02,101,partial
2025-01-03,87,full
2025-01-05,1,full
2025-01-06,44,full
2025-01-07,101,partial
2025-01-08,87,full
2025-01-10,1,full
2025-01-11,44,full
2025-01-12,101,partial
2025-01-13,87,full
2025-01-15,1,full
2025-01-16,44,full
2025-01-17,101,partial
2025-01-18,87,full
2025-01-20,1,full
2025-01-21,44,full
2025-01-22,101,partial
2025-01-23,87,full
2025-01-25,1,full
2025-01-26,44,full
2025-01-27,101,partial
2025-01-28,87,full
2025-01-30,1,full
2025-01-31,44,full
2025-02-01,101,partial
2025-02-02,87,full
2025-02-04,1,full
2025-02-05,44,full
2025-02-06,101,partial
2025-02-07,87,full
2025-02-09,1,full
2025-02-10,44,full
2025-02-11,101,partial
2025-02-12,87,full
2025-02-14,1,full
2025-02-15,44,full
2025-02-16,101,partial
2025-02-17,87,full
2025-02-19,1,full
2025-02-20,44,full
2025-02-21,101,partial
2025-02-22,87,full
2025-02-24,1,full
2025-02-25,44,full
2025-02-26,101,partial
2025-02-27,87,full
2025-03-01,1,full
2025-03-02,44,full
2025-03-03,101,partial
2025-03-04,87,full
2025-03-06,1,full
2025-03-07,44,full
2025-03-08,101,partial
2025-03-09,87,full
2025-03-11,1,full
2025-03-12,44,full
2025-03-13,101,partial
2025-03-14,87,full
2025-03-16,1,full
2025-03-17,44,full
2025-03-18,101,partial
2025-03-19,87,full
2025-03-21,1,full
2025-03-22,44,full
2025-03-23,101,partial
2025-03-24,87,full
2025-03-26,1,full
2025-03-27,44,full
2025-03-28,101,partial
2025-03-29,87,full
2025-03-31,1,full
2025-04-01,44,full
2025-04-02,101,partial
2025-04-03,87,full
2025-04-05,1,full
2025-04-06,44,full
2025-04-07,101,partial
2025-04-08,87,full
2025-04-10,1,full
2025-04-11,44,full
2025-04-12,101,partial
2025-04-13,87,full
2025-04-15,1,full
2025-04-16,44,full
2025-04-17,101,partial
2025-04-18,87,full
2025-04-20,1,full
2025-04-21,44,full
2025-04-22,101,partial
2025-04-23,87,full
2025-04-25,1,full
2025-04-26,44,full
2025-04-27,101,partial
2025-04-28,87,full
2025-04-30,1,full
2025-05-01,44,full
2025-05-02,101,partial
2025-05-03,87,full
2025-05-05,1,full
2025-05-06,44,full
2025-05-07,101,partial
2025-05-08,87,full
2025-05-10,1,full
2025-05-11,44,full
2025-05-12,101,partial
2025-05-13,87,full
2025-05-15,1,full
2025-05-16,44,full
2025-05-17,101,partial
2025-05-18,87,full
2025-05-20,1,full
2025-05-21,44,full
2025-05-22,101,partial
2025-05-23,87,full
2025-05-25,1,full
2025-05-26,44,full
2025-05-27,101,partial
2025-05-28,87,full
2025-05-30,1,full
2025-05-31,44,full
2025-06-01,101,partial
2025-06-02,87,full
2025-06-04,1,full
2025-06-05,44,full
2025-06-06,101,partial
2025-06-07,87,full
2025-06-09,1,full
2025-06-10,44,full
2025-06-11,101,partial
2025-06-12,87,full
2025-06-14,1,full
2025-06-15,44,full
2025-06-16,101,partial
2025-06-17,87,full
2025-06-19,1,full
2025-06-20,44,full
2025-06-21,101,partial
2025-06-22,87,full
2025-06-24,1,full
2025-06-25,44,full
2025-06-26,101,partial
2025-06-27,87,full
2025-06-29,1,full
2025-06-30,44,full
2025-07-01,101,partial
2025-07-02,87,full
2025-07-04,1,full
2025-07-05,44,full
2025-07-06,101,partial
2025-07-07,87,full
2025-07-09,1,full
2025-07-10,44,full
2025-07-11,101,partial
2025-07-12,87,full
2025-07-14,1,full
2025-07-15,44,full
2025-07-16,101,partial
2025-07-17,87,full
2025-07-19,1,full
2025-07-20,44,full
2025-07-21,101,partial
2025-07-22,87,full
2025-07-24,1,full
2025-07-25,44,full
2025-07-26,101,partial
2025-07-27,87,full
2025-07-29,1,full
2025-07-30,44,full
2025-07-31,101,partial
2025-08-01,87,full
2025-08-03,1,full
2025-08-04,44,full
2025-08-05,101,partial
2025-08-06,87,full
2025-08-08,1,full
2025-08-09,44,full
2025-08-10,101,partial
2025-08-11,87,full
2025-08-13,1,full
2025-08-14,44,full
2025-08-15,101,partial
2025-08-16,87,full
2025-08-18,1,full
2025-08-19,44,full
2025-08-20,101,partial
2025-08-21,87,full
2025-08-23,1,full
2025-08-24,44,full
2025-08-25,101,partial
2025-08-26,87,full
2025-08-28,1,full
2025-08-29,44,full
2025-08-30,101,partial
2025-08-31,87,full
2025-09-02,1,full
2025-09-03,44,full
2025-09-04,101,partial
2025-09-05,87,full
2025-09-07,1,full
2025-09-08,44,full
2025-09-09,101,partial
2025-09-10,87,full
2025-09-12,1,full
2025-09-13,44,full
2025-09-14,101,partial
2025-09-15,87,full
2025-09-17,1,full
2025-09-18,44,full
2025-09-19,101,partial
2025-09-20,87,full
2025-09-22,1,full
2025-09-23,44,full
2025-09-24,101,partial
2025-09-25,87,full
2025-09-27,1,full
2025-09-28,44,full
2025-09-29,101,partial
2025-09-30,87,full
2025-10-02,1,full
2025-10-03,44,full
2025-10-04,101,partial
2025-10-05,87,full
2025-10-07,1,full
2025-10-08,44,full
2025-10-09,101,partial
2025-10-10,87,full
2025-10-12,1,full
2025-10-13,44,full
2025-10-14,101,partial
2025-10-15,87,full
2025-10-17,1,full
2025-10-18,44,full
2025-10-19,101,partial
2025-10-20,87,full
2025-10-22,1,full
2025-10-23,44,full
2025-10-24,101,partial
