date,track,coverage
2025-01-01,15,partial
2025-01-02,29,partial
2025-01-03,115,full
2025-01-05,72,full
2025-01-06,15,partial
2025-01-07,29,partial
2025-01-08,115,full
2025-01-10,72,full
2025-01-11,15,partial
2025-01-12,29,partial
2025-01-13,115,full
2025-01-15,72,full
2025-01-16,15,partial
2025-01-17,29,partial
2025-01-18,115,full
2025-01-20,72,full
2025-01-21,15,partial
2025-01-22,29,partial
2025-01-23,115,full
2025-01-25,72,full
2025-01-26,15,partial
2025-01-27,29,partial
2025-01-28,115,full
2025-01-30,72,full
2025-01-31,15,partial
2025-02-01,29,partial
2025-02-02,115,full
2025-02-04,72,full
2025-02-05,15,partial
2025-02-06,29,partial
2025-02-07,115,full
2025-02-09,72,full
2025-02-10,15,partial
2025-02-11,29,partial
2025-02-12,115,full
2025-02-14,72,full
2025-02-15,15,partial
2025-02-16,29,partial
2025-02-17,115,full
2025-02-19,72,full
2025-02-20,15,partial
2025-02-21,29,partial
2025-02-22,115,full
2025-02-24,72,full
2025-02-25,15,partial
2025-02-26,29,partial
2025-02-27,115,full
2025-03-01,72,full
2025-03-02,15,partial
2025-03-03,29,partial
2025-03-04,115,full
2025-03-06,72,full
2025-03-07,15,partial
2025-03-08,29,partial
2025-03-09,115,full
2025-03-11,72,full
2025-03-12,15,partial
2025-03-13,29,partial
2025-03-14,115,full
2025-03-16,72,full
2025-03-17,15,partial
2025-03-18,29,partial
2025-03-19,115,full
2025-03-21,72,full
2025-03-22,15,partial
2025-03-23,29,partial
2025-03-24,115,full
2025-03-26,72,full
2025-03-27,15,partial
2025-03-28,29,partial
2025-03-29,115,full
2025-03-31,72,full
2025-04-01,15,partial
2025-04-02,29,partial
2025-04-03,115,full
2025-04-05,72,full
2025-04-06,15,partial
2025-04-07,29,partial
2025-04-08,115,full
2025-04-10,72,full
2025-04-11,15,partial
2025-04-12,29,partial
2025-04-13,115,full
2025-04-15,72,full
2025-04-16,15,partial
2025-04-17,29,partial
2025-04-18,115,full
2025-04-20,72,full
2025-04-21,15,partial
2025-04-22,29,partial
2025-04-23,115,full
2025-04-25,72,full
2025-04-26,15,partial
2025-04-27,29,partial
2025-04-28,115,full
2025-04-30,72,full
2025-05-01,15,partial
2025-05-02,29,partial
2025-05-03,115,full
2025-05-05,72,full
2025-05-06,15,partial
2025-05-07,29,partial
2025-05-08,115,full
2025-05-10,72,full
2025-05-11,15,partial
2025-05-12,29,partial
2025-05-13,115,full
2025-05-15,72,full
2025-05-16,15,partial
2025-05-17,29,partial
2025-05-18,115,full
2025-05-20,72,full
2025-05-21,15,partial
2025-05-22,29,partial
2025-05-23,115,full
2025-05-25,72,full
2025-05-26,15,partial
2025-05-27,29,partial
2025-05-28,115,full
2025-05-30,72,full
2025-05-31,15,partial
2025-06-01,29,partial
2025-06-02,115,full
2025-06-04,72,full
2025-06-05,15,partial
2025-06-06,29,partial
2025-06-07,115,full
2025-06-09,72,full
2025-06-10,15,partial
2025-06-11,29,partial
2025-06-12,115,full
2025-06-14,72,full
2025-06-15,15,partial
2025-06-16,29,partial
2025-06-17,115,full
2025-06-19,72,full
2025-06-20,15,partial
2025-06-21,29,partial
2025-06-22,115,full
2025-06-24,72,full
2025-06-25,15,partial
2025-06-26,29,partial
2025-06-27,115,full
2025-06-29,72,full
2025-06-30,15,partial
2025-07-01,29,partial
2025-07-02,115,full
2025-07-04,72,full
2025-07-05,15,partial
2025-07-06,29,partial
2025-07-07,115,full
2025-07-09,72,full
2025-07-10,15,partial
2025-07-11,29,partial
2025-07-12,115,full
2025-07-14,72,full
2025-07-15,15,partial
2025-07-16,29,partial
2025-07-17,115,full
2025-07-19,72,full
2025-07-20,15,partial
2025-07-21,29,partial
2025-07-22,115,full
2025-07-24,72,full
2025-07-25,15,partial
2025-07-26,29,partial
2025-07-27,115,full
2025-07-29,72,full
2025-07-30,15,partial
2025-07-31,29,partial
2025-08-01,115,full
2025-08-03,72,full
2025-08-04,15,partial
2025-08-05,29,partial
2025-08-06,115,full
2025-08-08,72,full
2025-08-09,15,partial
2025-08-10,29,partial
2025-08-11,115,full
2025-08-13,72,full
2025-08-14,15,partial
2025-08-15,29,partial
2025-08-16,115,full
2025-08-18,72,full
2025-08-19,15,partial
2025-08-20,29,partial
2025-08-21,115,full
2025-08-23,72,full
2025-08-24,15,partial
2025-08-25,29,partial
2025-08-26,115,full
2025-08-28,72,full
2025-08-29,15,partial
2025-08-30,29,partial
2025-08-31,115,full
2025-09-02,72,full
2025-09-03,15,partial
2025-09-04,29,partial
2025-09-05,115,full
2025-09-07,72,full
2025-09-08,15,partial
2025-09-09,29,partial
2025-09-10,115,full
2025-09-12,72,full
2025-09-13,15,partial
2025-09-14,29,partial
2025-09-15,115,full
2025-09-17,72,full
2025-09-18,15,partial
2025-09-19,29,partial
2025-09-20,115,full
2025-09-22,72,full
2025-09-23,15,partial
2025-09-24,29,partial
2025-09-25,115,full
2025-09-27,72,full
2025-09-28,15,partial
2025-09-29,29,partial
2025-09-30,115,full
2025-10-02,72,full
2025-10-03,15,partial
2025-10-04,29,partial
2025-10-05,115,full
2025-10-07,72,full
