gnis_id,gnis_name
00371194,Agency Lateral
01123334,Locket Gulch Siphon
00389479,Rock Creek
00399861,East Fork Bull Creek
00391915,Tenmile Creek
00382309,Goat Creek
00377303,Bedrock Creek
00381322,Elizabeth Creek
00390515,Skid Road Creek
00390897,South Fork Campbell Canyon
00378872,Canyon Creek
00384746,Little Boulder Creek
01124097,Middle Ditch
00378115,Boundary Creek
00390596,Slickear Creek
00378283,Browns Camp Creek
00771030,East Fork Corral Creek
00383914,Jim Ford Creek
00380436,Deer Creek
00389993,Sawtooth Creek
00781684,Corona Creek
00392197,Tobacco Can Creek
00380501,Demorest Creek
00859891,Gravel Creek
00391243,Spruce Creek
00787643,Moose Creek
00382846,Hamilton Creek
00379354,Circle End Creek
00387554,Nibbler Creek
00390890,South Fork Brush Creek
00395632,Little House Creek
02709294,Lateral 1590A
01522105,Lime Creek
00784403,Guide Creek
00374122,Neva Lateral
00382690,Grindstone Creek
00386217,Lower Cedar Creek
00377235,Beaver Creek
00377472,Big Creek
00859544,Dorsey Creek
00393478,Williamson Creek
00387212,Morgan Creek
01597749,Anderson Creek
00793265,Wickiup Creek
00388950,Pyrite Creek
01129487,West Fork McGraw Creek
00772312,Heifer Creek
00386388,Mahoney Creek
00380424,Deer Creek
00380333,Deadman Creek
00399854,Divide Creek
00779807,Big Flat Ditch
00382189,Gardiner Creek
00375782,Weeks Drain
00782872,East Fork Lookout Creek
00374628,Redman Lateral
01441969,Hyrum Canal
00380194,Cutler Creek
00393161,West Fork Osier Creek
00383165,Higgins Creek
00386480,Marsh Creek
00386627,McMahan Creek
00786784,Maiden Creek
00381409,Elkhorn Creek
00790591,Skillet Creek
02439069,Stevens Ditch
00378915,Caribou Creek
00379152,Chair Creek
00389066,Ramey Creek
00380183,Curtis Creek
00782406,Divide Creek
00782810,East Fork Blue Creek
00381658,Fern Creek
00374322,Parker Gulch Drain
00376074,Lawrence Creek
00786263,Little California Creek
00388455,Pilot Creek
00371214,Alkire Creek
00399790,Big Pine Creek
00394337,South Fork Warm Spring Creek
00386066,Long Liz Creek
00779928,Birch Creek
00393621,Wolf Creek
00379783,Corral Creek
00388155,Papoose Creek
01600325,Higby Creek
00380981,Eagle Creek
00377601,Big Springs Creek
00378910,Carey Creek
00393127,West Fork James Creek
00386597,McDevitt Creek
00387889,Number One Creek
00392568,Twomile Creek
00387630,North Creek
01594459,Slocum Creek
00792834,Warm Springs Creek
00391000,South Fork Rainey Creek
02517354,J 19 Lateral
00388239,Partridge Creek
00391682,Surprise Creek
00372547,East Dempsey Creek
00388180,Paradise Creek
00381504,Eva Creek
00780988,Cascade Creek
00789385,Rape Creek
00371320,B Lateral
00391444,Steves Creek
00861553,Springs Creek
00790944,South Fork Divide Creek
00392006,Third Fork Squaw Creek
00393312,White Bird Creek
00392281,Trail Creek
00378307,Bruin Creek
00379020,Castle Rock Creek
00376508,Alder Creek
02707086,Gooding City Overflow
00388928,Purcell Creek
00379248,Chick Creek
01519423,Exposure Creek
00383232,Hodge Nibley Creek
00381199,East Fork Wickiup Creek
00393509,Willow Creek
00378019,Bonehead Creek
00386037,Long Creek
00391020,South Fork Sheep Creek
00382705,Ground Hog Creek
00376511,Alder Creek
01602259,Porcupine Creek
00388454,Pilot Creek
00391853,Tater Creek
00381428,Ellis Creek
00374880,Samaria Creek
00399492,Flat Creek
00382851,Hammer Creek
01502985,Alkali Flat Creek
02569126,Lateral S-18
01507281,Paqua Creek
00381557,Fall Creek
01601782,North Fork Lander Creek
00399633,West Fork Dip Vat Creek
01119746,Dead Ox Canal
00379755,Corner Creek
00378998,Castle Creek
00790829,Soft Rock Creek
00373223,Indian Creek
00392729,Victor Creek
00373109,Holes Creek
00377486,Big Creek
00375095,Snow Creek
00389962,Sawmill Creek
00394655,Trandsfer Creek
00390818,Soldier Creek
00377439,Big Boulder Creek
00374405,Pine Lateral
01504636,East Fork Downing Creek
00381361,Elk Creek
00399963,Long Creek
00783254,Evans Creek
00377005,Basin Creek
00386572,McCarter Creek
00387763,North Fork Reeds Creek
00842081,Middle Fork Jakes Creek
00375316,Sturgeon Lateral
00390541,Skunk Cabbage Flat
00380216,Daisy Creek
00390979,South Fork Murray Creek
00784779,Hennesey Creek
00789907,Sage Creek
00391027,South Fork Skookumchuck Creek
00375912,Williams Creek
00394206,Olds Creek
00375485,Thomas Creek
00395195,Chalmplain Creek
00374204,North Fork Rattlesnake Creek
00393468,Williams Creek
01503667,Burping Brook
00390968,South Fork Little Copper Creek
00386000,Lone Pine Creek
00378668,Cabin Spring Creek
00373128,Hooker Lateral
00861647,Sweet Creek
00384334,Laffinwell Creek
00381862,Flicker Creek
00389703,Ruby Creek
