s2_full,s2_partial,l8_full,l8_partial
97,,16,
112,,27,
112,,27;28,
69;112,,26,
41,,36,
69;112,,26;27,
126,,23,
69;112,,27,
12;112,,28;29,
83;126,,22,
28;71,,57;58,
83,,21,
54;97,,15;16,
40;83,,20;21,
54,,15,
12;55,,30,
12;112,,28,
126,,22;23,
126,,22,
11;54,,14,
69,,25;26,
12,,29;30,
140,,17,
40,,19,
83,,22,
70,,42;43,
54,,14;15,
85;128,,53;54,
26,,25,
112,,28,
83,,20;21,
28;71,,56;57,58.0
54,,14,
141,,33;34,
28;71,,56;57,
141,,34,
26;69,,25,
12,,29,
13;56,,46,
40,,19;20,
98;141,,33;34,
40,,20,
140,,17;18,
56,,47,
85,,53;54,
12,,30,
57;100,,63;64;65,
55,,30;31,
83,,21;22,
127,,39,
55,,31,
12;112,,27;28,
27,,40;41,
55,,30,
69,,26,
14;57;100,,62;63,
14;57;100,,62;63;64,
69;112,,27;28,
70;113,,42;43,
85;128,,54;55,
97,,15;16,
40;83,,20,
54;97,,15,
11;54,,13;14,
26,,24;25,
70,,42,
98,,33,
40;140,,18;19,
98,,32,
26,,24,
13;113,,44,45.0
97;140,,17,
41,,35,
41;84,,36;37,
98,,32;33,
55;98,,32,
28;71;128,,56;57,
27;127,,39;40,
28;128,,55;56,
41;141,,35,
141,,35,
28;71,,56;57;58,
69;112,,27,28.0
69;112,,26,27.0
26;126,,23;24,
12,,28;29,
13,,45,
141,,34;35,
112,69.0,27,28.0
26;69,,25;26,
14;57;100,,63;64,
12;55,,30;31,
68;111,,10;11,
113,,43;44,
57;100,,63;64,
83,126.0,22,
41;84,,37,
12;112,,28,27.0
40;140,,19,
68;111,,10,
11;111,,12,
112,69.0,27;28,
112,12.0,27;28,
140,,18,
42;85,,53;54,
69;112,,27,26.0
98;141,,33,
69,,27,
83,,21,20.0
14;57,,62;63,
13;56,,46;47,
14;57;100,,62;63,64.0
126,83.0,22,
140,,18;19,
27;70,,41;42,
126,,23,22.0
54,,14,15.0
13;113,,44,
127,,38;39,
84;127,,38;39,
111,,11;12,
12,112.0,28;29,
84;127,,38,
41,,35;36,
111,,11,
127,,39;40,
27,,40,
27,,41,
14;57,,62;63;64,
12,,29,28.0
12;55,,29;30,
126,,22,23.0
69,112.0,26,
84,,37,
84,,37;38,
70;113,,43,
27;70,,41,
13;113,,45,
83;126,,21;22,
11,,13,
13;113,,44;45,
83;126,,22,21.0
83,126.0,21;22,
12;112,,28,29.0
112,12.0,28,
69,26.0,25;26,
26;69,,25,26.0
26,69.0,25,
97;140,,17;18,
140,97.0,17;18,
97;140,,17,18.0
11;54,,14,13.0
11,,13;14,
11,54.0,13;14,
69,,26;27,
112,69.0,27,
69,,26,27.0
112,,28,27.0
112,,27,28.0
28;71,,57;58;59,
28;71,,58;59,
28;71,,57;58,59.0
28;71;114,,58;59,
71;114,,58;59,
54,97.0,15,
54;97,,15,16.0
97;140,,16;17,
97,,16;17,
97;140,,17,16.0
97,140.0,16;17,
70,,43,
70,,43,42.0
13,113.0,45,
54,,15,14.0
11;111,,11;12,
111,11.0,11;12,
111,,11,12.0
140,,18,17.0
140,,17,18.0
140,97.0,17,
