track,date
1,2017-07-06
2,2017-07-07
3,2017-07-07
4,2017-07-07
5,2017-07-07
6,2017-07-07
7,2017-07-07
8,2017-07-07
9,2017-07-07
10,2017-07-07
11,2017-07-07
12,2017-07-07
13,2017-07-07
14,2017-07-07
15,2017-07-07
16,2017-07-08
17,2017-07-08
18,2017-07-08
19,2017-07-08
20,2017-07-08
21,2017-07-08
22,2017-07-08
23,2017-07-08
24,2017-07-08
25,2017-07-08
26,2017-07-08
27,2017-07-08
28,2017-07-08
29,2017-07-08
30,2017-07-09
31,2017-07-09
32,2017-07-09
33,2017-07-09
34,2017-07-09
35,2017-07-09
36,2017-07-09
37,2017-07-09
38,2017-07-09
39,2017-07-09
40,2017-07-09
41,2017-07-09
42,2017-07-09
43,2017-07-09
44,2017-07-09
45,2017-07-10
46,2017-07-10
47,2017-07-10
48,2017-07-10
49,2017-07-10
50,2017-07-10
51,2017-07-10
52,2017-07-10
53,2017-07-10
54,2017-07-10
55,2017-07-10
56,2017-07-10
57,2017-07-10
58,2017-07-10
59,2017-07-01
60,2017-07-01
61,2017-07-01
62,2017-07-01
63,2017-07-01
64,2017-07-01
65,2017-07-01
66,2017-07-01
67,2017-07-01
68,2017-07-01
69,2017-07-01
70,2017-07-01
71,2017-07-01
72,2017-07-01
73,2017-07-02
74,2017-07-02
75,2017-07-02
76,2017-07-02
77,2017-07-02
78,2017-07-02
79,2017-07-02
80,2017-07-02
81,2017-07-02
82,2017-07-02
83,2017-07-02
84,2017-07-02
85,2017-07-02
86,2017-07-02
87,2017-07-02
88,2017-07-03
89,2017-07-03
90,2017-07-03
91,2017-07-03
92,2017-07-03
93,2017-07-03
94,2017-07-03
95,2017-07-03
96,2017-07-03
97,2017-07-03
98,2017-07-03
99,2017-07-03
100,2017-07-03
101,2017-07-03
102,2017-07-04
103,2017-07-04
104,2017-07-04
105,2017-07-04
106,2017-07-04
107,2017-07-04
108,2017-07-04
109,2017-07-04
110,2017-07-04
111,2017-07-04
112,2017-07-04
113,2017-07-04
114,2017-07-04
115,2017-07-04
116,2017-07-05
117,2017-07-05
118,2017-07-05
119,2017-07-05
120,2017-07-05
121,2017-07-05
122,2017-07-05
123,2017-07-05
124,2017-07-05
125,2017-07-05
126,2017-07-05
127,2017-07-05
128,2017-07-05
129,2017-07-05
130,2017-07-05
131,2017-07-06
132,2017-07-06
133,2017-07-06
134,2017-07-06
135,2017-07-06
136,2017-07-06
137,2017-07-06
138,2017-07-06
139,2017-07-06
140,2017-07-06
141,2017-07-06
142,2017-07-06
143,2017-07-06
