track,s2a,s2b
1,2015-07-02,2017-07-06
2,2015-06-23,2017-07-07
3,2015-06-23,2017-07-07
4,2015-06-23,2017-07-07
5,2015-06-23,2017-07-07
6,2015-06-23,2017-07-07
7,2015-06-23,2017-07-07
8,2015-06-23,2017-07-07
9,2015-06-23,2017-07-07
10,2015-06-23,2017-07-07
11,2015-06-23,2017-07-07
12,2015-06-23,2017-07-07
13,2015-06-23,2017-07-07
14,2015-06-23,2017-07-07
15,2015-06-23,2017-07-07
16,2015-06-24,2017-07-08
17,2015-06-24,2017-07-08
18,2015-06-24,2017-07-08
19,2015-06-24,2017-07-08
20,2015-06-24,2017-07-08
21,2015-06-24,2017-07-08
22,2015-06-24,2017-07-08
23,2015-06-24,2017-07-08
24,2015-06-24,2017-07-08
25,2015-06-24,2017-07-08
26,2015-06-24,2017-07-08
27,2015-06-24,2017-07-08
28,2015-06-24,2017-07-08
29,2015-06-24,2017-07-08
30,2015-06-25,2017-07-09
31,2015-06-25,2017-07-09
32,2015-06-25,2017-07-09
33,2015-06-25,2017-07-09
34,2015-06-25,2017-07-09
35,2015-06-25,2017-07-09
36,2015-06-25,2017-07-09
37,2015-06-25,2017-07-09
38,2015-06-25,2017-07-09
39,2015-06-25,2017-07-09
40,2015-06-25,2017-07-09
41,2015-06-25,2017-07-09
42,2015-06-25,2017-07-09
43,2015-06-25,2017-07-09
44,2015-06-25,2017-07-09
45,2015-06-26,2017-07-10
46,2015-06-26,2017-07-10
47,2015-06-26,2017-07-10
48,2015-06-26,2017-07-10
49,2015-06-26,2017-07-10
50,2015-06-26,2017-07-10
51,2015-06-26,2017-07-10
52,2015-06-26,2017-07-10
53,2015-06-26,2017-07-10
54,2015-06-26,2017-07-10
55,2015-06-26,2017-07-10
56,2015-06-26,2017-07-10
57,2015-06-26,2017-07-10
58,2015-06-26,2017-07-10
59,2015-06-27,2017-07-01
60,2015-06-27,2017-07-01
61,2015-06-27,2017-07-01
62,2015-06-27,2017-07-01
63,2015-06-27,2017-07-01
64,2015-06-27,2017-07-01
65,2015-06-27,2017-07-01
66,2015-06-27,2017-07-01
67,2015-06-27,2017-07-01
68,2015-06-27,2017-07-01
69,2015-06-27,2017-07-01
70,2015-06-27,2017-07-01
71,2015-06-27,2017-07-01
72,2015-06-27,2017-07-01
73,2015-06-28,2017-07-02
74,2015-06-28,2017-07-02
75,2015-06-28,2017-07-02
76,2015-06-28,2017-07-02
77,2015-06-28,2017-07-02
78,2015-06-28,2017-07-02
79,2015-06-28,2017-07-02
80,2015-06-28,2017-07-02
81,2015-06-28,2017-07-02
82,2015-06-28,2017-07-02
83,2015-06-28,2017-07-02
84,2015-06-28,2017-07-02
85,2015-06-28,2017-07-02
86,2015-06-28,2017-07-02
87,2015-06-28,2017-07-02
88,2015-06-29,2017-07-03
89,2015-06-29,2017-07-03
90,2015-06-29,2017-07-03
91,2015-06-29,2017-07-03
92,2015-06-29,2017-07-03
93,2015-06-29,2017-07-03
94,2015-06-29,2017-07-03
95,2015-06-29,2017-07-03
96,2015-06-29,2017-07-03
97,2015-06-29,2017-07-03
98,2015-06-29,2017-07-03
99,2015-06-29,2017-07-03
100,2015-06-29,2017-07-03
101,2015-06-29,2017-07-03
102,2015-06-30,2017-07-04
103,2015-06-30,2017-07-04
104,2015-06-30,2017-07-04
105,2015-06-30,2017-07-04
106,2015-06-30,2017-07-04
107,2015-06-30,2017-07-04
108,2015-06-30,2017-07-04
109,2015-06-30,2017-07-04
110,2015-06-30,2017-07-04
111,2015-06-30,2017-07-04
112,2015-06-30,2017-07-04
113,2015-06-30,2017-07-04
114,2015-06-30,2017-07-04
115,2015-06-30,2017-07-04
116,2015-07-01,2017-07-05
117,2015-07-01,2017-07-05
118,2015-07-01,2017-07-05
119,2015-07-01,2017-07-05
120,2015-07-01,2017-07-05
121,2015-07-01,2017-07-05
122,2015-07-01,2017-07-05
123,2015-07-01,2017-07-05
124,2015-07-01,2017-07-05
125,2015-07-01,2017-07-05
126,2015-07-01,2017-07-05
127,2015-07-01,2017-07-05
128,2015-07-01,2017-07-05
129,2015-07-01,2017-07-05
130,2015-07-01,2017-07-05
131,2015-07-02,2017-07-06
132,2015-07-02,2017-07-06
133,2015-07-02,2017-07-06
134,2015-07-02,2017-07-06
135,2015-07-02,2017-07-06
136,2015-07-02,2017-07-06
137,2015-07-02,2017-07-06
138,2015-07-02,2017-07-06
139,2015-07-02,2017-07-06
140,2015-07-02,2017-07-06
141,2015-07-02,2017-07-06
142,2015-07-02,2017-07-06
143,2015-07-02,2017-07-06
