waterbody_id,path,row
1321,41,27
1321,42,27
1322,41,27
1322,42,27
1323,41,27
1323,42,26
1323,42,27
1325,41,27
1325,42,27
1326,41,27
1326,42,27
1328,41,27
1328,42,27
1342,41,27
1342,42,27
1480,41,27
1480,42,27
1485,41,27
1485,42,27
1486,41,27
1486,42,27
1489,42,27
1490,42,27
1348,41,27
1348,42,27
1334,41,27
1334,42,27
1327,41,27
1327,42,26
1327,42,27
1335,41,27
1335,42,27
1336,41,27
1336,42,27
1337,41,27
1337,42,27
1338,41,27
1338,42,27
1339,41,27
1339,42,26
1339,42,27
1340,41,27
1340,42,27
1341,41,27
1341,42,27
1343,41,27
1343,42,27
1344,41,27
1344,42,27
1345,41,27
1345,42,27
1346,41,27
1346,42,27
1347,41,27
1347,42,27
1349,41,27
1349,42,27
1350,41,27
1350,42,27
1351,41,27
1351,42,27
1481,42,27
1487,42,27
1488,41,27
1488,42,27
1491,41,27
1491,42,27
1492,41,27
1492,42,27
1493,42,27
1494,41,27
1494,42,27
1512,42,27
1513,42,27
1514,41,27
1514,42,27
1515,41,27
1515,42,27
1516,41,27
1516,42,27
1517,42,27
1518,42,27
1519,42,27
1520,42,27
1521,42,27
1522,42,27
3232,42,27
3233,42,27
3234,43,26
3234,43,27
3234,42,27
3235,42,27
2381,41,26
2381,42,26
2388,41,26
2388,42,26
2394,41,26
2394,42,26
652,41,26
652,42,26
634,41,26
634,42,26
656,41,26
656,42,26
637,42,26
638,42,26
639,42,26
658,41,26
658,42,26
668,42,26
674,42,26
2382,41,26
2382,42,26
2383,41,26
2383,42,26
2384,41,26
2384,42,26
2385,41,26
2385,42,26
2386,41,26
2386,42,26
2387,41,26
2387,42,26
2389,41,26
2389,42,26
2390,41,26
2390,42,26
2391,41,26
2391,42,26
2392,41,26
2392,42,26
2393,41,26
2393,42,26
2395,42,26
2396,42,26
469,43,25
469,43,26
469,42,26
470,42,26
471,43,25
471,43,26
471,42,26
479,42,26
483,42,26
486,43,26
486,42,26
491,43,25
491,43,26
491,42,26
526,43,26
526,42,26
528,43,26
528,42,26
529,43,26
529,42,26
585,43,25
585,42,25
586,43,25
586,42,25
587,43,25
587,42,25
587,42,26
588,43,25
588,42,25
588,42,26
599,43,25
599,43,26
599,42,26
600,43,25
600,43,26
600,42,26
601,43,25
601,43,26
601,42,26
608,43,25
608,42,25
608,42,26
618,43,25
618,43,26
618,42,25
618,42,26
3209,43,25
3209,42,25
3210,43,25
3210,42,25
3211,43,25
3211,42,25
3220,43,25
3220,42,25
3227,43,25
3227,42,25
472,43,25
472,43,26
472,42,26
473,43,26
473,42,26
474,43,26
474,42,26
475,43,26
475,42,26
476,43,26
476,42,26
477,43,26
477,42,26
478,42,26
480,42,26
481,43,26
481,42,26
482,43,26
482,42,26
484,43,26
484,42,26
485,43,26
485,42,26
487,43,26
487,42,26
488,43,26
488,42,26
489,43,25
489,43,26
489,42,26
490,43,25
490,43,26
490,42,26
492,42,26
493,42,26
494,42,26
495,42,26
496,43,26
496,42,26
497,43,26
497,42,26
498,43,26
498,42,26
499,43,26
499,42,26
500,43,26
500,42,26
