waterbody_id,tile
1321,11UPP
1322,11UPP
1323,11UPP
1325,11UPP
1326,11UPP
1328,11UPP
1342,11UPP
1480,11UPP
1485,11TPN
1486,11TPN
1489,11UPP
1489,11TPN
1490,11UNP
1490,11UPP
1490,11TNN
1490,11TPN
1348,11UPP
1334,11UPP
1327,11UPP
1335,11UPP
1336,11UPP
1337,11UPP
1338,11UPP
1339,11UPP
1340,11UPP
1341,11UPP
1343,11UPP
1344,11UPP
1345,11UPP
1346,11UPP
1347,11UPP
1349,11UPP
1350,11UPP
1351,11UPP
1481,11UNP
1481,11UPP
1487,11UPP
1488,11UPP
1491,11TPN
1492,11UPP
1492,11TPN
1493,11UPP
1493,11TPN
1494,11UPP
1494,11TPN
1512,11TNN
1512,11TPN
1513,11TPN
1514,11UPP
1514,11TPN
1515,11UPP
1516,11UPP
1517,11UNP
1517,11TNN
1518,11UPP
1519,11UNP
1520,11UNP
1520,11UPP
1521,11UNP
1522,11UNP
1522,11UPP
3232,11UNP
3232,11UPP
3233,11UNP
3233,11UPP
3234,11UNP
3235,11UNP
3235,11UPP
2381,11UPP
2381,11UPQ
2388,11UPP
2388,11UPQ
2394,11UPQ
652,11UPP
634,11UPP
634,11UPQ
656,11UPP
656,11UPQ
637,11UPQ
638,11UPQ
639,11UPQ
658,11UPP
658,11UPQ
668,11UPQ
674,11UPQ
2382,11UPQ
2383,11UPQ
2384,11UPQ
2385,11UPQ
2386,11UPP
2386,11UPQ
2387,11UPP
2387,11UPQ
2389,11UPP
2389,11UPQ
2390,11UPP
2390,11UPQ
2391,11UPP
2391,11UPQ
2392,11UPP
2392,11UPQ
2393,11UPQ
2395,11UPQ
2396,11UPQ
469,11UPQ
470,11UPQ
471,11UPQ
479,11UPQ
483,11UPQ
486,11UPQ
491,11UPQ
526,11UPQ
528,11UPQ
529,11UNQ
529,11UPQ
585,11UPR
586,11UPR
587,11UPR
588,11UPR
599,11UNQ
599,11UPQ
600,11UPQ
601,11UPQ
608,11UPR
618,11UNQ
618,11UNR
618,11UPQ
618,11UPR
3209,11UPR
3210,11UPR
3211,11UPR
3220,11UPR
3227,11UPR
472,11UPQ
473,11UPQ
474,11UPQ
475,11UPQ
476,11UPQ
477,11UPQ
478,11UPQ
480,11UPQ
481,11UPQ
482,11UPQ
484,11UPQ
485,11UPQ
487,11UPQ
488,11UPQ
489,11UPQ
490,11UPQ
492,11UPQ
493,11UPQ
494,11UPQ
495,11UPQ
496,11UPQ
497,11UPQ
498,11UPQ
499,11UPQ
500,11UPQ
501,11UPQ
502,11UPQ
503,11UPQ
504,11UPQ
505,11UPQ
506,11UPQ
507,11UPQ
508,11UPQ
509,11UPQ
520,11UPQ
510,11UPQ
511,11UPQ
512,11UPQ
513,11UPQ
514,11UPQ
515,11UPQ
516,11UPQ
517,11UPQ
518,11UPQ
519,11UPQ
521,11UPQ
522,11UPQ
523,11UPQ
524,11UPQ
525,11UPQ
527,11UPQ
530,11UPQ
531,11UPQ
532,11UNQ
532,11UPQ
533,11UNQ
533,11UPQ
534,11UNQ
534,11UPQ
589,11UPR
590,11UPQ
590,11UPR
591,11UPR
592,11UPQ
612,11UPR
