waterbody_id,track
1356,113
3653,127
2344,27
1893,70
8051,70
870,70
5482,84
915,113
2990,127
5265,27
6394,84
6818,70
6591,127
3684,27
88,127
1969,27
8086,127
5269,70
1339,70
919,70
8056,27
477,70
429,113
2286,27
3926,84
327,70
5358,127
1283,27
7335,27
3142,70
915,70
136,27
2755,70
4919,70
1282,27
1983,27
8061,84
1968,27
7765,127
7421,27
3290,70
6521,127
4609,27
1272,27
1650,127
7076,127
7566,127
6467,127
6704,27
5844,70
3180,70
1149,127
4448,70
1229,27
5101,70
2362,27
3843,70
3096,84
3432,70
3370,70
5014,70
7609,127
4943,84
684,27
5031,84
5543,70
7073,84
1215,84
587,70
1994,127
1973,27
873,70
2817,113
2013,27
2459,113
69,27
3536,70
3862,113
4498,27
7338,27
598,70
2515,70
2070,27
7951,127
965,113
7798,27
8030,127
6214,27
3743,127
645,70
5246,27
5207,70
1534,70
1411,70
2639,113
3154,70
39,27
3950,127
3184,70
8079,127
3191,70
4589,127
5810,70
4454,27
4742,84
7087,84
7568,127
4272,84
3328,70
1012,27
7998,127
818,27
1624,127
7139,70
3061,113
6305,70
175,27
2642,70
5962,84
5071,27
2545,70
1640,127
2415,113
1114,113
3202,70
6965,127
4930,70
5454,84
5501,127
1342,70
1591,127
7871,70
3772,84
7912,84
7869,27
5027,84
2977,113
3910,84
2020,27
5144,27
6819,70
2295,127
5222,70
5808,27
2827,70
4478,70
599,70
2140,70
1732,84
1720,127
2236,127
5384,70
1157,84
4902,70
4299,127
1263,27
1349,70
6644,127
4509,27
2438,70
7416,127
5512,113
535,127
2011,127
5515,70
5704,70
6266,27
777,70
2470,27
4141,127
7343,27
289,70
5218,70
7833,70
6538,70
5664,113
4869,27
4131,70
5404,70
4947,127
3374,113
2287,27
2057,127
2681,113
6424,127
6611,127
1930,27
7591,127
7060,127
2343,27
1296,113
5458,84
7644,84
7459,27
2761,113
5617,127
3443,27
4977,70
8029,127
5191,27
1072,70
5687,70
284,113
4334,127
4602,70
300,70
5682,70
7885,27
5951,84
1556,70
8139,70
1176,70
5361,127
7843,27
5278,27
3761,127
3051,113
688,127
6279,27
847,27
235,127
2199,27
2764,113
668,70
7288,27
4557,84
3921,127
2495,27
2648,113
2922,113
3774,127
7538,27
1789,127
8040,84
3017,113
239,127
6968,84
2737,113
5948,27
3351,113
3570,70
8162,27
719,127
2456,70
5717,127
3298,70
5711,84
2004,27
2426,70
6365,127
5317,27
1488,70
973,70
3345,70
5045,84
3809,127
6623,127
5932,27
6375,127
5641,27
6071,27
3100,84
5767,84
1971,27
1514,70
5640,70
2190,70
4762,127
1872,70
1360,70
2269,27
6909,27
1641,127
696,27
3670,27
968,113
44,70
1773,127
2582,113
3665,27
6512,127
7923,127
6639,127
134,27
4800,127
7104,84
5516,70
7001,84
4089,84
3378,70
977,70
456,70
3185,113
1437,27
1092,70
1462,70
926,70
