s2_id,s2_acq_id,l8_9_id,l8_9_acq_id
97,3,16,14
112,4,27,11
112,4,27_28,11_2
69_112,1_4,26,4
41,4,36,10
69_112,1_4,26_27,11_4
126,5,23,15
69_112,1_4,27,11
12_112,2_4,28_29,2_9
83_126,2_5,22,8
28_71,1_3,57_58,13_4
83,2,21,1
54_97,3_5,15_16,14_7
40_83,2_4,20_21,1_10
54,5,15,7
12_55,2_5,30,16
12_112,2_4,28,2
126,5,22_23,15_8
126,5,22,8
11_54,2_5,14,16
69,1,25_26,13_4
12,2,29_30,16_9
140,1,17,5
40,4,19,3
83,2,22,8
70,1,42_43,11_4
54,5,14_15,16_7
85_128,2_5,53_54,1_8
26,3,25,13
112,4,28,2
83,2,20_21,1_10
28_71,1_3,56_57_58p,13_6_4p
54,5,14,16
141,1,33_34,12_5
28_71,1_3,56_57,13_6
141,1,34,12
26_69,1_3,25,13
12,2,29,9
13_56,2_5,46,16
40,4,19_20,10_3
98_141,1_3,33_34,12_5
40,4,20,10
140,1,17_18,12_5
56,5,47,7
85,2,53_54,1_8
12,2,30,16
57_100,3_5,63_64_65,14_5_7
55,5,30_31,16_7
83,2,21_22,1_8
127,5,39,15
55,5,31,7
12_112,2_4,27_28,11_2
27,3,40_41,13_6
55,5,30,16
69,1,26,4
14_57_100,2_3_5,62_63,16_7
14_57_100,2_3_5,62_63_64,14_16_7
69_112,1_4,27_28,11_2
70_113,1_4,42_43,11_4
85_128,2_5,54_55,15_8
97,3,15_16,14_7
40_83,2_4,20,10
54_97,3_5,15,7
11_54,2_5,13_14,16_9
26,3,24_25,13_6
70,1,42,4
98,3,33,5
40_140,1_4,18_19,12_3
98,3,32,14
26,3,24,6
13_113,2_4,44_45p,2_9p
97_140,1_3,17,5
41,4,35,3
41_84,2_4,36_37,1_10
98,3,32_33,14_5
55_98,3_5,32,14
28_71_128,1_3_5,56_57,13_6
27_127,3_5,39_40,15_6
28_128,3_5,55_56,15_6
41_141,1_4,35,3
141,1,35,3
28_71,1_3,56_57_58,13_4_6
69_112,1_4,27_28p,11_2p
69_112,1_4,26_27p,4_11p
26_126,3_5,23_24,15_6
12,2,28_29,2_9
13,2,45,9
141,1,34_35,12_3
112_69p,4_1p,27_28p,11_2p
26_69,1_3,25_26,13_4
14_57_100,2_3_5,63_64,14_7
12_55,2_5,30_31,16_7
68_111,1_4,10_11,11_4
113,4,43_44,11_2
57_100,3_5,63_64,14_7
83_126p,2_5p,22,8
41_84,2_4,37,1
12_112,2_4,28_27p,2_11p
40_140,1_4,19,3
68_111,1_4,10,4
11_111,2_4,12,2
112_69p,4_1p,27_28,11_2
112_12p,4_2p,27_28,11_2
140,1,18,12
42_85,2_4,53_54,1_8
69_112,1_4,27_26p,11_4p
98_141,1_3,33,5
69,1,27,11
83,2,21_20p,1_10p
14_57,2_5,62_63,16_7
13_56,2_5,46_47,16_7
14_57_100,2_3_5,62_63_64p,16_7_14p
126_83p,5_2p,22,8
140,1,18_19,12_3
27_70,1_3,41_42,13_4
126,5,23_22p,15_8p
54,5,14_15p,16_7p
13_113,2_4,44,2
127,5,38_39,15_8
84_127,2_5,38_39,15_8
111,4,11_12,11_2
12_112p,2_4p,28_29,2_9
84_127,2_5,38,8
41,4,35_36,10_3
111,4,11,11
127,5,39_40,15_6
27,3,40,6
27,3,41,13
14_57,2_5,62_63_64,14_16_7
12,2,29_28p,9_2p
12_55,2_5,29_30,16_9
126,5,22_23p,8_15p
69_112p,1_4p,26,4
84,2,37,1
84,2,37_38,1_8
70_113,1_4,43,11
27_70,1_3,41,13
13_113,2_4,45,9
83_126,2_5,21_22,1_8
11,2,13,9
13_113,2_4,44_45,2_9
