date,path,coverage
2020-01-01,18,partial
2020-01-06,19,partial
2020-01-08,20,partial
2020-01-15,17,partial
2020-01-17,18,partial
2020-01-22,19,partial
2020-01-24,20,partial
2020-01-31,17,partial
2020-02-02,18,partial
2020-02-07,19,partial
2020-02-09,20,partial
2020-02-16,17,partial
2020-02-18,18,partial
2020-02-23,19,partial
2020-02-25,20,partial
2020-03-03,17,partial
2020-03-05,18,partial
2020-03-10,19,partial
2020-03-12,20,partial
2020-03-19,17,partial
2020-03-21,18,partial
2020-03-26,19,partial
2020-03-28,20,partial
2020-04-04,17,partial
2020-04-06,18,partial
2020-04-11,19,partial
2020-04-13,20,partial
2020-04-20,17,partial
2020-04-22,18,partial
2020-04-27,19,partial
2020-04-29,20,partial
2020-05-06,17,partial
2020-05-08,18,partial
2020-05-13,19,partial
2020-05-15,20,partial
2020-05-22,17,partial
2020-05-24,18,partial
2020-05-29,19,partial
2020-05-31,20,partial
2020-06-07,17,partial
2020-06-09,18,partial
2020-06-14,19,partial
2020-06-16,20,partial
2020-06-23,17,partial
2020-06-25,18,partial
2020-06-30,19,partial
2020-07-02,20,partial
2020-07-09,17,partial
2020-07-11,18,partial
2020-07-16,19,partial
2020-07-18,20,partial
2020-07-25,17,partial
2020-07-27,18,partial
2020-08-01,19,partial
2020-08-03,20,partial
2020-08-10,17,partial
2020-08-12,18,partial
2020-08-17,19,partial
2020-08-19,20,partial
2020-08-26,17,partial
2020-08-28,18,partial
2020-09-02,19,partial
2020-09-04,20,partial
2020-09-11,17,partial
2020-09-13,18,partial
2020-09-18,19,partial
2020-09-20,20,partial
2020-09-27,17,partial
2020-09-29,18,partial
2020-10-04,19,partial
2020-10-06,20,partial
2020-10-13,17,partial
2020-10-15,18,partial
2020-10-20,19,partial
2020-10-22,20,partial
2020-10-29,17,partial
2020-10-31,18,partial
2020-11-05,19,partial
2020-11-07,20,partial
2020-11-14,17,partial
2020-11-16,18,partial
2020-11-21,19,partial
2020-11-23,20,partial
2020-11-30,17,partial
2020-12-02,18,partial
2020-12-07,19,partial
2020-12-09,20,partial
2020-12-16,17,partial
2020-12-18,18,partial
2020-12-23,19,partial
2020-12-25,20,partial
