date,path,coverage
2022-01-06,216,full
2022-01-08,217,full
2022-01-15,218,full
2022-01-22,216,full
2022-01-24,217,full
2022-01-31,218,full
2022-02-07,216,full
2022-02-09,217,full
2022-02-16,218,full
2022-02-23,216,full
2022-02-25,217,full
2022-03-04,218,full
2022-03-11,216,full
2022-03-13,217,full
2022-03-20,218,full
2022-03-27,216,full
2022-03-29,217,full
2022-04-05,218,full
2022-04-12,216,full
2022-04-14,217,full
2022-04-21,218,full
2022-04-28,216,full
2022-04-30,217,full
2022-05-07,218,full
2022-05-14,216,full
2022-05-16,217,full
2022-05-23,218,full
2022-05-30,216,full
2022-06-01,217,full
2022-06-08,218,full
2022-06-15,216,full
2022-06-17,217,full
2022-06-24,218,full
2022-07-01,216,full
2022-07-03,217,full
2022-07-10,218,full
2022-07-17,216,full
2022-07-19,217,full
2022-07-26,218,full
2022-08-02,216,full
2022-08-04,217,full
2022-08-11,218,full
2022-08-18,216,full
2022-08-20,217,full
2022-08-27,218,full
2022-09-03,216,full
2022-09-05,217,full
2022-09-12,218,full
2022-09-19,216,full
2022-09-21,217,full
2022-09-28,218,full
2022-10-05,216,full
2022-10-07,217,full
2022-10-14,218,full
2022-10-21,216,full
2022-10-23,217,full
2022-10-30,218,full
2022-11-06,216,full
2022-11-08,217,full
2022-11-15,218,full
2022-11-22,216,full
2022-11-24,217,full
2022-12-01,218,full
2022-12-08,216,full
2022-12-10,217,full
2022-12-17,218,full
2022-12-24,216,full
2022-12-26,217,full
