date,path,coverage
2021-01-02,22,partial
2021-01-04,23,partial
2021-01-06,24,partial
2021-01-09,25,partial
2021-01-11,26,partial
2021-01-13,27,partial
2021-01-15,21,partial
2021-01-18,22,partial
2021-01-20,23,partial
2021-01-22,24,partial
2021-01-25,25,partial
2021-01-27,26,partial
2021-01-29,27,partial
2021-01-31,21,partial
2021-02-03,22,partial
2021-02-05,23,partial
2021-02-07,24,partial
2021-02-10,25,partial
2021-02-12,26,partial
2021-02-14,27,partial
2021-02-16,21,partial
2021-02-19,22,partial
2021-02-21,23,partial
2021-02-23,24,partial
2021-02-26,25,partial
2021-02-28,26,partial
2021-03-02,27,partial
2021-03-04,21,partial
2021-03-07,22,partial
2021-03-09,23,partial
2021-03-11,24,partial
2021-03-14,25,partial
2021-03-16,26,partial
2021-03-18,27,partial
2021-03-20,21,partial
2021-03-23,22,partial
2021-03-25,23,partial
2021-03-27,24,partial
2021-03-30,25,partial
2021-04-01,26,partial
2021-04-03,27,partial
2021-04-05,21,partial
2021-04-08,22,partial
2021-04-10,23,partial
2021-04-12,24,partial
2021-04-15,25,partial
2021-04-17,26,partial
2021-04-19,27,partial
2021-04-21,21,partial
2021-04-24,22,partial
2021-04-26,23,partial
2021-04-28,24,partial
2021-05-01,25,partial
2021-05-03,26,partial
2021-05-05,27,partial
2021-05-07,21,partial
2021-05-10,22,partial
2021-05-12,23,partial
2021-05-14,24,partial
2021-05-17,25,partial
2021-05-19,26,partial
2021-05-21,27,partial
2021-05-23,21,partial
2021-05-26,22,partial
2021-05-28,23,partial
2021-05-30,24,partial
2021-06-02,25,partial
2021-06-04,26,partial
2021-06-06,27,partial
2021-06-08,21,partial
2021-06-11,22,partial
2021-06-13,23,partial
2021-06-15,24,partial
2021-06-18,25,partial
2021-06-20,26,partial
2021-06-22,27,partial
2021-06-24,21,partial
2021-06-27,22,partial
2021-06-29,23,partial
2021-07-01,24,partial
2021-07-04,25,partial
2021-07-06,26,partial
2021-07-08,27,partial
2021-07-10,21,partial
2021-07-13,22,partial
2021-07-15,23,partial
2021-07-17,24,partial
2021-07-20,25,partial
2021-07-22,26,partial
2021-07-24,27,partial
2021-07-26,21,partial
2021-07-29,22,partial
2021-07-31,23,partial
2021-08-02,24,partial
2021-08-05,25,partial
2021-08-07,26,partial
2021-08-09,27,partial
2021-08-11,21,partial
2021-08-14,22,partial
2021-08-16,23,partial
2021-08-18,24,partial
2021-08-21,25,partial
2021-08-23,26,partial
2021-08-25,27,partial
2021-08-27,21,partial
2021-08-30,22,partial
2021-09-01,23,partial
2021-09-03,24,partial
2021-09-06,25,partial
2021-09-08,26,partial
2021-09-10,27,partial
2021-09-12,21,partial
2021-09-15,22,partial
2021-09-17,23,partial
2021-09-19,24,partial
2021-09-22,25,partial
2021-09-24,26,partial
2021-09-26,27,partial
2021-09-28,21,partial
2021-10-01,22,partial
2021-10-03,23,partial
2021-10-05,24,partial
2021-10-08,25,partial
2021-10-10,26,partial
2021-10-12,27,partial
2021-10-14,21,partial
2021-10-17,22,partial
2021-10-19,23,partial
2021-10-21,24,partial
2021-10-24,25,partial
2021-10-26,26,partial
2021-10-28,27,partial
2021-10-30,21,partial
2021-11-02,22,partial
2021-11-04,23,partial
2021-11-06,24,partial
2021-11-09,25,partial
2021-11-11,26,partial
2021-11-13,27,partial
2021-11-15,21,partial
2021-11-18,22,partial
2021-11-20,23,partial
2021-11-22,24,partial
2021-11-25,25,partial
2021-11-27,26,partial
2021-11-29,27,partial
2021-12-01,21,partial
2021-12-04,22,partial
2021-12-06,23,partial
2021-12-08,24,partial
2021-12-11,25,partial
2021-12-13,26,partial
2021-12-15,27,partial
2021-12-17,21,partial
2021-12-20,22,partial
2021-12-22,23,partial
2021-12-24,24,partial
2021-12-27,25,partial
2021-12-29,26,partial
2021-12-31,27,partial
