date,path,coverage
2020-01-02,24,partial
2020-01-09,25,full
2020-01-18,24,partial
2020-01-25,25,full
2020-02-03,24,partial
2020-02-10,25,full
2020-02-19,24,partial
2020-02-26,25,full
2020-03-06,24,partial
2020-03-13,25,full
2020-03-22,24,partial
2020-03-29,25,full
2020-04-07,24,partial
2020-04-14,25,full
2020-04-23,24,partial
2020-04-30,25,full
2020-05-09,24,partial
2020-05-16,25,full
2020-05-25,24,partial
2020-06-01,25,full
2020-06-10,24,partial
2020-06-17,25,full
2020-06-26,24,partial
2020-07-03,25,full
2020-07-12,24,partial
2020-07-19,25,full
2020-07-28,24,partial
2020-08-04,25,full
2020-08-13,24,partial
2020-08-20,25,full
2020-08-29,24,partial
2020-09-05,25,full
2020-09-14,24,partial
2020-09-21,25,full
2020-09-30,24,partial
2020-10-07,25,full
2020-10-16,24,partial
2020-10-23,25,full
2020-11-01,24,partial
2020-11-08,25,full
2020-11-17,24,partial
2020-11-24,25,full
2020-12-03,24,partial
2020-12-10,25,full
2020-12-19,24,partial
2020-12-26,25,full
