date,path,coverage
2021-01-06,37,partial
2021-01-08,38,partial
2021-01-15,36,partial
2021-01-22,37,partial
2021-01-24,38,partial
2021-01-31,36,partial
2021-02-07,37,partial
2021-02-09,38,partial
2021-02-16,36,partial
2021-02-23,37,partial
2021-02-25,38,partial
2021-03-04,36,partial
2021-03-11,37,partial
2021-03-13,38,partial
2021-03-20,36,partial
2021-03-27,37,partial
2021-03-29,38,partial
2021-04-05,36,partial
2021-04-12,37,partial
2021-04-14,38,partial
2021-04-21,36,partial
2021-04-28,37,partial
2021-04-30,38,partial
2021-05-07,36,partial
2021-05-14,37,partial
2021-05-16,38,partial
2021-05-23,36,partial
2021-05-30,37,partial
2021-06-01,38,partial
2021-06-08,36,partial
2021-06-15,37,partial
2021-06-17,38,partial
2021-06-24,36,partial
2021-07-01,37,partial
2021-07-03,38,partial
2021-07-10,36,partial
2021-07-17,37,partial
2021-07-19,38,partial
2021-07-26,36,partial
2021-08-02,37,partial
2021-08-04,38,partial
2021-08-11,36,partial
2021-08-18,37,partial
2021-08-20,38,partial
2021-08-27,36,partial
2021-09-03,37,partial
2021-09-05,38,partial
2021-09-12,36,partial
2021-09-19,37,partial
2021-09-21,38,partial
2021-09-28,36,partial
2021-10-05,37,partial
2021-10-07,38,partial
2021-10-14,36,partial
2021-10-21,37,partial
2021-10-23,38,partial
2021-10-30,36,partial
2021-11-06,37,partial
2021-11-08,38,partial
2021-11-15,36,partial
2021-11-22,37,partial
2021-11-24,38,partial
2021-12-01,36,partial
2021-12-08,37,partial
2021-12-10,38,partial
2021-12-17,36,partial
2021-12-24,37,partial
2021-12-26,38,partial
