date,path,coverage
2021-01-02,58,full
2021-01-09,59,full
2021-01-16,60,partial
2021-01-18,58,full
2021-01-25,59,full
2021-02-01,60,partial
2021-02-03,58,full
2021-02-10,59,full
2021-02-17,60,partial
2021-02-19,58,full
2021-02-26,59,full
2021-03-05,60,partial
2021-03-07,58,full
2021-03-14,59,full
2021-03-21,60,partial
2021-03-23,58,full
2021-03-30,59,full
2021-04-06,60,partial
2021-04-08,58,full
2021-04-15,59,full
2021-04-22,60,partial
2021-04-24,58,full
2021-05-01,59,full
2021-05-08,60,partial
2021-05-10,58,full
2021-05-17,59,full
2021-05-24,60,partial
2021-05-26,58,full
2021-06-02,59,full
2021-06-09,60,partial
2021-06-11,58,full
2021-06-18,59,full
2021-06-25,60,partial
2021-06-27,58,full
2021-07-04,59,full
2021-07-11,60,partial
2021-07-13,58,full
2021-07-20,59,full
2021-07-27,60,partial
2021-07-29,58,full
2021-08-05,59,full
2021-08-12,60,partial
2021-08-14,58,full
2021-08-21,59,full
2021-08-28,60,partial
2021-08-30,58,full
2021-09-06,59,full
2021-09-13,60,partial
2021-09-15,58,full
2021-09-22,59,full
2021-09-29,60,partial
2021-10-01,58,full
2021-10-08,59,full
2021-10-15,60,partial
2021-10-17,58,full
2021-10-24,59,full
2021-10-31,60,partial
2021-11-02,58,full
2021-11-09,59,full
2021-11-16,60,partial
2021-11-18,58,full
2021-11-25,59,full
2021-12-02,60,partial
2021-12-04,58,full
2021-12-11,59,full
2021-12-18,60,partial
2021-12-20,58,full
2021-12-27,59,full
