date,path,coverage
2022-01-01,65,partial
2022-01-06,62,partial
2022-01-08,63,partial
2022-01-15,64,partial
2022-01-17,65,partial
2022-01-22,62,partial
2022-01-24,63,partial
2022-01-31,64,partial
2022-02-02,65,partial
2022-02-07,62,partial
2022-02-09,63,partial
2022-02-16,64,partial
2022-02-18,65,partial
2022-02-23,62,partial
2022-02-25,63,partial
2022-03-04,64,partial
2022-03-06,65,partial
2022-03-11,62,partial
2022-03-13,63,partial
2022-03-20,64,partial
2022-03-22,65,partial
2022-03-27,62,partial
2022-03-29,63,partial
2022-04-05,64,partial
2022-04-07,65,partial
2022-04-12,62,partial
2022-04-14,63,partial
2022-04-21,64,partial
2022-04-23,65,partial
2022-04-28,62,partial
2022-04-30,63,partial
2022-05-07,64,partial
2022-05-09,65,partial
2022-05-14,62,partial
2022-05-16,63,partial
2022-05-23,64,partial
2022-05-25,65,partial
2022-05-30,62,partial
2022-06-01,63,partial
2022-06-08,64,partial
2022-06-10,65,partial
2022-06-15,62,partial
2022-06-17,63,partial
2022-06-24,64,partial
2022-06-26,65,partial
2022-07-01,62,partial
2022-07-03,63,partial
2022-07-10,64,partial
2022-07-12,65,partial
2022-07-17,62,partial
2022-07-19,63,partial
2022-07-26,64,partial
2022-07-28,65,partial
2022-08-02,62,partial
2022-08-04,63,partial
2022-08-11,64,partial
2022-08-13,65,partial
2022-08-18,62,partial
2022-08-20,63,partial
2022-08-27,64,partial
2022-08-29,65,partial
2022-09-03,62,partial
2022-09-05,63,partial
2022-09-12,64,partial
2022-09-14,65,partial
2022-09-19,62,partial
2022-09-21,63,partial
2022-09-28,64,partial
2022-09-30,65,partial
2022-10-05,62,partial
2022-10-07,63,partial
2022-10-14,64,partial
2022-10-16,65,partial
2022-10-21,62,partial
2022-10-23,63,partial
2022-10-30,64,partial
2022-11-01,65,partial
2022-11-06,62,partial
2022-11-08,63,partial
2022-11-15,64,partial
2022-11-17,65,partial
2022-11-22,62,partial
2022-11-24,63,partial
2022-12-01,64,partial
2022-12-03,65,partial
2022-12-08,62,partial
2022-12-10,63,partial
2022-12-17,64,partial
2022-12-19,65,partial
2022-12-24,62,partial
2022-12-26,63,partial
