date,path,coverage
2021-01-04,70,partial
2021-01-06,72,partial
2021-01-11,73,partial
2021-01-13,71,full
2021-01-20,70,partial
2021-01-22,72,partial
2021-01-27,73,partial
2021-01-29,71,full
2021-02-05,70,partial
2021-02-07,72,partial
2021-02-12,73,partial
2021-02-14,71,full
2021-02-21,70,partial
2021-02-23,72,partial
2021-02-28,73,partial
2021-03-02,71,full
2021-03-09,70,partial
2021-03-11,72,partial
2021-03-16,73,partial
2021-03-18,71,full
2021-03-25,70,partial
2021-03-27,72,partial
2021-04-01,73,partial
2021-04-03,71,full
2021-04-10,70,partial
2021-04-12,72,partial
2021-04-17,73,partial
2021-04-19,71,full
2021-04-26,70,partial
2021-04-28,72,partial
2021-05-03,73,partial
2021-05-05,71,full
2021-05-12,70,partial
2021-05-14,72,partial
2021-05-19,73,partial
2021-05-21,71,full
2021-05-28,70,partial
2021-05-30,72,partial
2021-06-04,73,partial
2021-06-06,71,full
2021-06-13,70,partial
2021-06-15,72,partial
2021-06-20,73,partial
2021-06-22,71,full
2021-06-29,70,partial
2021-07-01,72,partial
2021-07-06,73,partial
2021-07-08,71,full
2021-07-15,70,partial
2021-07-17,72,partial
2021-07-22,73,partial
2021-07-24,71,full
2021-07-31,70,partial
2021-08-02,72,partial
2021-08-07,73,partial
2021-08-09,71,full
2021-08-16,70,partial
2021-08-18,72,partial
2021-08-23,73,partial
2021-08-25,71,full
2021-09-01,70,partial
2021-09-03,72,partial
2021-09-08,73,partial
2021-09-10,71,full
2021-09-17,70,partial
2021-09-19,72,partial
2021-09-24,73,partial
2021-09-26,71,full
2021-10-03,70,partial
2021-10-05,72,partial
2021-10-10,73,partial
2021-10-12,71,full
2021-10-19,70,partial
2021-10-21,72,partial
2021-10-26,73,partial
2021-10-28,71,full
2021-11-04,70,partial
2021-11-06,72,partial
2021-11-11,73,partial
2021-11-13,71,full
2021-11-20,70,partial
2021-11-22,72,partial
2021-11-27,73,partial
2021-11-29,71,full
2021-12-06,70,partial
2021-12-08,72,partial
2021-12-13,73,partial
2021-12-15,71,full
2021-12-22,70,partial
2021-12-24,72,partial
2021-12-29,73,partial
2021-12-31,71,full
