date,path,coverage
2024-01-01,44,partial
2024-01-08,45,partial
2024-01-09,44,partial
2024-01-16,45,partial
2024-01-17,44,partial
2024-01-24,45,partial
2024-01-25,44,partial
2024-02-01,45,partial
2024-02-02,44,partial
2024-02-09,45,partial
2024-02-10,44,partial
2024-02-17,45,partial
2024-02-18,44,partial
2024-02-25,45,partial
2024-02-26,44,partial
2024-03-04,45,partial
2024-03-05,44,partial
2024-03-12,45,partial
2024-03-13,44,partial
2024-03-20,45,partial
2024-03-21,44,partial
2024-03-28,45,partial
2024-03-29,44,partial
2024-04-05,45,partial
2024-04-06,44,partial
2024-04-13,45,partial
2024-04-14,44,partial
2024-04-21,45,partial
2024-04-22,44,partial
2024-04-29,45,partial
2024-04-30,44,partial
2024-05-07,45,partial
2024-05-08,44,partial
2024-05-15,45,partial
2024-05-16,44,partial
2024-05-23,45,partial
2024-05-24,44,partial
2024-05-31,45,partial
2024-06-01,44,partial
2024-06-08,45,partial
2024-06-09,44,partial
2024-06-16,45,partial
2024-06-17,44,partial
2024-06-24,45,partial
2024-06-25,44,partial
2024-07-02,45,partial
2024-07-03,44,partial
2024-07-10,45,partial
2024-07-11,44,partial
2024-07-18,45,partial
2024-07-19,44,partial
2024-07-26,45,partial
2024-07-27,44,partial
2024-08-03,45,partial
2024-08-04,44,partial
2024-08-11,45,partial
2024-08-12,44,partial
2024-08-19,45,partial
2024-08-20,44,partial
2024-08-27,45,partial
2024-08-28,44,partial
2024-09-04,45,partial
2024-09-05,44,partial
2024-09-12,45,partial
2024-09-13,44,partial
2024-09-20,45,partial
2024-09-21,44,partial
2024-09-28,45,partial
2024-09-29,44,partial
2024-10-06,45,partial
2024-10-07,44,partial
2024-10-14,45,partial
2024-10-15,44,partial
2024-10-22,45,partial
2024-10-23,44,partial
2024-10-30,45,partial
2024-10-31,44,partial
2024-11-07,45,partial
2024-11-08,44,partial
2024-11-15,45,partial
2024-11-16,44,partial
2024-11-23,45,partial
2024-11-24,44,partial
2024-12-01,45,partial
2024-12-02,44,partial
2024-12-09,45,partial
2024-12-10,44,partial
2024-12-17,45,partial
2024-12-18,44,partial
2024-12-25,45,partial
2024-12-26,44,partial
