date,path,coverage
2023-01-01,62,partial
2023-01-02,64,partial
2023-01-03,63,partial
2023-01-04,65,partial
2023-01-09,62,partial
2023-01-10,64,partial
2023-01-11,63,partial
2023-01-12,65,partial
2023-01-17,62,partial
2023-01-18,64,partial
2023-01-19,63,partial
2023-01-20,65,partial
2023-01-25,62,partial
2023-01-26,64,partial
2023-01-27,63,partial
2023-01-28,65,partial
2023-02-02,62,partial
2023-02-03,64,partial
2023-02-04,63,partial
2023-02-05,65,partial
2023-02-10,62,partial
2023-02-11,64,partial
2023-02-12,63,partial
2023-02-13,65,partial
2023-02-18,62,partial
2023-02-19,64,partial
2023-02-20,63,partial
2023-02-21,65,partial
2023-02-26,62,partial
2023-02-27,64,partial
2023-02-28,63,partial
2023-03-01,65,partial
2023-03-06,62,partial
2023-03-07,64,partial
2023-03-08,63,partial
2023-03-09,65,partial
2023-03-14,62,partial
2023-03-15,64,partial
2023-03-16,63,partial
2023-03-17,65,partial
2023-03-22,62,partial
2023-03-23,64,partial
2023-03-24,63,partial
2023-03-25,65,partial
2023-03-30,62,partial
2023-03-31,64,partial
2023-04-01,63,partial
2023-04-02,65,partial
2023-04-07,62,partial
2023-04-08,64,partial
2023-04-09,63,partial
2023-04-10,65,partial
2023-04-15,62,partial
2023-04-16,64,partial
2023-04-17,63,partial
2023-04-18,65,partial
2023-04-23,62,partial
2023-04-24,64,partial
2023-04-25,63,partial
2023-04-26,65,partial
2023-05-01,62,partial
2023-05-02,64,partial
2023-05-03,63,partial
2023-05-04,65,partial
2023-05-09,62,partial
2023-05-10,64,partial
2023-05-11,63,partial
2023-05-12,65,partial
2023-05-17,62,partial
2023-05-18,64,partial
2023-05-19,63,partial
2023-05-20,65,partial
2023-05-25,62,partial
2023-05-26,64,partial
2023-05-27,63,partial
2023-05-28,65,partial
2023-06-02,62,partial
2023-06-03,64,partial
2023-06-04,63,partial
2023-06-05,65,partial
2023-06-10,62,partial
2023-06-11,64,partial
2023-06-12,63,partial
2023-06-13,65,partial
2023-06-18,62,partial
2023-06-19,64,partial
2023-06-20,63,partial
2023-06-21,65,partial
2023-06-26,62,partial
2023-06-27,64,partial
2023-06-28,63,partial
2023-06-29,65,partial
2023-07-04,62,partial
2023-07-05,64,partial
2023-07-06,63,partial
2023-07-07,65,partial
2023-07-12,62,partial
2023-07-13,64,partial
2023-07-14,63,partial
2023-07-15,65,partial
2023-07-20,62,partial
2023-07-21,64,partial
2023-07-22,63,partial
2023-07-23,65,partial
2023-07-28,62,partial
2023-07-29,64,partial
2023-07-30,63,partial
2023-07-31,65,partial
2023-08-05,62,partial
2023-08-06,64,partial
2023-08-07,63,partial
2023-08-08,65,partial
2023-08-13,62,partial
2023-08-14,64,partial
2023-08-15,63,partial
2023-08-16,65,partial
2023-08-21,62,partial
2023-08-22,64,partial
2023-08-23,63,partial
2023-08-24,65,partial
2023-08-29,62,partial
2023-08-30,64,partial
2023-08-31,63,partial
2023-09-01,65,partial
2023-09-06,62,partial
2023-09-07,64,partial
2023-09-08,63,partial
2023-09-09,65,partial
2023-09-14,62,partial
2023-09-15,64,partial
2023-09-16,63,partial
2023-09-17,65,partial
2023-09-22,62,partial
2023-09-23,64,partial
2023-09-24,63,partial
2023-09-25,65,partial
2023-09-30,62,partial
2023-10-01,64,partial
2023-10-02,63,partial
2023-10-03,65,partial
2023-10-08,62,partial
2023-10-09,64,partial
2023-10-10,63,partial
2023-10-11,65,partial
2023-10-16,62,partial
2023-10-17,64,partial
2023-10-18,63,partial
2023-10-19,65,partial
2023-10-24,62,partial
2023-10-25,64,partial
2023-10-26,63,partial
2023-10-27,65,partial
2023-11-01,62,partial
2023-11-02,64,partial
2023-11-03,63,partial
2023-11-04,65,partial
2023-11-09,62,partial
2023-11-10,64,partial
2023-11-11,63,partial
2023-11-12,65,partial
2023-11-17,62,partial
2023-11-18,64,partial
2023-11-19,63,partial
2023-11-20,65,partial
2023-11-25,62,partial
2023-11-26,64,partial
2023-11-27,63,partial
2023-11-28,65,partial
2023-12-03,62,partial
2023-12-04,64,partial
2023-12-05,63,partial
2023-12-06,65,partial
2023-12-11,62,partial
2023-12-12,64,partial
2023-12-13,63,partial
2023-12-14,65,partial
2023-12-19,62,partial
2023-12-20,64,partial
2023-12-21,63,partial
2023-12-22,65,partial
2023-12-27,62,partial
2023-12-28,64,partial
2023-12-29,63,partial
2023-12-30,65,partial
