date,path,coverage
2024-01-01,68,full
2024-01-02,67,full
2024-01-03,69,full
2024-01-08,66,full
2024-01-09,68,full
2024-01-10,67,full
2024-01-11,69,full
2024-01-16,66,full
2024-01-17,68,full
2024-01-18,67,full
2024-01-19,69,full
2024-01-24,66,full
2024-01-25,68,full
2024-01-26,67,full
2024-01-27,69,full
2024-02-01,66,full
2024-02-02,68,full
2024-02-03,67,full
2024-02-04,69,full
2024-02-09,66,full
2024-02-10,68,full
2024-02-11,67,full
2024-02-12,69,full
2024-02-17,66,full
2024-02-18,68,full
2024-02-19,67,full
2024-02-20,69,full
2024-02-25,66,full
2024-02-26,68,full
2024-02-27,67,full
2024-02-28,69,full
2024-03-04,66,full
2024-03-05,68,full
2024-03-06,67,full
2024-03-07,69,full
2024-03-12,66,full
2024-03-13,68,full
2024-03-14,67,full
2024-03-15,69,full
2024-03-20,66,full
2024-03-21,68,full
2024-03-22,67,full
2024-03-23,69,full
2024-03-28,66,full
2024-03-29,68,full
2024-03-30,67,full
2024-03-31,69,full
2024-04-05,66,full
2024-04-06,68,full
2024-04-07,67,full
2024-04-08,69,full
2024-04-13,66,full
2024-04-14,68,full
2024-04-15,67,full
2024-04-16,69,full
2024-04-21,66,full
2024-04-22,68,full
2024-04-23,67,full
2024-04-24,69,full
2024-04-29,66,full
2024-04-30,68,full
2024-05-01,67,full
2024-05-02,69,full
2024-05-07,66,full
2024-05-08,68,full
2024-05-09,67,full
2024-05-10,69,full
2024-05-15,66,full
2024-05-16,68,full
2024-05-17,67,full
2024-05-18,69,full
2024-05-23,66,full
2024-05-24,68,full
2024-05-25,67,full
2024-05-26,69,full
2024-05-31,66,full
2024-06-01,68,full
2024-06-02,67,full
2024-06-03,69,full
2024-06-08,66,full
2024-06-09,68,full
2024-06-10,67,full
2024-06-11,69,full
2024-06-16,66,full
2024-06-17,68,full
2024-06-18,67,full
2024-06-19,69,full
2024-06-24,66,full
2024-06-25,68,full
2024-06-26,67,full
2024-06-27,69,full
2024-07-02,66,full
2024-07-03,68,full
2024-07-04,67,full
2024-07-05,69,full
2024-07-10,66,full
2024-07-11,68,full
2024-07-12,67,full
2024-07-13,69,full
2024-07-18,66,full
2024-07-19,68,full
2024-07-20,67,full
2024-07-21,69,full
2024-07-26,66,full
2024-07-27,68,full
2024-07-28,67,full
2024-07-29,69,full
2024-08-03,66,full
2024-08-04,68,full
2024-08-05,67,full
2024-08-06,69,full
2024-08-11,66,full
2024-08-12,68,full
2024-08-13,67,full
2024-08-14,69,full
2024-08-19,66,full
2024-08-20,68,full
2024-08-21,67,full
2024-08-22,69,full
2024-08-27,66,full
2024-08-28,68,full
2024-08-29,67,full
2024-08-30,69,full
2024-09-04,66,full
2024-09-05,68,full
2024-09-06,67,full
2024-09-07,69,full
2024-09-12,66,full
2024-09-13,68,full
2024-09-14,67,full
2024-09-15,69,full
2024-09-20,66,full
2024-09-21,68,full
2024-09-22,67,full
2024-09-23,69,full
2024-09-28,66,full
2024-09-29,68,full
2024-09-30,67,full
2024-10-01,69,full
2024-10-06,66,full
2024-10-07,68,full
2024-10-08,67,full
2024-10-09,69,full
2024-10-14,66,full
2024-10-15,68,full
2024-10-16,67,full
2024-10-17,69,full
2024-10-22,66,full
2024-10-23,68,full
2024-10-24,67,full
2024-10-25,69,full
2024-10-30,66,full
2024-10-31,68,full
2024-11-01,67,full
2024-11-02,69,full
2024-11-07,66,full
2024-11-08,68,full
2024-11-09,67,full
2024-11-10,69,full
2024-11-15,66,full
2024-11-16,68,full
2024-11-17,67,full
2024-11-18,69,full
2024-11-23,66,full
2024-11-24,68,full
2024-11-25,67,full
2024-11-26,69,full
2024-12-01,66,full
2024-12-02,68,full
2024-12-03,67,full
2024-12-04,69,full
2024-12-09,66,full
2024-12-10,68,full
2024-12-11,67,full
2024-12-12,69,full
2024-12-17,66,full
2024-12-18,68,full
2024-12-19,67,full
2024-12-20,69,full
2024-12-25,66,full
2024-12-26,68,full
2024-12-27,67,full
2024-12-28,69,full
