date,path,coverage
2023-01-01,73,partial
2023-01-02,70,partial
2023-01-03,71,full
2023-01-04,72,partial
2023-01-09,73,partial
2023-01-10,70,partial
2023-01-11,71,full
2023-01-12,72,partial
2023-01-17,73,partial
2023-01-18,70,partial
2023-01-19,71,full
2023-01-20,72,partial
2023-01-25,73,partial
2023-01-26,70,partial
2023-01-27,71,full
2023-01-28,72,partial
2023-02-02,73,partial
2023-02-03,70,partial
2023-02-04,71,full
2023-02-05,72,partial
2023-02-10,73,partial
2023-02-11,70,partial
2023-02-12,71,full
2023-02-13,72,partial
2023-02-18,73,partial
2023-02-19,70,partial
2023-02-20,71,full
2023-02-21,72,partial
2023-02-26,73,partial
2023-02-27,70,partial
2023-02-28,71,full
2023-03-01,72,partial
2023-03-06,73,partial
2023-03-07,70,partial
2023-03-08,71,full
2023-03-09,72,partial
2023-03-14,73,partial
2023-03-15,70,partial
2023-03-16,71,full
2023-03-17,72,partial
2023-03-22,73,partial
2023-03-23,70,partial
2023-03-24,71,full
2023-03-25,72,partial
2023-03-30,73,partial
2023-03-31,70,partial
2023-04-01,71,full
2023-04-02,72,partial
2023-04-07,73,partial
2023-04-08,70,partial
2023-04-09,71,full
2023-04-10,72,partial
2023-04-15,73,partial
2023-04-16,70,partial
2023-04-17,71,full
2023-04-18,72,partial
2023-04-23,73,partial
2023-04-24,70,partial
2023-04-25,71,full
2023-04-26,72,partial
2023-05-01,73,partial
2023-05-02,70,partial
2023-05-03,71,full
2023-05-04,72,partial
2023-05-09,73,partial
2023-05-10,70,partial
2023-05-11,71,full
2023-05-12,72,partial
2023-05-17,73,partial
2023-05-18,70,partial
2023-05-19,71,full
2023-05-20,72,partial
2023-05-25,73,partial
2023-05-26,70,partial
2023-05-27,71,full
2023-05-28,72,partial
2023-06-02,73,partial
2023-06-03,70,partial
2023-06-04,71,full
2023-06-05,72,partial
2023-06-10,73,partial
2023-06-11,70,partial
2023-06-12,71,full
2023-06-13,72,partial
2023-06-18,73,partial
2023-06-19,70,partial
2023-06-20,71,full
2023-06-21,72,partial
2023-06-26,73,partial
2023-06-27,70,partial
2023-06-28,71,full
2023-06-29,72,partial
2023-07-04,73,partial
2023-07-05,70,partial
2023-07-06,71,full
2023-07-07,72,partial
2023-07-12,73,partial
2023-07-13,70,partial
2023-07-14,71,full
2023-07-15,72,partial
2023-07-20,73,partial
2023-07-21,70,partial
2023-07-22,71,full
2023-07-23,72,partial
2023-07-28,73,partial
2023-07-29,70,partial
2023-07-30,71,full
2023-07-31,72,partial
2023-08-05,73,partial
2023-08-06,70,partial
2023-08-07,71,full
2023-08-08,72,partial
2023-08-13,73,partial
2023-08-14,70,partial
2023-08-15,71,full
2023-08-16,72,partial
2023-08-21,73,partial
2023-08-22,70,partial
2023-08-23,71,full
2023-08-24,72,partial
2023-08-29,73,partial
2023-08-30,70,partial
2023-08-31,71,full
2023-09-01,72,partial
2023-09-06,73,partial
2023-09-07,70,partial
2023-09-08,71,full
2023-09-09,72,partial
2023-09-14,73,partial
2023-09-15,70,partial
2023-09-16,71,full
2023-09-17,72,partial
2023-09-22,73,partial
2023-09-23,70,partial
2023-09-24,71,full
2023-09-25,72,partial
2023-09-30,73,partial
2023-10-01,70,partial
2023-10-02,71,full
2023-10-03,72,partial
2023-10-08,73,partial
2023-10-09,70,partial
2023-10-10,71,full
2023-10-11,72,partial
2023-10-16,73,partial
2023-10-17,70,partial
2023-10-18,71,full
2023-10-19,72,partial
2023-10-24,73,partial
2023-10-25,70,partial
2023-10-26,71,full
2023-10-27,72,partial
2023-11-01,73,partial
2023-11-02,70,partial
2023-11-03,71,full
2023-11-04,72,partial
2023-11-09,73,partial
2023-11-10,70,partial
2023-11-11,71,full
2023-11-12,72,partial
2023-11-17,73,partial
2023-11-18,70,partial
2023-11-19,71,full
2023-11-20,72,partial
2023-11-25,73,partial
2023-11-26,70,partial
2023-11-27,71,full
2023-11-28,72,partial
2023-12-03,73,partial
2023-12-04,70,partial
2023-12-05,71,full
2023-12-06,72,partial
2023-12-11,73,partial
2023-12-12,70,partial
2023-12-13,71,full
2023-12-14,72,partial
2023-12-19,73,partial
2023-12-20,70,partial
2023-12-21,71,full
2023-12-22,72,partial
2023-12-27,73,partial
2023-12-28,70,partial
2023-12-29,71,full
2023-12-30,72,partial
