date,path,coverage
2024-01-03,82,full
2024-01-04,81,full
2024-01-05,80,partial
2024-01-11,82,full
2024-01-12,81,full
2024-01-13,80,partial
2024-01-19,82,full
2024-01-20,81,full
2024-01-21,80,partial
2024-01-27,82,full
2024-01-28,81,full
2024-01-29,80,partial
2024-02-04,82,full
2024-02-05,81,full
2024-02-06,80,partial
2024-02-12,82,full
2024-02-13,81,full
2024-02-14,80,partial
2024-02-20,82,full
2024-02-21,81,full
2024-02-22,80,partial
2024-02-28,82,full
2024-02-29,81,full
2024-03-01,80,partial
2024-03-07,82,full
2024-03-08,81,full
2024-03-09,80,partial
2024-03-15,82,full
2024-03-16,81,full
2024-03-17,80,partial
2024-03-23,82,full
2024-03-24,81,full
2024-03-25,80,partial
2024-03-31,82,full
2024-04-01,81,full
2024-04-02,80,partial
2024-04-08,82,full
2024-04-09,81,full
2024-04-10,80,partial
2024-04-16,82,full
2024-04-17,81,full
2024-04-18,80,partial
2024-04-24,82,full
2024-04-25,81,full
2024-04-26,80,partial
2024-05-02,82,full
2024-05-03,81,full
2024-05-04,80,partial
2024-05-10,82,full
2024-05-11,81,full
2024-05-12,80,partial
2024-05-18,82,full
2024-05-19,81,full
2024-05-20,80,partial
2024-05-26,82,full
2024-05-27,81,full
2024-05-28,80,partial
2024-06-03,82,full
2024-06-04,81,full
2024-06-05,80,partial
2024-06-11,82,full
2024-06-12,81,full
2024-06-13,80,partial
2024-06-19,82,full
2024-06-20,81,full
2024-06-21,80,partial
2024-06-27,82,full
2024-06-28,81,full
2024-06-29,80,partial
2024-07-05,82,full
2024-07-06,81,full
2024-07-07,80,partial
2024-07-13,82,full
2024-07-14,81,full
2024-07-15,80,partial
2024-07-21,82,full
2024-07-22,81,full
2024-07-23,80,partial
2024-07-29,82,full
2024-07-30,81,full
2024-07-31,80,partial
2024-08-06,82,full
2024-08-07,81,full
2024-08-08,80,partial
2024-08-14,82,full
2024-08-15,81,full
2024-08-16,80,partial
2024-08-22,82,full
2024-08-23,81,full
2024-08-24,80,partial
2024-08-30,82,full
2024-08-31,81,full
2024-09-01,80,partial
2024-09-07,82,full
2024-09-08,81,full
2024-09-09,80,partial
2024-09-15,82,full
2024-09-16,81,full
2024-09-17,80,partial
2024-09-23,82,full
2024-09-24,81,full
2024-09-25,80,partial
2024-10-01,82,full
2024-10-02,81,full
2024-10-03,80,partial
2024-10-09,82,full
2024-10-10,81,full
2024-10-11,80,partial
2024-10-17,82,full
2024-10-18,81,full
2024-10-19,80,partial
2024-10-25,82,full
2024-10-26,81,full
2024-10-27,80,partial
2024-11-02,82,full
2024-11-03,81,full
2024-11-04,80,partial
2024-11-10,82,full
2024-11-11,81,full
2024-11-12,80,partial
2024-11-18,82,full
2024-11-19,81,full
2024-11-20,80,partial
2024-11-26,82,full
2024-11-27,81,full
2024-11-28,80,partial
2024-12-04,82,full
2024-12-05,81,full
2024-12-06,80,partial
2024-12-12,82,full
2024-12-13,81,full
2024-12-14,80,partial
2024-12-20,82,full
2024-12-21,81,full
2024-12-22,80,partial
2024-12-28,82,full
2024-12-29,81,full
2024-12-30,80,partial
