date,track,coverage
2022-01-05,120,full
2022-01-10,120,full
2022-01-15,120,full
2022-01-20,120,full
2022-01-25,120,full
2022-01-30,120,full
2022-02-04,120,full
2022-02-09,120,full
2022-02-14,120,full
2022-02-19,120,full
2022-02-24,120,full
2022-03-01,120,full
2022-03-06,120,full
2022-03-11,120,full
2022-03-16,120,full
2022-03-21,120,full
2022-03-26,120,full
2022-03-31,120,full
2022-04-05,120,full
2022-04-10,120,full
2022-04-15,120,full
2022-04-20,120,full
2022-04-25,120,full
2022-04-30,120,full
2022-05-05,120,full
2022-05-10,120,full
2022-05-15,120,full
2022-05-20,120,full
2022-05-25,120,full
2022-05-30,120,full
2022-06-04,120,full
2022-06-09,120,full
2022-06-14,120,full
2022-06-19,120,full
2022-06-24,120,full
2022-06-29,120,full
2022-07-04,120,full
2022-07-09,120,full
2022-07-14,120,full
2022-07-19,120,full
2022-07-24,120,full
2022-07-29,120,full
2022-08-03,120,full
2022-08-08,120,full
2022-08-13,120,full
2022-08-18,120,full
2022-08-23,120,full
2022-08-28,120,full
2022-09-02,120,full
2022-09-07,120,full
2022-09-12,120,full
2022-09-17,120,full
2022-09-22,120,full
2022-09-27,120,full
2022-10-02,120,full
2022-10-07,120,full
2022-10-12,120,full
2022-10-17,120,full
2022-10-22,120,full
2022-10-27,120,full
2022-11-01,120,full
2022-11-06,120,full
2022-11-11,120,full
2022-11-16,120,full
2022-11-21,120,full
2022-11-26,120,full
2022-12-01,120,full
2022-12-06,120,full
2022-12-11,120,full
2022-12-16,120,full
2022-12-21,120,full
2022-12-26,120,full
2022-12-31,120,full
