date,track,coverage
2024-01-01,72,partial
2024-01-02,15,full
2024-01-03,101,partial
2024-01-04,58,full
2024-01-05,115,full
2024-01-06,72,partial
2024-01-07,15,full
2024-01-08,101,partial
2024-01-09,58,full
2024-01-10,115,full
2024-01-11,72,partial
2024-01-12,15,full
2024-01-13,101,partial
2024-01-14,58,full
2024-01-15,115,full
2024-01-16,72,partial
2024-01-17,15,full
2024-01-18,101,partial
2024-01-19,58,full
2024-01-20,115,full
2024-01-21,72,partial
2024-01-22,15,full
2024-01-23,101,partial
2024-01-24,58,full
2024-01-25,115,full
2024-01-26,72,partial
2024-01-27,15,full
2024-01-28,101,partial
2024-01-29,58,full
2024-01-30,115,full
2024-01-31,72,partial
2024-02-01,15,full
2024-02-02,101,partial
2024-02-03,58,full
2024-02-04,115,full
2024-02-05,72,partial
2024-02-06,15,full
2024-02-07,101,partial
2024-02-08,58,full
2024-02-09,115,full
2024-02-10,72,partial
2024-02-11,15,full
2024-02-12,101,partial
2024-02-13,58,full
2024-02-14,115,full
2024-02-15,72,partial
2024-02-16,15,full
2024-02-17,101,partial
2024-02-18,58,full
2024-02-19,115,full
2024-02-20,72,partial
2024-02-21,15,full
2024-02-22,101,partial
2024-02-23,58,full
2024-02-24,115,full
2024-02-25,72,partial
2024-02-26,15,full
2024-02-27,101,partial
2024-02-28,58,full
2024-02-29,115,full
2024-03-01,72,partial
2024-03-02,15,full
2024-03-03,101,partial
2024-03-04,58,full
2024-03-05,115,full
2024-03-06,72,partial
2024-03-07,15,full
2024-03-08,101,partial
2024-03-09,58,full
2024-03-10,115,full
2024-03-11,72,partial
2024-03-12,15,full
2024-03-13,101,partial
2024-03-14,58,full
2024-03-15,115,full
2024-03-16,72,partial
2024-03-17,15,full
2024-03-18,101,partial
2024-03-19,58,full
2024-03-20,115,full
2024-03-21,72,partial
2024-03-22,15,full
2024-03-23,101,partial
2024-03-24,58,full
2024-03-25,115,full
2024-03-26,72,partial
2024-03-27,15,full
2024-03-28,101,partial
2024-03-29,58,full
2024-03-30,115,full
2024-03-31,72,partial
2024-04-01,15,full
2024-04-02,101,partial
2024-04-03,58,full
2024-04-04,115,full
2024-04-05,72,partial
2024-04-06,15,full
2024-04-07,101,partial
2024-04-08,58,full
2024-04-09,115,full
2024-04-10,72,partial
2024-04-11,15,full
2024-04-12,101,partial
2024-04-13,58,full
2024-04-14,115,full
2024-04-15,72,partial
2024-04-16,15,full
2024-04-17,101,partial
2024-04-18,58,full
2024-04-19,115,full
2024-04-20,72,partial
2024-04-21,15,full
2024-04-22,101,partial
2024-04-23,58,full
2024-04-24,115,full
2024-04-25,72,partial
2024-04-26,15,full
2024-04-27,101,partial
2024-04-28,58,full
2024-04-29,115,full
2024-04-30,72,partial
2024-05-01,15,full
2024-05-02,101,partial
2024-05-03,58,full
2024-05-04,115,full
2024-05-05,72,partial
2024-05-06,15,full
2024-05-07,101,partial
2024-05-08,58,full
2024-05-09,115,full
2024-05-10,72,partial
2024-05-11,15,full
2024-05-12,101,partial
2024-05-13,58,full
2024-05-14,115,full
2024-05-15,72,partial
2024-05-16,15,full
2024-05-17,101,partial
2024-05-18,58,full
2024-05-19,115,full
2024-05-20,72,partial
2024-05-21,15,full
2024-05-22,101,partial
2024-05-23,58,full
2024-05-24,115,full
2024-05-25,72,partial
2024-05-26,15,full
2024-05-27,101,partial
2024-05-28,58,full
2024-05-29,115,full
2024-05-30,72,partial
2024-05-31,15,full
2024-06-01,101,partial
2024-06-02,58,full
2024-06-03,115,full
2024-06-04,72,partial
2024-06-05,15,full
2024-06-06,101,partial
2024-06-07,58,full
2024-06-08,115,full
2024-06-09,72,partial
2024-06-10,15,full
2024-06-11,101,partial
2024-06-12,58,full
2024-06-13,115,full
2024-06-14,72,partial
2024-06-15,15,full
2024-06-16,101,partial
2024-06-17,58,full
2024-06-18,115,full
2024-06-19,72,partial
2024-06-20,15,full
2024-06-21,101,partial
2024-06-22,58,full
2024-06-23,115,full
2024-06-24,72,partial
2024-06-25,15,full
2024-06-26,101,partial
2024-06-27,58,full
2024-06-28,115,full
2024-06-29,72,partial
2024-06-30,15,full
2024-07-01,101,partial
2024-07-02,58,full
2024-07-03,115,full
2024-07-04,72,partial
2024-07-05,15,full
2024-07-06,101,partial
2024-07-07,58,full
2024-07-08,115,full
2024-07-09,72,partial
2024-07-10,15,full
2024-07-11,101,partial
2024-07-12,58,full
2024-07-13,115,full
2024-07-14,72,partial
2024-07-15,15,full
2024-07-16,101,partial
2024-07-17,58,full
2024-07-18,115,full
2024-07-19,72,partial
2024-07-20,15,full
2024-07-21,101,partial
2024-07-22,58,full
2024-07-23,115,full
2024-07-24,72,partial
2024-07-25,15,full
2024-07-26,101,partial
2024-07-27,58,full
2024-07-28,115,full
2024-07-29,72,partial
2024-07-30,15,full
2024-07-31,101,partial
2024-08-01,58,full
2024-08-02,115,full
2024-08-03,72,partial
2024-08-04,15,full
2024-08-05,101,partial
2024-08-06,58,full
2024-08-07,115,full
2024-08-08,72,partial
2024-08-09,15,full
2024-08-10,101,partial
2024-08-11,58,full
2024-08-12,115,full
2024-08-13,72,partial
2024-08-14,15,full
2024-08-15,101,partial
2024-08-16,58,full
2024-08-17,115,full
2024-08-18,72,partial
2024-08-19,15,full
2024-08-20,101,partial
2024-08-21,58,full
2024-08-22,115,full
2024-08-23,72,partial
2024-08-24,15,full
2024-08-25,101,partial
2024-08-26,58,full
2024-08-27,115,full
2024-08-28,72,partial
2024-08-29,15,full
2024-08-30,101,partial
2024-08-31,58,full
2024-09-01,115,full
2024-09-02,72,partial
2024-09-03,15,full
2024-09-04,101,partial
2024-09-05,58,full
2024-09-06,115,full
2024-09-07,72,partial
2024-09-08,15,full
2024-09-09,101,partial
2024-09-10,58,full
2024-09-11,115,full
2024-09-12,72,partial
2024-09-13,15,full
2024-09-14,101,partial
2024-09-15,58,full
2024-09-16,115,full
2024-09-17,72,partial
2024-09-18,15,full
2024-09-19,101,partial
2024-09-20,58,full
2024-09-21,115,full
2024-09-22,72,partial
2024-09-23,15,full
2024-09-24,101,partial
2024-09-25,58,full
2024-09-26,115,full
2024-09-27,72,partial
2024-09-28,15,full
2024-09-29,101,partial
2024-09-30,58,full
2024-10-01,115,full
2024-10-02,72,partial
2024-10-03,15,full
2024-10-04,101,partial
2024-10-05,58,full
2024-10-06,115,full
2024-10-07,72,partial
2024-10-08,15,full
2024-10-09,101,partial
2024-10-10,58,full
2024-10-11,115,full
2024-10-12,72,partial
2024-10-13,15,full
2024-10-14,101,partial
2024-10-15,58,full
2024-10-16,115,full
2024-10-17,72,partial
2024-10-18,15,full
2024-10-19,101,partial
2024-10-20,58,full
2024-10-21,115,full
2024-10-22,72,partial
2024-10-23,15,full
2024-10-24,101,partial
2024-10-25,58,full
2024-10-26,115,full
2024-10-27,72,partial
2024-10-28,15,full
2024-10-29,101,partial
2024-10-30,58,full
2024-10-31,115,full
2024-11-01,72,partial
2024-11-02,15,full
2024-11-03,101,partial
2024-11-04,58,full
2024-11-05,115,full
2024-11-06,72,partial
2024-11-07,15,full
2024-11-08,101,partial
2024-11-09,58,full
2024-11-10,115,full
2024-11-11,72,partial
2024-11-12,15,full
2024-11-13,101,partial
2024-11-14,58,full
2024-11-15,115,full
2024-11-16,72,partial
2024-11-17,15,full
2024-11-18,101,partial
2024-11-19,58,full
2024-11-20,115,full
2024-11-21,72,partial
2024-11-22,15,full
2024-11-23,101,partial
2024-11-24,58,full
2024-11-25,115,full
2024-11-26,72,partial
2024-11-27,15,full
2024-11-28,101,partial
2024-11-29,58,full
2024-11-30,115,full
2024-12-01,72,partial
2024-12-02,15,full
2024-12-03,101,partial
2024-12-04,58,full
2024-12-05,115,full
2024-12-06,72,partial
2024-12-07,15,full
2024-12-08,101,partial
2024-12-09,58,full
2024-12-10,115,full
2024-12-11,72,partial
2024-12-12,15,full
2024-12-13,101,partial
2024-12-14,58,full
2024-12-15,115,full
2024-12-16,72,partial
2024-12-17,15,full
2024-12-18,101,partial
2024-12-19,58,full
2024-12-20,115,full
2024-12-21,72,partial
2024-12-22,15,full
2024-12-23,101,partial
2024-12-24,58,full
2024-12-25,115,full
2024-12-26,72,partial
2024-12-27,15,full
2024-12-28,101,partial
2024-12-29,58,full
2024-12-30,115,full
2024-12-31,72,partial
