date,track,coverage
2021-01-01,1,full
2021-01-02,44,full
2021-01-03,87,full
2021-01-04,101,full
2021-01-06,1,full
2021-01-07,44,full
2021-01-08,87,full
2021-01-09,101,full
2021-01-11,1,full
2021-01-12,44,full
2021-01-13,87,full
2021-01-14,101,full
2021-01-16,1,full
2021-01-17,44,full
2021-01-18,87,full
2021-01-19,101,full
2021-01-21,1,full
2021-01-22,44,full
2021-01-23,87,full
2021-01-24,101,full
2021-01-26,1,full
2021-01-27,44,full
2021-01-28,87,full
2021-01-29,101,full
2021-01-31,1,full
2021-02-01,44,full
2021-02-02,87,full
2021-02-03,101,full
2021-02-05,1,full
2021-02-06,44,full
2021-02-07,87,full
2021-02-08,101,full
2021-02-10,1,full
2021-02-11,44,full
2021-02-12,87,full
2021-02-13,101,full
2021-02-15,1,full
2021-02-16,44,full
2021-02-17,87,full
2021-02-18,101,full
2021-02-20,1,full
2021-02-21,44,full
2021-02-22,87,full
2021-02-23,101,full
2021-02-25,1,full
2021-02-26,44,full
2021-02-27,87,full
2021-02-28,101,full
2021-03-02,1,full
2021-03-03,44,full
2021-03-04,87,full
2021-03-05,101,full
2021-03-07,1,full
2021-03-08,44,full
2021-03-09,87,full
2021-03-10,101,full
2021-03-12,1,full
2021-03-13,44,full
2021-03-14,87,full
2021-03-15,101,full
2021-03-17,1,full
2021-03-18,44,full
2021-03-19,87,full
2021-03-20,101,full
2021-03-22,1,full
2021-03-23,44,full
2021-03-24,87,full
2021-03-25,101,full
2021-03-27,1,full
2021-03-28,44,full
2021-03-29,87,full
2021-03-30,101,full
2021-04-01,1,full
2021-04-02,44,full
2021-04-03,87,full
2021-04-04,101,full
2021-04-06,1,full
2021-04-07,44,full
2021-04-08,87,full
2021-04-09,101,full
2021-04-11,1,full
2021-04-12,44,full
2021-04-13,87,full
2021-04-14,101,full
2021-04-16,1,full
2021-04-17,44,full
2021-04-18,87,full
2021-04-19,101,full
2021-04-21,1,full
2021-04-22,44,full
