date,track,coverage
2020-01-01,126,partial
2020-01-02,26,partial
2020-01-03,69,partial
2020-01-04,83,partial
2020-01-05,112,partial
2020-01-06,126,partial
2020-01-07,26,partial
2020-01-08,69,partial
2020-01-09,83,partial
2020-01-10,112,partial
2020-01-11,126,partial
2020-01-12,26,partial
2020-01-13,69,partial
2020-01-14,83,partial
2020-01-15,112,partial
2020-01-16,126,partial
2020-01-17,26,partial
2020-01-18,69,partial
2020-01-19,83,partial
2020-01-20,112,partial
2020-01-21,126,partial
2020-01-22,26,partial
2020-01-23,69,partial
2020-01-24,83,partial
2020-01-25,112,partial
2020-01-26,126,partial
2020-01-27,26,partial
2020-01-28,69,partial
2020-01-29,83,partial
2020-01-30,112,partial
2020-01-31,126,partial
2020-02-01,26,partial
2020-02-02,69,partial
2020-02-03,83,partial
2020-02-04,112,partial
2020-02-05,126,partial
2020-02-06,26,partial
2020-02-07,69,partial
2020-02-08,83,partial
2020-02-09,112,partial
2020-02-10,126,partial
2020-02-11,26,partial
2020-02-12,69,partial
2020-02-13,83,partial
2020-02-14,112,partial
2020-02-15,126,partial
2020-02-16,26,partial
2020-02-17,69,partial
2020-02-18,83,partial
2020-02-19,112,partial
2020-02-20,126,partial
2020-02-21,26,partial
2020-02-22,69,partial
2020-02-23,83,partial
2020-02-24,112,partial
2020-02-25,126,partial
2020-02-26,26,partial
2020-02-27,69,partial
2020-02-28,83,partial
2020-02-29,112,partial
2020-03-01,126,partial
2020-03-02,26,partial
2020-03-03,69,partial
2020-03-04,83,partial
2020-03-05,112,partial
2020-03-06,126,partial
2020-03-07,26,partial
2020-03-08,69,partial
2020-03-09,83,partial
2020-03-10,112,partial
2020-03-11,126,partial
2020-03-12,26,partial
2020-03-13,69,partial
2020-03-14,83,partial
2020-03-15,112,partial
2020-03-16,126,partial
2020-03-17,26,partial
2020-03-18,69,partial
2020-03-19,83,partial
2020-03-20,112,partial
2020-03-21,126,partial
2020-03-22,26,partial
2020-03-23,69,partial
2020-03-24,83,partial
2020-03-25,112,partial
2020-03-26,126,partial
2020-03-27,26,partial
2020-03-28,69,partial
2020-03-29,83,partial
2020-03-30,112,partial
2020-03-31,126,partial
2020-04-01,26,partial
2020-04-02,69,partial
2020-04-03,83,partial
2020-04-04,112,partial
2020-04-05,126,partial
2020-04-06,26,partial
2020-04-07,69,partial
2020-04-08,83,partial
2020-04-09,112,partial
2020-04-10,126,partial
2020-04-11,26,partial
2020-04-12,69,partial
2020-04-13,83,partial
2020-04-14,112,partial
2020-04-15,126,partial
2020-04-16,26,partial
2020-04-17,69,partial
2020-04-18,83,partial
2020-04-19,112,partial
2020-04-20,126,partial
2020-04-21,26,partial
2020-04-22,69,partial
2020-04-23,83,partial
2020-04-24,112,partial
2020-04-25,126,partial
2020-04-26,26,partial
2020-04-27,69,partial
2020-04-28,83,partial
2020-04-29,112,partial
2020-04-30,126,partial
2020-05-01,26,partial
2020-05-02,69,partial
2020-05-03,83,partial
2020-05-04,112,partial
2020-05-05,126,partial
2020-05-06,26,partial
2020-05-07,69,partial
2020-05-08,83,partial
2020-05-09,112,partial
2020-05-10,126,partial
2020-05-11,26,partial
2020-05-12,69,partial
2020-05-13,83,partial
2020-05-14,112,partial
2020-05-15,126,partial
2020-05-16,26,partial
2020-05-17,69,partial
2020-05-18,83,partial
2020-05-19,112,partial
2020-05-20,126,partial
2020-05-21,26,partial
2020-05-22,69,partial
