date,track,coverage
2022-01-02,37,full
2022-01-04,80,full
2022-01-05,123,full
2022-01-07,37,full
2022-01-09,80,full
2022-01-10,123,full
2022-01-12,37,full
2022-01-14,80,full
2022-01-15,123,full
2022-01-17,37,full
2022-01-19,80,full
2022-01-20,123,full
2022-01-22,37,full
2022-01-24,80,full
2022-01-25,123,full
2022-01-27,37,full
2022-01-29,80,full
2022-01-30,123,full
2022-02-01,37,full
2022-02-03,80,full
2022-02-04,123,full
2022-02-06,37,full
2022-02-08,80,full
2022-02-09,123,full
2022-02-11,37,full
2022-02-13,80,full
2022-02-14,123,full
2022-02-16,37,full
2022-02-18,80,full
2022-02-19,123,full
2022-02-21,37,full
2022-02-23,80,full
2022-02-24,123,full
2022-02-26,37,full
2022-02-28,80,full
2022-03-01,123,full
2022-03-03,37,full
2022-03-05,80,full
2022-03-06,123,full
2022-03-08,37,full
2022-03-10,80,full
2022-03-11,123,full
2022-03-13,37,full
2022-03-15,80,full
2022-03-16,123,full
2022-03-18,37,full
2022-03-20,80,full
2022-03-21,123,full
2022-03-23,37,full
2022-03-25,80,full
2022-03-26,123,full
2022-03-28,37,full
2022-03-30,80,full
2022-03-31,123,full
2022-04-02,37,full
2022-04-04,80,full
2022-04-05,123,full
2022-04-07,37,full
2022-04-09,80,full
2022-04-10,123,full
2022-04-12,37,full
2022-04-14,80,full
2022-04-15,123,full
2022-04-17,37,full
2022-04-19,80,full
2022-04-20,123,full
2022-04-22,37,full
2022-04-24,80,full
2022-04-25,123,full
2022-04-27,37,full
2022-04-29,80,full
2022-04-30,123,full
2022-05-02,37,full
2022-05-04,80,full
2022-05-05,123,full
2022-05-07,37,full
2022-05-09,80,full
2022-05-10,123,full
2022-05-12,37,full
2022-05-14,80,full
2022-05-15,123,full
2022-05-17,37,full
2022-05-19,80,full
2022-05-20,123,full
2022-05-22,37,full
2022-05-24,80,full
2022-05-25,123,full
2022-05-27,37,full
2022-05-29,80,full
2022-05-30,123,full
2022-06-01,37,full
2022-06-03,80,full
2022-06-04,123,full
2022-06-06,37,full
2022-06-08,80,full
2022-06-09,123,full
2022-06-11,37,full
2022-06-13,80,full
2022-06-14,123,full
2022-06-16,37,full
2022-06-18,80,full
2022-06-19,123,full
2022-06-21,37,full
2022-06-23,80,full
2022-06-24,123,full
2022-06-26,37,full
2022-06-28,80,full
2022-06-29,123,full
2022-07-01,37,full
2022-07-03,80,full
2022-07-04,123,full
2022-07-06,37,full
2022-07-08,80,full
2022-07-09,123,full
2022-07-11,37,full
2022-07-13,80,full
2022-07-14,123,full
2022-07-16,37,full
2022-07-18,80,full
2022-07-19,123,full
2022-07-21,37,full
2022-07-23,80,full
2022-07-24,123,full
2022-07-26,37,full
2022-07-28,80,full
2022-07-29,123,full
2022-07-31,37,full
2022-08-02,80,full
2022-08-03,123,full
2022-08-05,37,full
2022-08-07,80,full
2022-08-08,123,full
2022-08-10,37,full
2022-08-12,80,full
2022-08-13,123,full
2022-08-15,37,full
2022-08-17,80,full
2022-08-18,123,full
2022-08-20,37,full
2022-08-22,80,full
2022-08-23,123,full
2022-08-25,37,full
2022-08-27,80,full
2022-08-28,123,full
2022-08-30,37,full
2022-09-01,80,full
2022-09-02,123,full
2022-09-04,37,full
2022-09-06,80,full
2022-09-07,123,full
2022-09-09,37,full
2022-09-11,80,full
2022-09-12,123,full
2022-09-14,37,full
2022-09-16,80,full
2022-09-17,123,full
2022-09-19,37,full
2022-09-21,80,full
2022-09-22,123,full
2022-09-24,37,full
2022-09-26,80,full
2022-09-27,123,full
2022-09-29,37,full
2022-10-01,80,full
2022-10-02,123,full
2022-10-04,37,full
2022-10-06,80,full
2022-10-07,123,full
2022-10-09,37,full
2022-10-11,80,full
2022-10-12,123,full
2022-10-14,37,full
2022-10-16,80,full
2022-10-17,123,full
2022-10-19,37,full
2022-10-21,80,full
2022-10-22,123,full
2022-10-24,37,full
2022-10-26,80,full
2022-10-27,123,full
2022-10-29,37,full
2022-10-31,80,full
2022-11-01,123,full
2022-11-03,37,full
2022-11-05,80,full
2022-11-06,123,full
2022-11-08,37,full
2022-11-10,80,full
2022-11-11,123,full
2022-11-13,37,full
2022-11-15,80,full
2022-11-16,123,full
2022-11-18,37,full
2022-11-20,80,full
2022-11-21,123,full
2022-11-23,37,full
2022-11-25,80,full
2022-11-26,123,full
2022-11-28,37,full
2022-11-30,80,full
2022-12-01,123,full
2022-12-03,37,full
2022-12-05,80,full
2022-12-06,123,full
2022-12-08,37,full
2022-12-10,80,full
2022-12-11,123,full
2022-12-13,37,full
2022-12-15,80,full
2022-12-16,123,full
2022-12-18,37,full
2022-12-20,80,full
2022-12-21,123,full
2022-12-23,37,full
2022-12-25,80,full
2022-12-26,123,full
2022-12-28,37,full
2022-12-30,80,full
2022-12-31,123,full
