date,track,coverage
2021-01-02,40,partial
2021-01-04,83,partial
2021-01-05,126,partial
2021-01-07,40,partial
2021-01-09,83,partial
2021-01-10,126,partial
2021-01-12,40,partial
2021-01-14,83,partial
2021-01-15,126,partial
2021-01-17,40,partial
2021-01-19,83,partial
2021-01-20,126,partial
2021-01-22,40,partial
2021-01-24,83,partial
2021-01-25,126,partial
2021-01-27,40,partial
2021-01-29,83,partial
2021-01-30,126,partial
2021-02-01,40,partial
2021-02-03,83,partial
2021-02-04,126,partial
2021-02-06,40,partial
2021-02-08,83,partial
2021-02-09,126,partial
2021-02-11,40,partial
2021-02-13,83,partial
2021-02-14,126,partial
2021-02-16,40,partial
2021-02-18,83,partial
2021-02-19,126,partial
2021-02-21,40,partial
2021-02-23,83,partial
2021-02-24,126,partial
2021-02-26,40,partial
2021-02-28,83,partial
2021-03-01,126,partial
2021-03-03,40,partial
2021-03-05,83,partial
2021-03-06,126,partial
2021-03-08,40,partial
2021-03-10,83,partial
2021-03-11,126,partial
2021-03-13,40,partial
2021-03-15,83,partial
2021-03-16,126,partial
2021-03-18,40,partial
2021-03-20,83,partial
2021-03-21,126,partial
2021-03-23,40,partial
2021-03-25,83,partial
2021-03-26,126,partial
2021-03-28,40,partial
2021-03-30,83,partial
2021-03-31,126,partial
2021-04-02,40,partial
2021-04-04,83,partial
2021-04-05,126,partial
2021-04-07,40,partial
2021-04-09,83,partial
2021-04-10,126,partial
2021-04-12,40,partial
2021-04-14,83,partial
2021-04-15,126,partial
2021-04-17,40,partial
2021-04-19,83,partial
2021-04-20,126,partial
2021-04-22,40,partial
2021-04-24,83,partial
2021-04-25,126,partial
2021-04-27,40,partial
2021-04-29,83,partial
2021-04-30,126,partial
2021-05-02,40,partial
2021-05-04,83,partial
2021-05-05,126,partial
2021-05-07,40,partial
2021-05-09,83,partial
2021-05-10,126,partial
2021-05-12,40,partial
2021-05-14,83,partial
2021-05-15,126,partial
2021-05-17,40,partial
2021-05-19,83,partial
2021-05-20,126,partial
2021-05-22,40,partial
2021-05-24,83,partial
2021-05-25,126,partial
2021-05-27,40,partial
2021-05-29,83,partial
2021-05-30,126,partial
2021-06-01,40,partial
2021-06-03,83,partial
2021-06-04,126,partial
2021-06-06,40,partial
2021-06-08,83,partial
2021-06-09,126,partial
2021-06-11,40,partial
2021-06-13,83,partial
2021-06-14,126,partial
2021-06-16,40,partial
2021-06-18,83,partial
2021-06-19,126,partial
2021-06-21,40,partial
2021-06-23,83,partial
2021-06-24,126,partial
2021-06-26,40,partial
2021-06-28,83,partial
2021-06-29,126,partial
2021-07-01,40,partial
2021-07-03,83,partial
2021-07-04,126,partial
2021-07-06,40,partial
2021-07-08,83,partial
2021-07-09,126,partial
2021-07-11,40,partial
2021-07-13,83,partial
2021-07-14,126,partial
2021-07-16,40,partial
2021-07-18,83,partial
2021-07-19,126,partial
2021-07-21,40,partial
2021-07-23,83,partial
2021-07-24,126,partial
2021-07-26,40,partial
2021-07-28,83,partial
2021-07-29,126,partial
2021-07-31,40,partial
2021-08-02,83,partial
2021-08-03,126,partial
2021-08-05,40,partial
2021-08-07,83,partial
2021-08-08,126,partial
2021-08-10,40,partial
2021-08-12,83,partial
2021-08-13,126,partial
2021-08-15,40,partial
2021-08-17,83,partial
2021-08-18,126,partial
2021-08-20,40,partial
2021-08-22,83,partial
2021-08-23,126,partial
2021-08-25,40,partial
2021-08-27,83,partial
2021-08-28,126,partial
2021-08-30,40,partial
2021-09-01,83,partial
2021-09-02,126,partial
2021-09-04,40,partial
2021-09-06,83,partial
2021-09-07,126,partial
2021-09-09,40,partial
2021-09-11,83,partial
2021-09-12,126,partial
2021-09-14,40,partial
2021-09-16,83,partial
2021-09-17,126,partial
2021-09-19,40,partial
2021-09-21,83,partial
2021-09-22,126,partial
2021-09-24,40,partial
2021-09-26,83,partial
2021-09-27,126,partial
2021-09-29,40,partial
2021-10-01,83,partial
2021-10-02,126,partial
2021-10-04,40,partial
2021-10-06,83,partial
2021-10-07,126,partial
2021-10-09,40,partial
2021-10-11,83,partial
2021-10-12,126,partial
2021-10-14,40,partial
2021-10-16,83,partial
2021-10-17,126,partial
2021-10-19,40,partial
2021-10-21,83,partial
2021-10-22,126,partial
2021-10-24,40,partial
2021-10-26,83,partial
2021-10-27,126,partial
2021-10-29,40,partial
2021-10-31,83,partial
2021-11-01,126,partial
2021-11-03,40,partial
2021-11-05,83,partial
2021-11-06,126,partial
2021-11-08,40,partial
2021-11-10,83,partial
2021-11-11,126,partial
2021-11-13,40,partial
2021-11-15,83,partial
2021-11-16,126,partial
2021-11-18,40,partial
2021-11-20,83,partial
2021-11-21,126,partial
2021-11-23,40,partial
2021-11-25,83,partial
2021-11-26,126,partial
2021-11-28,40,partial
2021-11-30,83,partial
2021-12-01,126,partial
2021-12-03,40,partial
2021-12-05,83,partial
2021-12-06,126,partial
2021-12-08,40,partial
2021-12-10,83,partial
2021-12-11,126,partial
2021-12-13,40,partial
2021-12-15,83,partial
2021-12-16,126,partial
2021-12-18,40,partial
2021-12-20,83,partial
2021-12-21,126,partial
2021-12-23,40,partial
2021-12-25,83,partial
2021-12-26,126,partial
2021-12-28,40,partial
2021-12-30,83,partial
2021-12-31,126,partial
