date,track,coverage
2021-01-01,40,partial
2021-01-02,83,partial
2021-01-03,97,partial
2021-01-04,140,partial
2021-01-06,40,partial
2021-01-07,83,partial
2021-01-08,97,partial
2021-01-09,140,partial
2021-01-11,40,partial
2021-01-12,83,partial
2021-01-13,97,partial
2021-01-14,140,partial
2021-01-16,40,partial
2021-01-17,83,partial
2021-01-18,97,partial
2021-01-19,140,partial
2021-01-21,40,partial
2021-01-22,83,partial
2021-01-23,97,partial
2021-01-24,140,partial
2021-01-26,40,partial
2021-01-27,83,partial
2021-01-28,97,partial
2021-01-29,140,partial
2021-01-31,40,partial
2021-02-01,83,partial
2021-02-02,97,partial
2021-02-03,140,partial
2021-02-05,40,partial
2021-02-06,83,partial
2021-02-07,97,partial
2021-02-08,140,partial
2021-02-10,40,partial
2021-02-11,83,partial
2021-02-12,97,partial
2021-02-13,140,partial
2021-02-15,40,partial
2021-02-16,83,partial
2021-02-17,97,partial
2021-02-18,140,partial
2021-02-20,40,partial
2021-02-21,83,partial
2021-02-22,97,partial
2021-02-23,140,partial
2021-02-25,40,partial
2021-02-26,83,partial
2021-02-27,97,partial
2021-02-28,140,partial
2021-03-02,40,partial
2021-03-03,83,partial
2021-03-04,97,partial
2021-03-05,140,partial
2021-03-07,40,partial
2021-03-08,83,partial
2021-03-09,97,partial
2021-03-10,140,partial
2021-03-12,40,partial
2021-03-13,83,partial
2021-03-14,97,partial
2021-03-15,140,partial
2021-03-17,40,partial
2021-03-18,83,partial
2021-03-19,97,partial
2021-03-20,140,partial
2021-03-22,40,partial
2021-03-23,83,partial
2021-03-24,97,partial
2021-03-25,140,partial
2021-03-27,40,partial
2021-03-28,83,partial
2021-03-29,97,partial
2021-03-30,140,partial
2021-04-01,40,partial
2021-04-02,83,partial
2021-04-03,97,partial
2021-04-04,140,partial
2021-04-06,40,partial
2021-04-07,83,partial
2021-04-08,97,partial
2021-04-09,140,partial
2021-04-11,40,partial
2021-04-12,83,partial
2021-04-13,97,partial
2021-04-14,140,partial
2021-04-16,40,partial
2021-04-17,83,partial
2021-04-18,97,partial
2021-04-19,140,partial
2021-04-21,40,partial
2021-04-22,83,partial
2021-04-23,97,partial
2021-04-24,140,partial
2021-04-26,40,partial
2021-04-27,83,partial
2021-04-28,97,partial
2021-04-29,140,partial
2021-05-01,40,partial
2021-05-02,83,partial
2021-05-03,97,partial
2021-05-04,140,partial
2021-05-06,40,partial
2021-05-07,83,partial
2021-05-08,97,partial
2021-05-09,140,partial
2021-05-11,40,partial
2021-05-12,83,partial
2021-05-13,97,partial
2021-05-14,140,partial
2021-05-16,40,partial
2021-05-17,83,partial
2021-05-18,97,partial
2021-05-19,140,partial
2021-05-21,40,partial
2021-05-22,83,partial
2021-05-23,97,partial
2021-05-24,140,partial
2021-05-26,40,partial
2021-05-27,83,partial
2021-05-28,97,partial
2021-05-29,140,partial
2021-05-31,40,partial
2021-06-01,83,partial
2021-06-02,97,partial
2021-06-03,140,partial
2021-06-05,40,partial
2021-06-06,83,partial
2021-06-07,97,partial
2021-06-08,140,partial
2021-06-10,40,partial
2021-06-11,83,partial
2021-06-12,97,partial
2021-06-13,140,partial
2021-06-15,40,partial
2021-06-16,83,partial
2021-06-17,97,partial
2021-06-18,140,partial
2021-06-20,40,partial
2021-06-21,83,partial
2021-06-22,97,partial
2021-06-23,140,partial
2021-06-25,40,partial
2021-06-26,83,partial
2021-06-27,97,partial
2021-06-28,140,partial
2021-06-30,40,partial
2021-07-01,83,partial
2021-07-02,97,partial
2021-07-03,140,partial
2021-07-05,40,partial
2021-07-06,83,partial
2021-07-07,97,partial
2021-07-08,140,partial
2021-07-10,40,partial
2021-07-11,83,partial
2021-07-12,97,partial
2021-07-13,140,partial
2021-07-15,40,partial
2021-07-16,83,partial
2021-07-17,97,partial
2021-07-18,140,partial
2021-07-20,40,partial
2021-07-21,83,partial
2021-07-22,97,partial
2021-07-23,140,partial
2021-07-25,40,partial
2021-07-26,83,partial
2021-07-27,97,partial
2021-07-28,140,partial
2021-07-30,40,partial
2021-07-31,83,partial
2021-08-01,97,partial
2021-08-02,140,partial
2021-08-04,40,partial
2021-08-05,83,partial
2021-08-06,97,partial
2021-08-07,140,partial
2021-08-09,40,partial
2021-08-10,83,partial
2021-08-11,97,partial
2021-08-12,140,partial
2021-08-14,40,partial
2021-08-15,83,partial
2021-08-16,97,partial
2021-08-17,140,partial
2021-08-19,40,partial
2021-08-20,83,partial
2021-08-21,97,partial
2021-08-22,140,partial
2021-08-24,40,partial
2021-08-25,83,partial
2021-08-26,97,partial
2021-08-27,140,partial
2021-08-29,40,partial
2021-08-30,83,partial
2021-08-31,97,partial
2021-09-01,140,partial
2021-09-03,40,partial
2021-09-04,83,partial
2021-09-05,97,partial
2021-09-06,140,partial
2021-09-08,40,partial
2021-09-09,83,partial
2021-09-10,97,partial
2021-09-11,140,partial
2021-09-13,40,partial
2021-09-14,83,partial
2021-09-15,97,partial
2021-09-16,140,partial
2021-09-18,40,partial
2021-09-19,83,partial
2021-09-20,97,partial
2021-09-21,140,partial
2021-09-23,40,partial
2021-09-24,83,partial
2021-09-25,97,partial
2021-09-26,140,partial
2021-09-28,40,partial
2021-09-29,83,partial
2021-09-30,97,partial
2021-10-01,140,partial
2021-10-03,40,partial
2021-10-04,83,partial
2021-10-05,97,partial
2021-10-06,140,partial
2021-10-08,40,partial
2021-10-09,83,partial
2021-10-10,97,partial
2021-10-11,140,partial
2021-10-13,40,partial
2021-10-14,83,partial
2021-10-15,97,partial
2021-10-16,140,partial
2021-10-18,40,partial
2021-10-19,83,partial
2021-10-20,97,partial
2021-10-21,140,partial
2021-10-23,40,partial
2021-10-24,83,partial
2021-10-25,97,partial
2021-10-26,140,partial
2021-10-28,40,partial
2021-10-29,83,partial
2021-10-30,97,partial
2021-10-31,140,partial
2021-11-02,40,partial
2021-11-03,83,partial
2021-11-04,97,partial
2021-11-05,140,partial
2021-11-07,40,partial
2021-11-08,83,partial
2021-11-09,97,partial
2021-11-10,140,partial
2021-11-12,40,partial
2021-11-13,83,partial
2021-11-14,97,partial
2021-11-15,140,partial
2021-11-17,40,partial
2021-11-18,83,partial
2021-11-19,97,partial
2021-11-20,140,partial
2021-11-22,40,partial
2021-11-23,83,partial
2021-11-24,97,partial
2021-11-25,140,partial
2021-11-27,40,partial
2021-11-28,83,partial
2021-11-29,97,partial
2021-11-30,140,partial
2021-12-02,40,partial
2021-12-03,83,partial
2021-12-04,97,partial
2021-12-05,140,partial
2021-12-07,40,partial
2021-12-08,83,partial
2021-12-09,97,partial
2021-12-10,140,partial
2021-12-12,40,partial
2021-12-13,83,partial
2021-12-14,97,partial
2021-12-15,140,partial
2021-12-17,40,partial
2021-12-18,83,partial
2021-12-19,97,partial
2021-12-20,140,partial
2021-12-22,40,partial
2021-12-23,83,partial
2021-12-24,97,partial
2021-12-25,140,partial
2021-12-27,40,partial
2021-12-28,83,partial
2021-12-29,97,partial
2021-12-30,140,partial
