date,track,coverage
2022-01-01,43,full
2022-01-02,86,partial
2022-01-03,100,full
2022-01-04,143,full
2022-01-06,43,full
2022-01-07,86,partial
2022-01-08,100,full
2022-01-09,143,full
2022-01-11,43,full
2022-01-12,86,partial
2022-01-13,100,full
2022-01-14,143,full
2022-01-16,43,full
2022-01-17,86,partial
2022-01-18,100,full
2022-01-19,143,full
2022-01-21,43,full
2022-01-22,86,partial
2022-01-23,100,full
2022-01-24,143,full
2022-01-26,43,full
2022-01-27,86,partial
2022-01-28,100,full
2022-01-29,143,full
2022-01-31,43,full
2022-02-01,86,partial
2022-02-02,100,full
2022-02-03,143,full
2022-02-05,43,full
2022-02-06,86,partial
2022-02-07,100,full
2022-02-08,143,full
2022-02-10,43,full
2022-02-11,86,partial
2022-02-12,100,full
2022-02-13,143,full
2022-02-15,43,full
2022-02-16,86,partial
2022-02-17,100,full
2022-02-18,143,full
2022-02-20,43,full
2022-02-21,86,partial
2022-02-22,100,full
2022-02-23,143,full
2022-02-25,43,full
2022-02-26,86,partial
2022-02-27,100,full
2022-02-28,143,full
2022-03-02,43,full
2022-03-03,86,partial
2022-03-04,100,full
2022-03-05,143,full
2022-03-07,43,full
2022-03-08,86,partial
2022-03-09,100,full
2022-03-10,143,full
2022-03-12,43,full
2022-03-13,86,partial
2022-03-14,100,full
2022-03-15,143,full
2022-03-17,43,full
2022-03-18,86,partial
2022-03-19,100,full
2022-03-20,143,full
2022-03-22,43,full
2022-03-23,86,partial
2022-03-24,100,full
2022-03-25,143,full
2022-03-27,43,full
2022-03-28,86,partial
2022-03-29,100,full
2022-03-30,143,full
2022-04-01,43,full
2022-04-02,86,partial
2022-04-03,100,full
2022-04-04,143,full
2022-04-06,43,full
2022-04-07,86,partial
2022-04-08,100,full
2022-04-09,143,full
2022-04-11,43,full
2022-04-12,86,partial
2022-04-13,100,full
2022-04-14,143,full
2022-04-16,43,full
2022-04-17,86,partial
2022-04-18,100,full
2022-04-19,143,full
2022-04-21,43,full
2022-04-22,86,partial
2022-04-23,100,full
2022-04-24,143,full
2022-04-26,43,full
2022-04-27,86,partial
2022-04-28,100,full
2022-04-29,143,full
2022-05-01,43,full
2022-05-02,86,partial
2022-05-03,100,full
2022-05-04,143,full
2022-05-06,43,full
2022-05-07,86,partial
2022-05-08,100,full
2022-05-09,143,full
2022-05-11,43,full
2022-05-12,86,partial
2022-05-13,100,full
2022-05-14,143,full
2022-05-16,43,full
2022-05-17,86,partial
2022-05-18,100,full
2022-05-19,143,full
2022-05-21,43,full
2022-05-22,86,partial
2022-05-23,100,full
2022-05-24,143,full
2022-05-26,43,full
2022-05-27,86,partial
2022-05-28,100,full
2022-05-29,143,full
2022-05-31,43,full
2022-06-01,86,partial
2022-06-02,100,full
2022-06-03,143,full
2022-06-05,43,full
2022-06-06,86,partial
2022-06-07,100,full
2022-06-08,143,full
2022-06-10,43,full
2022-06-11,86,partial
2022-06-12,100,full
2022-06-13,143,full
2022-06-15,43,full
2022-06-16,86,partial
2022-06-17,100,full
2022-06-18,143,full
2022-06-20,43,full
2022-06-21,86,partial
2022-06-22,100,full
2022-06-23,143,full
2022-06-25,43,full
2022-06-26,86,partial
2022-06-27,100,full
2022-06-28,143,full
2022-06-30,43,full
2022-07-01,86,partial
2022-07-02,100,full
2022-07-03,143,full
2022-07-05,43,full
2022-07-06,86,partial
2022-07-07,100,full
2022-07-08,143,full
2022-07-10,43,full
2022-07-11,86,partial
2022-07-12,100,full
2022-07-13,143,full
2022-07-15,43,full
2022-07-16,86,partial
2022-07-17,100,full
2022-07-18,143,full
2022-07-20,43,full
2022-07-21,86,partial
2022-07-22,100,full
2022-07-23,143,full
2022-07-25,43,full
2022-07-26,86,partial
2022-07-27,100,full
2022-07-28,143,full
2022-07-30,43,full
2022-07-31,86,partial
2022-08-01,100,full
2022-08-02,143,full
2022-08-04,43,full
2022-08-05,86,partial
2022-08-06,100,full
2022-08-07,143,full
2022-08-09,43,full
2022-08-10,86,partial
2022-08-11,100,full
2022-08-12,143,full
2022-08-14,43,full
2022-08-15,86,partial
2022-08-16,100,full
2022-08-17,143,full
2022-08-19,43,full
2022-08-20,86,partial
2022-08-21,100,full
2022-08-22,143,full
2022-08-24,43,full
2022-08-25,86,partial
2022-08-26,100,full
2022-08-27,143,full
2022-08-29,43,full
2022-08-30,86,partial
2022-08-31,100,full
2022-09-01,143,full
2022-09-03,43,full
2022-09-04,86,partial
2022-09-05,100,full
2022-09-06,143,full
2022-09-08,43,full
2022-09-09,86,partial
2022-09-10,100,full
2022-09-11,143,full
