date,track,coverage
2021-01-03,54,partial
2021-01-05,97,partial
2021-01-08,54,partial
2021-01-10,97,partial
2021-01-13,54,partial
2021-01-15,97,partial
2021-01-18,54,partial
2021-01-20,97,partial
2021-01-23,54,partial
2021-01-25,97,partial
2021-01-28,54,partial
2021-01-30,97,partial
2021-02-02,54,partial
2021-02-04,97,partial
2021-02-07,54,partial
2021-02-09,97,partial
2021-02-12,54,partial
2021-02-14,97,partial
2021-02-17,54,partial
2021-02-19,97,partial
2021-02-22,54,partial
2021-02-24,97,partial
2021-02-27,54,partial
2021-03-01,97,partial
2021-03-04,54,partial
2021-03-06,97,partial
2021-03-09,54,partial
2021-03-11,97,partial
2021-03-14,54,partial
2021-03-16,97,partial
2021-03-19,54,partial
2021-03-21,97,partial
2021-03-24,54,partial
2021-03-26,97,partial
2021-03-29,54,partial
2021-03-31,97,partial
2021-04-03,54,partial
2021-04-05,97,partial
2021-04-08,54,partial
2021-04-10,97,partial
2021-04-13,54,partial
2021-04-15,97,partial
2021-04-18,54,partial
2021-04-20,97,partial
2021-04-23,54,partial
2021-04-25,97,partial
2021-04-28,54,partial
2021-04-30,97,partial
2021-05-03,54,partial
2021-05-05,97,partial
2021-05-08,54,partial
2021-05-10,97,partial
2021-05-13,54,partial
2021-05-15,97,partial
2021-05-18,54,partial
2021-05-20,97,partial
2021-05-23,54,partial
2021-05-25,97,partial
2021-05-28,54,partial
2021-05-30,97,partial
2021-06-02,54,partial
2021-06-04,97,partial
2021-06-07,54,partial
2021-06-09,97,partial
2021-06-12,54,partial
2021-06-14,97,partial
2021-06-17,54,partial
2021-06-19,97,partial
2021-06-22,54,partial
2021-06-24,97,partial
2021-06-27,54,partial
2021-06-29,97,partial
2021-07-02,54,partial
2021-07-04,97,partial
2021-07-07,54,partial
2021-07-09,97,partial
2021-07-12,54,partial
2021-07-14,97,partial
2021-07-17,54,partial
2021-07-19,97,partial
2021-07-22,54,partial
2021-07-24,97,partial
2021-07-27,54,partial
2021-07-29,97,partial
2021-08-01,54,partial
2021-08-03,97,partial
2021-08-06,54,partial
2021-08-08,97,partial
2021-08-11,54,partial
2021-08-13,97,partial
2021-08-16,54,partial
2021-08-18,97,partial
2021-08-21,54,partial
2021-08-23,97,partial
2021-08-26,54,partial
2021-08-28,97,partial
2021-08-31,54,partial
2021-09-02,97,partial
2021-09-05,54,partial
2021-09-07,97,partial
2021-09-10,54,partial
2021-09-12,97,partial
2021-09-15,54,partial
2021-09-17,97,partial
2021-09-20,54,partial
2021-09-22,97,partial
2021-09-25,54,partial
2021-09-27,97,partial
2021-09-30,54,partial
2021-10-02,97,partial
2021-10-05,54,partial
2021-10-07,97,partial
2021-10-10,54,partial
2021-10-12,97,partial
2021-10-15,54,partial
2021-10-17,97,partial
2021-10-20,54,partial
2021-10-22,97,partial
2021-10-25,54,partial
2021-10-27,97,partial
2021-10-30,54,partial
2021-11-01,97,partial
2021-11-04,54,partial
2021-11-06,97,partial
2021-11-09,54,partial
2021-11-11,97,partial
2021-11-14,54,partial
2021-11-16,97,partial
2021-11-19,54,partial
2021-11-21,97,partial
2021-11-24,54,partial
2021-11-26,97,partial
2021-11-29,54,partial
2021-12-01,97,partial
2021-12-04,54,partial
2021-12-06,97,partial
2021-12-09,54,partial
2021-12-11,97,partial
2021-12-14,54,partial
2021-12-16,97,partial
2021-12-19,54,partial
2021-12-21,97,partial
2021-12-24,54,partial
2021-12-26,97,partial
2021-12-29,54,partial
2021-12-31,97,partial
