date,track,coverage
2021-01-01,72,full
2021-01-02,15,partial
2021-01-03,29,partial
2021-01-04,115,full
2021-01-06,72,full
2021-01-07,15,partial
2021-01-08,29,partial
2021-01-09,115,full
2021-01-11,72,full
2021-01-12,15,partial
2021-01-13,29,partial
2021-01-14,115,full
2021-01-16,72,full
2021-01-17,15,partial
2021-01-18,29,partial
2021-01-19,115,full
2021-01-21,72,full
2021-01-22,15,partial
2021-01-23,29,partial
2021-01-24,115,full
2021-01-26,72,full
2021-01-27,15,partial
2021-01-28,29,partial
2021-01-29,115,full
2021-01-31,72,full
2021-02-01,15,partial
2021-02-02,29,partial
2021-02-03,115,full
2021-02-05,72,full
2021-02-06,15,partial
2021-02-07,29,partial
2021-02-08,115,full
2021-02-10,72,full
2021-02-11,15,partial
2021-02-12,29,partial
2021-02-13,115,full
2021-02-15,72,full
2021-02-16,15,partial
2021-02-17,29,partial
2021-02-18,115,full
2021-02-20,72,full
2021-02-21,15,partial
2021-02-22,29,partial
2021-02-23,115,full
2021-02-25,72,full
2021-02-26,15,partial
2021-02-27,29,partial
2021-02-28,115,full
2021-03-02,72,full
2021-03-03,15,partial
2021-03-04,29,partial
2021-03-05,115,full
2021-03-07,72,full
2021-03-08,15,partial
2021-03-09,29,partial
2021-03-10,115,full
2021-03-12,72,full
2021-03-13,15,partial
2021-03-14,29,partial
2021-03-15,115,full
2021-03-17,72,full
2021-03-18,15,partial
2021-03-19,29,partial
2021-03-20,115,full
2021-03-22,72,full
2021-03-23,15,partial
2021-03-24,29,partial
2021-03-25,115,full
2021-03-27,72,full
2021-03-28,15,partial
2021-03-29,29,partial
2021-03-30,115,full
2021-04-01,72,full
2021-04-02,15,partial
2021-04-03,29,partial
2021-04-04,115,full
2021-04-06,72,full
2021-04-07,15,partial
2021-04-08,29,partial
2021-04-09,115,full
2021-04-11,72,full
2021-04-12,15,partial
2021-04-13,29,partial
2021-04-14,115,full
2021-04-16,72,full
2021-04-17,15,partial
2021-04-18,29,partial
2021-04-19,115,full
2021-04-21,72,full
2021-04-22,15,partial
2021-04-23,29,partial
2021-04-24,115,full
2021-04-26,72,full
2021-04-27,15,partial
2021-04-28,29,partial
2021-04-29,115,full
2021-05-01,72,full
2021-05-02,15,partial
2021-05-03,29,partial
2021-05-04,115,full
2021-05-06,72,full
2021-05-07,15,partial
2021-05-08,29,partial
2021-05-09,115,full
2021-05-11,72,full
2021-05-12,15,partial
2021-05-13,29,partial
2021-05-14,115,full
2021-05-16,72,full
2021-05-17,15,partial
2021-05-18,29,partial
2021-05-19,115,full
2021-05-21,72,full
2021-05-22,15,partial
2021-05-23,29,partial
2021-05-24,115,full
2021-05-26,72,full
2021-05-27,15,partial
2021-05-28,29,partial
2021-05-29,115,full
2021-05-31,72,full
2021-06-01,15,partial
2021-06-02,29,partial
2021-06-03,115,full
2021-06-05,72,full
2021-06-06,15,partial
2021-06-07,29,partial
2021-06-08,115,full
2021-06-10,72,full
2021-06-11,15,partial
2021-06-12,29,partial
2021-06-13,115,full
2021-06-15,72,full
2021-06-16,15,partial
2021-06-17,29,partial
2021-06-18,115,full
2021-06-20,72,full
2021-06-21,15,partial
2021-06-22,29,partial
2021-06-23,115,full
2021-06-25,72,full
2021-06-26,15,partial
2021-06-27,29,partial
2021-06-28,115,full
2021-06-30,72,full
2021-07-01,15,partial
2021-07-02,29,partial
2021-07-03,115,full
2021-07-05,72,full
2021-07-06,15,partial
2021-07-07,29,partial
2021-07-08,115,full
2021-07-10,72,full
2021-07-11,15,partial
2021-07-12,29,partial
2021-07-13,115,full
2021-07-15,72,full
2021-07-16,15,partial
2021-07-17,29,partial
2021-07-18,115,full
2021-07-20,72,full
2021-07-21,15,partial
2021-07-22,29,partial
2021-07-23,115,full
2021-07-25,72,full
2021-07-26,15,partial
2021-07-27,29,partial
2021-07-28,115,full
2021-07-30,72,full
2021-07-31,15,partial
2021-08-01,29,partial
2021-08-02,115,full
2021-08-04,72,full
2021-08-05,15,partial
2021-08-06,29,partial
2021-08-07,115,full
2021-08-09,72,full
2021-08-10,15,partial
2021-08-11,29,partial
2021-08-12,115,full
2021-08-14,72,full
2021-08-15,15,partial
2021-08-16,29,partial
2021-08-17,115,full
2021-08-19,72,full
2021-08-20,15,partial
2021-08-21,29,partial
2021-08-22,115,full
2021-08-24,72,full
2021-08-25,15,partial
2021-08-26,29,partial
2021-08-27,115,full
2021-08-29,72,full
2021-08-30,15,partial
2021-08-31,29,partial
2021-09-01,115,full
2021-09-03,72,full
2021-09-04,15,partial
2021-09-05,29,partial
2021-09-06,115,full
2021-09-08,72,full
2021-09-09,15,partial
2021-09-10,29,partial
2021-09-11,115,full
2021-09-13,72,full
2021-09-14,15,partial
2021-09-15,29,partial
2021-09-16,115,full
2021-09-18,72,full
2021-09-19,15,partial
2021-09-20,29,partial
2021-09-21,115,full
2021-09-23,72,full
2021-09-24,15,partial
2021-09-25,29,partial
2021-09-26,115,full
2021-09-28,72,full
2021-09-29,15,partial
2021-09-30,29,partial
2021-10-01,115,full
2021-10-03,72,full
2021-10-04,15,partial
2021-10-05,29,partial
2021-10-06,115,full
2021-10-08,72,full
2021-10-09,15,partial
2021-10-10,29,partial
2021-10-11,115,full
2021-10-13,72,full
2021-10-14,15,partial
2021-10-15,29,partial
2021-10-16,115,full
2021-10-18,72,full
2021-10-19,15,partial
2021-10-20,29,partial
2021-10-21,115,full
2021-10-23,72,full
2021-10-24,15,partial
2021-10-25,29,partial
2021-10-26,115,full
2021-10-28,72,full
2021-10-29,15,partial
2021-10-30,29,partial
2021-10-31,115,full
2021-11-02,72,full
2021-11-03,15,partial
2021-11-04,29,partial
2021-11-05,115,full
2021-11-07,72,full
2021-11-08,15,partial
2021-11-09,29,partial
2021-11-10,115,full
2021-11-12,72,full
2021-11-13,15,partial
2021-11-14,29,partial
2021-11-15,115,full
2021-11-17,72,full
2021-11-18,15,partial
2021-11-19,29,partial
2021-11-20,115,full
2021-11-22,72,full
2021-11-23,15,partial
2021-11-24,29,partial
2021-11-25,115,full
2021-11-27,72,full
2021-11-28,15,partial
2021-11-29,29,partial
2021-11-30,115,full
2021-12-02,72,full
2021-12-03,15,partial
2021-12-04,29,partial
2021-12-05,115,full
2021-12-07,72,full
2021-12-08,15,partial
2021-12-09,29,partial
2021-12-10,115,full
2021-12-12,72,full
2021-12-13,15,partial
2021-12-14,29,partial
2021-12-15,115,full
2021-12-17,72,full
2021-12-18,15,partial
2021-12-19,29,partial
2021-12-20,115,full
2021-12-22,72,full
