date,track,coverage
2024-01-02,85,full
2024-01-03,28,partial
2024-01-05,128,full
2024-01-07,85,full
2024-01-08,28,partial
2024-01-10,128,full
2024-01-12,85,full
2024-01-13,28,partial
2024-01-15,128,full
2024-01-17,85,full
2024-01-18,28,partial
2024-01-20,128,full
2024-01-22,85,full
2024-01-23,28,partial
2024-01-25,128,full
2024-01-27,85,full
2024-01-28,28,partial
2024-01-30,128,full
2024-02-01,85,full
2024-02-02,28,partial
2024-02-04,128,full
2024-02-06,85,full
2024-02-07,28,partial
2024-02-09,128,full
2024-02-11,85,full
2024-02-12,28,partial
2024-02-14,128,full
2024-02-16,85,full
2024-02-17,28,partial
2024-02-19,128,full
2024-02-21,85,full
2024-02-22,28,partial
2024-02-24,128,full
2024-02-26,85,full
2024-02-27,28,partial
2024-02-29,128,full
2024-03-02,85,full
2024-03-03,28,partial
2024-03-05,128,full
2024-03-07,85,full
2024-03-08,28,partial
2024-03-10,128,full
2024-03-12,85,full
2024-03-13,28,partial
2024-03-15,128,full
2024-03-17,85,full
2024-03-18,28,partial
2024-03-20,128,full
2024-03-22,85,full
2024-03-23,28,partial
2024-03-25,128,full
2024-03-27,85,full
2024-03-28,28,partial
2024-03-30,128,full
2024-04-01,85,full
2024-04-02,28,partial
2024-04-04,128,full
2024-04-06,85,full
2024-04-07,28,partial
2024-04-09,128,full
2024-04-11,85,full
2024-04-12,28,partial
2024-04-14,128,full
2024-04-16,85,full
2024-04-17,28,partial
2024-04-19,128,full
2024-04-21,85,full
2024-04-22,28,partial
2024-04-24,128,full
2024-04-26,85,full
2024-04-27,28,partial
2024-04-29,128,full
2024-05-01,85,full
2024-05-02,28,partial
2024-05-04,128,full
2024-05-06,85,full
2024-05-07,28,partial
2024-05-09,128,full
2024-05-11,85,full
2024-05-12,28,partial
2024-05-14,128,full
2024-05-16,85,full
2024-05-17,28,partial
2024-05-19,128,full
2024-05-21,85,full
2024-05-22,28,partial
2024-05-24,128,full
2024-05-26,85,full
2024-05-27,28,partial
2024-05-29,128,full
2024-05-31,85,full
2024-06-01,28,partial
2024-06-03,128,full
2024-06-05,85,full
2024-06-06,28,partial
2024-06-08,128,full
2024-06-10,85,full
2024-06-11,28,partial
2024-06-13,128,full
2024-06-15,85,full
2024-06-16,28,partial
2024-06-18,128,full
2024-06-20,85,full
2024-06-21,28,partial
2024-06-23,128,full
2024-06-25,85,full
2024-06-26,28,partial
2024-06-28,128,full
2024-06-30,85,full
2024-07-01,28,partial
2024-07-03,128,full
2024-07-05,85,full
2024-07-06,28,partial
2024-07-08,128,full
2024-07-10,85,full
2024-07-11,28,partial
2024-07-13,128,full
2024-07-15,85,full
2024-07-16,28,partial
2024-07-18,128,full
2024-07-20,85,full
2024-07-21,28,partial
2024-07-23,128,full
2024-07-25,85,full
2024-07-26,28,partial
2024-07-28,128,full
2024-07-30,85,full
2024-07-31,28,partial
2024-08-02,128,full
2024-08-04,85,full
2024-08-05,28,partial
2024-08-07,128,full
2024-08-09,85,full
2024-08-10,28,partial
2024-08-12,128,full
2024-08-14,85,full
2024-08-15,28,partial
2024-08-17,128,full
2024-08-19,85,full
2024-08-20,28,partial
2024-08-22,128,full
2024-08-24,85,full
2024-08-25,28,partial
2024-08-27,128,full
2024-08-29,85,full
2024-08-30,28,partial
2024-09-01,128,full
2024-09-03,85,full
2024-09-04,28,partial
2024-09-06,128,full
2024-09-08,85,full
2024-09-09,28,partial
2024-09-11,128,full
2024-09-13,85,full
2024-09-14,28,partial
2024-09-16,128,full
2024-09-18,85,full
2024-09-19,28,partial
2024-09-21,128,full
2024-09-23,85,full
2024-09-24,28,partial
2024-09-26,128,full
2024-09-28,85,full
2024-09-29,28,partial
2024-10-01,128,full
2024-10-03,85,full
2024-10-04,28,partial
2024-10-06,128,full
2024-10-08,85,full
2024-10-09,28,partial
2024-10-11,128,full
2024-10-13,85,full
2024-10-14,28,partial
2024-10-16,128,full
2024-10-18,85,full
2024-10-19,28,partial
2024-10-21,128,full
2024-10-23,85,full
2024-10-24,28,partial
2024-10-26,128,full
2024-10-28,85,full
2024-10-29,28,partial
2024-10-31,128,full
2024-11-02,85,full
2024-11-03,28,partial
2024-11-05,128,full
2024-11-07,85,full
2024-11-08,28,partial
2024-11-10,128,full
2024-11-12,85,full
2024-11-13,28,partial
2024-11-15,128,full
2024-11-17,85,full
2024-11-18,28,partial
2024-11-20,128,full
2024-11-22,85,full
2024-11-23,28,partial
2024-11-25,128,full
2024-11-27,85,full
2024-11-28,28,partial
2024-11-30,128,full
2024-12-02,85,full
2024-12-03,28,partial
2024-12-05,128,full
2024-12-07,85,full
2024-12-08,28,partial
2024-12-10,128,full
2024-12-12,85,full
2024-12-13,28,partial
2024-12-15,128,full
2024-12-17,85,full
2024-12-18,28,partial
2024-12-20,128,full
2024-12-22,85,full
2024-12-23,28,partial
2024-12-25,128,full
2024-12-27,85,full
2024-12-28,28,partial
2024-12-30,128,full
