date,track,coverage
2020-01-02,97,full
2020-01-04,140,full
2020-01-07,97,full
2020-01-09,140,full
2020-01-12,97,full
2020-01-14,140,full
2020-01-17,97,full
2020-01-19,140,full
2020-01-22,97,full
2020-01-24,140,full
2020-01-27,97,full
2020-01-29,140,full
2020-02-01,97,full
2020-02-03,140,full
2020-02-06,97,full
2020-02-08,140,full
2020-02-11,97,full
2020-02-13,140,full
2020-02-16,97,full
2020-02-18,140,full
2020-02-21,97,full
2020-02-23,140,full
2020-02-26,97,full
2020-02-28,140,full
2020-03-02,97,full
2020-03-04,140,full
2020-03-07,97,full
2020-03-09,140,full
2020-03-12,97,full
2020-03-14,140,full
2020-03-17,97,full
2020-03-19,140,full
2020-03-22,97,full
2020-03-24,140,full
2020-03-27,97,full
2020-03-29,140,full
2020-04-01,97,full
2020-04-03,140,full
2020-04-06,97,full
2020-04-08,140,full
2020-04-11,97,full
2020-04-13,140,full
2020-04-16,97,full
2020-04-18,140,full
2020-04-21,97,full
2020-04-23,140,full
2020-04-26,97,full
2020-04-28,140,full
2020-05-01,97,full
2020-05-03,140,full
2020-05-06,97,full
2020-05-08,140,full
2020-05-11,97,full
2020-05-13,140,full
2020-05-16,97,full
2020-05-18,140,full
2020-05-21,97,full
2020-05-23,140,full
2020-05-26,97,full
2020-05-28,140,full
2020-05-31,97,full
2020-06-02,140,full
2020-06-05,97,full
2020-06-07,140,full
2020-06-10,97,full
2020-06-12,140,full
2020-06-15,97,full
2020-06-17,140,full
2020-06-20,97,full
2020-06-22,140,full
2020-06-25,97,full
2020-06-27,140,full
2020-06-30,97,full
2020-07-02,140,full
2020-07-05,97,full
2020-07-07,140,full
2020-07-10,97,full
2020-07-12,140,full
2020-07-15,97,full
2020-07-17,140,full
2020-07-20,97,full
2020-07-22,140,full
2020-07-25,97,full
2020-07-27,140,full
2020-07-30,97,full
2020-08-01,140,full
2020-08-04,97,full
2020-08-06,140,full
2020-08-09,97,full
2020-08-11,140,full
2020-08-14,97,full
2020-08-16,140,full
2020-08-19,97,full
2020-08-21,140,full
2020-08-24,97,full
2020-08-26,140,full
2020-08-29,97,full
2020-08-31,140,full
2020-09-03,97,full
2020-09-05,140,full
2020-09-08,97,full
2020-09-10,140,full
2020-09-13,97,full
2020-09-15,140,full
2020-09-18,97,full
2020-09-20,140,full
2020-09-23,97,full
2020-09-25,140,full
2020-09-28,97,full
2020-09-30,140,full
2020-10-03,97,full
2020-10-05,140,full
2020-10-08,97,full
2020-10-10,140,full
2020-10-13,97,full
2020-10-15,140,full
2020-10-18,97,full
2020-10-20,140,full
2020-10-23,97,full
2020-10-25,140,full
2020-10-28,97,full
2020-10-30,140,full
2020-11-02,97,full
2020-11-04,140,full
2020-11-07,97,full
2020-11-09,140,full
2020-11-12,97,full
2020-11-14,140,full
2020-11-17,97,full
2020-11-19,140,full
2020-11-22,97,full
2020-11-24,140,full
2020-11-27,97,full
2020-11-29,140,full
2020-12-02,97,full
2020-12-04,140,full
2020-12-07,97,full
2020-12-09,140,full
2020-12-12,97,full
2020-12-14,140,full
2020-12-17,97,full
2020-12-19,140,full
2020-12-22,97,full
2020-12-24,140,full
2020-12-27,97,full
2020-12-29,140,full
